"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-017-016","src/Error.tsx","5","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-017","src/Form.tsx","9","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-018","src/Icon.tsx","19","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-019","src/MasterDetail.tsx","44","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-020","src/Primitives.component.test.tsx","33","测试源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-021","src/QueryState.test.ts","26","测试源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-022","src/QueryState.ts","30","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-023","src/RecordTable.tsx","53","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-024","src/ResourcePanel.tsx","57","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-025","src/ResourceState.component.test.tsx","73","测试源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-026","src/ResourceState.stories.tsx","35","Storybook源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-027","src/ResourceState.tsx","88","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-028","src/RouteFallback.component.test.tsx","16","测试源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-029","src/RouteFallback.tsx","11","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-030","src/Status.ts","12","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-031","src/Surface.tsx","20","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-032","src/Table.tsx","18","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-033","src/Theme.ts","8","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-034","src/Token.ts","20","TypeScript源码","build-web-tokens.mjs","自动生成；生成链已审","G1 DC-0021"
"FILE-AU-017-035","src/VI11.stories.tsx","52","Storybook源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-036","src/VI11StoryComponents.tsx","190","TypeScript源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-037","src/VI11StoryFoundation.tsx","189","TypeScript源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-038","src/VI12Foundation.stories.tsx","86","Storybook源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-039","src/WorkspaceFoundation.component.test.tsx","40","测试源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-040","src/WorkspaceHero.tsx","33","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-041","src/WorkspaceMetrics.tsx","44","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-042","src/WorkspaceShell.test.ts","18","测试源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-043","src/WorkspaceShell.tsx","54","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-044","src/base.css","165","样式","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-045","src/brand/brand-lockup-horizontal.svg","18","品牌资产","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-046","src/brand/brand-mark.svg","19","品牌资产","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-047","src/brand/wing-code-symbol.svg","20","品牌资产","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-048","src/brand/wing-pattern.svg","12","品牌资产","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-049","src/command.css","148","样式","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-050","src/components.css","5","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-051","src/controls.css","235","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-052","src/data-display.css","145","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-053","src/feedback.css","97","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-054","src/foundation.css","197","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-055","src/index.ts","26","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-056","src/mobile-platforms.json","223","结构化设计数据","package export/Console/Storybook","已深入审阅","P3 F-0081/G1 DC-0022"
"FILE-AU-017-057","src/shell.css","178","样式","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-058","src/tokens.css","142","样式","build-web-tokens.mjs","自动生成；生成链已审","P2 F-0076"
"FILE-AU-017-059","src/tokens.json","255","结构化设计数据","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-060","src/vi-1-1-story-components.css","115","样式","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-061","src/vi-1-1-story.css","266","样式","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-062","src/vi-1-2-foundation.css","331","样式","package export/Console/Storybook","已深入审阅","P2 F-0076"
"FILE-AU-017-063","src/vi-1-2-story.css","54","样式","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-064","src/workspace.css","236","样式","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-065","tsconfig.json","5","配置","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-066",".storybook/main.ts","12","Storybook源码","Storybook config","已深入审阅","P3 F-0079"
"FILE-AU-017-067",".storybook/preview.ts","18","Storybook源码","Storybook preview","已深入审阅","P3 F-0079"
