"证据编号","证据类别","基线或观察时点","来源","最小观察","直接证明","不证明","可复核方法","敏感性"
"E-AU-001-011","动态注册","固定基线","commerce/src/app/modules.ts:36-47；ModuleRegistry.ts:24-58；ApiBootstrap/JobsBootstrap","30 个 BUSINESS_MODULES 加 Runtime/Observability；按依赖拓扑串行注册并拒绝重复/缺失/循环","Canonical 模块组合与加载顺序","模块边界、数据所有权或注册副作用正确","从 target bootstrap 反向重追 COMMERCE_MODULES","无"
"E-AU-001-012","路由清单","固定基线","RouteRegistry.ts:19-70；DefinedModule 与 OperationCatalog 消费链","method/path 来自 OperationCatalog；重复路由、未冻结、allow-list 缺失会报错","Canonical HTTP 路由注册与冻结机制","每个 operation 的 handler 正确或权限完整","从 ApiBootstrap freeze 重追到模块 route registration","无"
"E-AU-001-013","动态注册","固定基线","JobRegistry.ts:12-31；app/jobs.ts:77-116；JobsBootstrap.ts:20-34","33 个显式 Job 定义；重复和最低配置校验；bootstrap 后冻结","当前 Job catalog 和注册入口","生产者/消费者成对、重试幂等或恢复正确","从 Jobs Main 到 bootstrap、registerJobs、QueueJob 重追","无"
"E-AU-001-014","构建配置","固定基线","04_tools/scripts/build-commerce.mjs:4-31；commerce/src/entry","全量构建扫描所有 *Main.ts 并追加 9 个工具入口","本地/全量 Commerce 构建发现规则","每个扫描入口都在线或应该保留","运行只读目录枚举并读取构建脚本","无"
"E-AU-001-015","构建配置","固定基线","service-targets.mjs:1-14；build-commerce-service.mjs:7-24","正式服务构建只有 10 个 target 映射；未知 target 报错","正式服务制品的目标白名单","非白名单入口无职责","读取映射并与 release manifest build argv 交叉核对","无"
"E-AU-001-016","构建配置","固定基线","workspace-impact.mjs:8-81；service-impact.mjs:7-64；release manifest impactResolvers","workspace resolver 反向传播消费者；service resolver 用 esbuild metafile；不能收窄时选择目标上界","发布影响选择算法骨架","所有边缘输入均被正确分类","读取两个 resolver 和 planner 动态加载位置；后续专项跑 fixture","无"
"E-AU-001-017","部署清单","固定基线","zdt-next.release.json:23-25,103-645；remote-policy.json","15 个 target、2 个 node、10 个服务 target；fufu Console pointerRoot=/opt/zhudatuan/targets/console 且公开验收要求根 200","声明态发布拓扑和 Console 期望","线上实际使用同一 pointer","解析 manifest 并与 service-targets、policy 交叉核对","生产路径；无凭据"
"E-AU-001-018","部署清单","固定基线","三个 GitHub workflow；activate-console-static.sh；deploy-now.sh","工作流均为 workflow_dispatch；direct deploy 独立于 quality；OSS Console 通道激活 hbbtzn target pointer","当前仓库发布入口和两条 Console 通道","工作流最近成功或线上版本匹配","读取 triggers、build/package/deploy argv 与激活目标","远程主机地址；无凭据"
"E-AU-001-019","生产只读观察","2026-09-13 16:20-16:22+08:00","授权 ECS systemctl list-units；IMDS instance-id 核验","32 个 sfl/zhudatuan 服务处于 running，覆盖 fufu、hbbtzn、zhudatuan-l0 与共享辅助单元","观察时实际运行服务集合","未来状态、服务健康或代码版本全部一致","先核对 IMDS，再重复只读 systemctl 查询","包含生产实例标识和 unit 名；无凭据"
"E-AU-001-020","生产只读观察","2026-09-13 16:20:39+08:00","线上 Caddy 行 113-118；readlink/test -f 两个 Console pointer","Caddy 指向 /opt/sfl/nodes/zhudatuan-l0/current/.../console/dist 且 index 缺失；release console current 的 static/index.html 存在","线上路由根与已发布制品 pointer 分裂","根因、开始时间或用户规模","在授权 ECS 只读读取 active Caddy、符号链接和文件存在性","生产路径和 release SHA；无凭据"
"E-AU-001-021","生产只读观察","2026-09-13 16:20:39+08:00","直连 123.57.232.253:443 并使用 console.fufu.wang SNI/Host 请求 /","HTTP/1.1 404 Not Found","观察时公开 Console 根不是 manifest 要求的 200","所有用户路径均失败或事故达到 P0","按项目规定绕过代理用 openssl s_client 重复请求","公开域名/IP；无凭据"
"E-AU-001-022","生产只读观察","2026-09-13 16:22+08:00","systemctl show 两个 unit + 基线路径检索","sfl-autonode-c1-parent-runtime 与 zhudatuan-finance-preview 正在运行且 FragmentPath 在 /etc/systemd/system；基线无同名 unit 文件","线上有仓库基线不能同名重建的 active unit","它们应被删除、应入库或不受管理","只读 systemctl show 后用 git ls-tree/rg 对比","生产 WorkingDirectory；未读取 EnvironmentFile 内容"
"E-AU-001-023","路由清单","固定基线","auth-web/index.html、src/main.tsx、src/App.tsx、vite.config.ts；console 对应入口","Auth 先载入 identity runtime 再按 host/query 渲染；Console 载入 runtime 后动态导入 providers 与 Router","两个静态应用的首层启动链","身份会话与页面行为正确","从 index.html script 反向重追 main/App/Router","无"
"E-AU-001-024","构建配置","固定基线","miniapp 受控文件清单与生成脚本引用","目录只有 9 个 app/config/domain/style/brand 文件且无 app.json/pages/project config","基线内不存在完整常见微信项目入口","外部工程不存在或目录无用","git ls-tree 列出目录并检索生成器输出","无"
"E-AU-001-025","构建配置","固定基线","eslint.config.mjs:8-24,49-82；实际 apps 目录","typed/react/a11y globs 使用 auth、store、supplier、storefront；实际现行 React 目录为 auth-web、console、storefront-web","两个现行 React 应用不进入这些三个规则块","仓库没有其它规则或修复后 lint 必然通过","读取完整 flat config 并与 git 树路径对比","无"
