"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-00421-008","FILE-00421","ConsoleModuleRoutes.tsx:87-112","把单条manifest route映射为disabled/redirect/enabled RouteObject","FN-00421-004传入已注册module/route","条件检查status与kind；无schema校验","TS泛型关联moduleId/routeId；运行时靠registry","无","可选blocker只在非undefined时复制","否","无","只应由已验证registry调用","route.id/path唯一；redirectTo/lazy与kind匹配靠类型","INV-AU001-001；INV-AU001-004","RouteObject三类分支","dynamic import/loadConsoleModuleRoute reject传播","disabled/redirect分支短路","React Navigate、dynamic import、preload loader","无","无","operations metadata后续供授权消费","无","无","无显式cleanup；Router管理chunk","lazy分支返回Promise；均由Router await","每次调用独立；lazy loader可能有下游缓存","重复调用产生新handle/closure；可观察路由等价","无外部半完成","direct tests覆盖状态/handle线索","chunk失败、redirect环、blocker消费待测","中：三分支但职责集中","不拆；保留状态共址便于穷举","ModuleDisabledRoute/Preload是下游非重复"
"FN-00712-001","FILE-00712","worker/index.ts:12-16","为Node/Worker统一取得运行env","Worker runtime参数或Node process.env","只检查env truthy和process存在","两次unknown断言；环境键未runtime验证","最后回落空对象","undefined/null走process或空对象；空对象truthy直接返回","否","读取全局process.env","必须在所有host/env策略前调用","下游需自行处理缺失键","INV-AU001-006：Worker显式env优先于Node env","Env对象","无显式throw；全局访问受typeof保护","env存在立即返回；process存在第二返回","无","无","无","无","无","无","无","同步","只读全局；process.env可由外部改变","同一时刻通常同结果；外部env变化可改变","无","相关environment/showcase tests待AU-002定位","空对象与缺关键键由下游如何拒绝待测","低","不拆","无等价env桥接器"
"FN-00712-002","FILE-00712","worker/index.ts:19-58","按安全/运行配置/API/页面顺序处理每个Storefront请求","runtime fetch传Request/env/ctx","URL解析与三个策略函数；下游自行校验body/契约","Request/Response是真实Web API；Env是静态交叉类型但可能为空","request id回落crypto UUID","非法URL会抛；缺env可能503或由下游处理；apiResponse nullish进入页面","否","读取env/crypto；下游可能读写外部状态","门禁必须先于Compatibility API和页面handler","routePublicRequest以null表示未命中；其它falsy语义由其契约决定","INV-AU001-006；INV-AU001-007：前置拒绝不可进入下游","404、503、API Response、页面Response","URL/策略/routePublicRequest/handler异常传播","三个拒绝分支和API命中分支短路","四个policy函数、routePublicRequest、vinext handler","间接；本文件无事务","本文件无日志","host/env门禁；用户业务授权在下游","无","无本地timeout或Abort组合；Request signal是否下传由对象本身","无自有资源；ctx透传","await Compatibility和vinext；无悬空Promise","每请求局部状态；下游并发安全UNKNOWN","GET重复依赖下游；本文件无幂等策略","前置拒绝前无写入；API/页面半完成由下游","Storefront route/showcase tests待专项","下游reject、abort、slow request与Node/Worker差异待测","中","职责为单一dispatcher；不拆修复","Compatibility router与vinext各处理不同命名空间"
"FN-01367-001","FILE-01367","JobRegistry.ts:16-21","验证并保存一个JobDefinition","app/jobs或模块registration","frozen、重复id、lease/batch/concurrency/deadline下限","TS泛型被擦除；processor shape仅靠类型","无","空id未显式拒绝；NaN可绕过小于比较；业务影响待审","否","写实例Map/frozen读取","必须在freeze前调用","id应稳定且配置数值有限；代码只实现部分","INV-AU001-008：每id唯一且最低配置满足","void","三类错误码","所有拒绝在Map写入前","Map API","无","无","无","无","无","无","同步","单线程启动期；并发调用无锁但JS事件循环同步段原子","重复同id第二次抛错","无半写：校验后单次set","JobsBootstrap/集成间接；无直接专测检出","空id、NaN、Infinity、processor运行时shape未测","低到中","校验可保持集中；业务阈值另审","无第二个JobRegistry.register"
"FN-01367-002","FILE-01367","JobRegistry.ts:23-25","冻结registry阻止后续注册","bootstrap","无条件校验","boolean真实","无","重复freeze仍成功","否","写frozen=true","应在全部Job注册后、runner读取前","调用方负责完整性；没有expected job检查","INV-AU001-009：all只在freeze后可读","void","无","无","无","无","无","无","无","无","无","同步","单线程启动期","幂等","无","间接","缺少完整性反事实测试","低","不拆","RouteRegistry.freeze更严格但契约不同"
"FN-01367-003","FILE-01367","JobRegistry.ts:27-30","仅在冻结后返回任务定义快照","JobsBootstrap/runner","未冻结抛错","返回readonly类型且冻结数组；元素对象未深冻结","无","零任务且已freeze返回空冻结数组","否","读取Map/frozen","必须先freeze","调用者不得变异JobDefinition对象但运行时未深冻结","INV-AU001-009","冻结的新数组","JOB_REGISTRY_NOT_FROZEN","未冻结时立即抛","Object.freeze","无","无","无","无","无","无","同步","新数组避免结构增删影响Map；元素可变风险待审","重复调用返回不同数组但相同对象引用","无","间接","元素变异、空catalog启动行为待测","低","不拆","无等价catalog读取器"
"FN-01373-001","FILE-01373","ModuleRegistry.ts:27-30","按唯一ID加入Commerce模块","Api/Jobs bootstrap","重复ID检查","CommerceModule静态类型；运行时不验dependencies/register","无","空ID未拒绝；依赖数组可为空","否","写实例Map","必须在load前完成","module.id稳定；register可调用","INV-AU001-010：module ID唯一","void","MODULE_DUPLICATE","重复时set前抛","Map","无","无","无","无","无","无","同步","启动期同步段","同对象重复add第二次抛","无半写","bootstrap tests间接","空id/畸形对象未测","低","不拆","无第二个add"
"FN-01373-002","FILE-01373","ModuleRegistry.ts:32-34","按拓扑顺序串行执行每个module.register","Api/Jobs bootstrap传ModuleContext","先由ordered检查图；模块内部自行验证","ModuleContext静态类型；外部资源真实度由bootstrap","无","零模块立即resolve；register可同步或Promise","不修改context引用；下游可变异registries/container","通过context连接所有外部可变registry/资源","必须先add全量模块；按dependencies顺序","register需遵守前序模块已注册不变量","INV-AU001-011：依赖先于消费者注册","Promise<void>完成或reject","ordered错误或任一register异常/reject","无显式提前；for循环异常中止","FN-01373-004和每个module.register","间接可能写数据库/初始化store；UNKNOWN","本文件无日志","无自身权限","无","无timeout","无补偿/cleanup","逐个await；无悬空Promise","串行降低注册竞态；context共享状态仍可冲突","重复load会重复注册并可能触发下游duplicate；非幂等","前序模块已注册而后序失败；bootstrap对象是否丢弃决定可见性","ApiBootstrap.test/registry.spec间接","中途失败后上下文状态和资源释放未测","中","不应并行化；恢复协议需专项","无等价module loader"
"FN-01373-003","FILE-01373","ModuleRegistry.ts:36-38","返回按ID排序的模块目录","诊断/测试消费者","无","返回readonly冻结数组","无","空Map返回空数组","否","读取Map keys","可在load前后调用；语义相同","不表达依赖顺序，只是字典排序","无","冻结字符串数组","无","无","sort/Object.freeze","无","无","无","无","无","无","同步","快照","确定性","无","间接","调用时点语义未测","低","不拆","ordered返回依赖顺序但用途不同"
"FN-01373-004","FILE-01373","ModuleRegistry.ts:41-58","对模块依赖图执行DFS拓扑排序并检测缺失/循环","FN-01373-002传实例Map","visited/visiting/存在性检查","依赖ID为字符串；重复依赖被visited吸收","无","空Map返回空；自依赖触发cycle","否","无","必须在register前完整运行","Map中每依赖ID存在；顺序按Map插入与依赖数组","INV-AU001-011","依赖先行的数组","MODULE_DEPENDENCY_CYCLE或MISSING","visited节点提前return","递归visit","无","无","无","无","无","无","同步递归","局部Set；并发独立","确定性取决于Map/依赖顺序","抛错时仅局部状态","registry/bootstrap tests间接","深链栈溢出与复杂图性能未测","中","职责清楚；不拆","无第二个拓扑实现"
"FN-01384-001","FILE-01384","RouteRegistry.ts:24-26","建立全量或allow-list路由registry","ApiBootstrap/JobsBootstrap/tests","仅区分undefined与数组","OperationId静态类型；运行时可传非法字符串Set","undefined表示全量；空数组表示允许零项","空数组有效；重复allow值被Set去重","否","创建allowed Set","必须先于register","undefined与空数组语义不同","INV-AU001-012：allowed决定freeze expected集合","RouteRegistry实例初始化","无","无","Set","无","无","无","无","无","无","同步","实例隔离","每次新实例","无","RouteRegistry tests","非法operation强转待测","低","不拆","无"
"FN-01384-002","FILE-01384","RouteRegistry.ts:28-35","把OperationCatalog元数据与handler绑定并编译路径","模块register/OperationController","frozen、allow、catalog存在、重复method/path","definition只含operation/handler；method/path取权威catalog","全量allowed为null","allow外operation静默忽略；空path由catalog决定","否","写routes数组；读OperationCatalog","必须在freeze前；catalog已生成","允许列表外忽略是profile选择机制","INV-AU001-012；INV-AU001-013：method/path唯一","void","FROZEN、catalog get错误、DUPLICATE、compile错误","allow外立即return","OperationCatalog.get、FN-01384-006","无","无","无","无","无","无","同步","启动期；push同步","重复route抛；非幂等","compile后push单步；无外部半完成","RouteRegistry tests/HTTP tests","allow外错误operation、catalog特殊path待测","中","职责可保留集中","OperationController生成definition但不重复注册逻辑"
"FN-01384-003","FILE-01384","RouteRegistry.ts:37-44","验证期望operation全部注册并冻结routes","ApiBootstrap","计算registered/expected/missing","OperationId来源catalog或allowSet","无","expected空可成功；重复operation理论上先被path检查但不同path不可能由同catalog","否","写frozen并Object.freeze routes","全部模块register之后调用","expected定义了完整性边界","INV-AU001-014：冻结后expected无缺失","void","ROUTE_OPERATIONS_MISSING","missing非空先抛且不freeze","OperationCatalog.all/Object.freeze","无","无","无","无","无","无","同步","启动期","成功后重复freeze重新检查并成功；实质幂等","失败保持mutable且已有routes保留","RouteRegistry tests/bootstrap tests","部分注册失败后继续补注册的恢复行为待测","中","不拆","JobRegistry.freeze无完整性检查但领域不同"
"FN-01384-004","FILE-01384","RouteRegistry.ts:46-56","在冻结路由中按method/path寻找handler并解码参数","HttpApp/测试","先检查frozen；正则匹配；decodeURIComponent","method/path真实字符串由HTTP层提供","无","无匹配返回null；非法percent可能抛URIError","否","只读routes","必须freeze后；route顺序决定首命中","compile pattern需完全锚定且参数顺序一致","INV-AU001-015：命中返回对应operation/handler/parameters","match对象或null","NOT_FROZEN；decode URIError","method不符/regex不符continue；首命中return","RegExp.exec、decodeURIComponent","无","无","权限在handler/HttpApp后续","无","无","无","同步","RegExp无global标志；每调用局部parameters","只读确定性","无","RouteRegistry/Contract/HttpApp tests","非法编码和大小攻击、错误HTTP映射待测","中","匹配职责集中合理","Compatibility Express router不同实现"
"FN-01384-005","FILE-01384","RouteRegistry.ts:58-60","导出已注册operation/method/path诊断目录","诊断/测试","无freeze检查","返回readonly类型但数组未freeze；每项新对象","无","空routes返回空数组","否","只读routes","可在freeze前调用；调用方需理解不完整","不包含handler避免泄露实现","无","数组","无","无","Array.map","无","无","无","无","无","无","同步","快照对象","确定性","无","tests间接","冻结前误用待测","低","不拆","OperationCatalog.all是权威全集但用途不同"
"FN-01384-006","FILE-01384","RouteRegistry.ts:63-70","把花括号路径参数编译为锚定正则与参数名","FN-01384-002","先escape regex元字符后替换小写花括号参数","path来自生成catalog；参数名只匹配a-z+","无","无参数生成精确regex；大写/数字参数不会替换而按字面匹配","否","无","必须与OperationCatalog path语法一致","只支持小写字母参数名是隐藏语法约束","INV-AU001-015","RegExp与冻结parameters数组","非法正则理论上被escape避免；RegExp构造异常传播","无","String.replace、RegExp","无","无","无","无","无","无","同步","局部","确定性","无","RouteRegistry tests","大写/下划线参数和重复参数名待测","中","小函数无需拆","无第二个Canonical path compiler"
"FN-03143-001","FILE-03143","build-commerce-service.mjs:7-24","把一个正式service target构建为精确Main/Ready ESM bundles","release manifest/CLI argv[2]","target不存在时抛错；esbuild验证entry/import","argv无类型；serviceTargets查表是真实校验","无","缺argv/空串均视为未知target","不修改输入；写dist","文件系统dist与源码树","必须从项目根且在package安装后运行","serviceTargets名称、entry文件和远端seedInputs必须一致","INV-AU001-016：正式target只能构建白名单entry","顶层程序成功退出并打印summary","SERVICE_BUILD_TARGET_UNKNOWN或mkdir/esbuild异常","未知target在mkdir前抛","mkdir、esbuild、workspaceResolver","无","打印target/entries；无敏感值","无","无","无脚本级timeout；workflow声明300000ms","无显式清理旧dist；esbuild释放句柄","顶层await全部完成；无悬空Promise","单进程构建；并行workflow对同一dist可能竞争，CI通常隔离","重复运行覆盖同名输出；是否清旧文件UNKNOWN","build中途可能留下旧/部分dist；package计划应只取指定文件，待专项","release engine间接 tests","未知target可静态验证；部分写入/并发未测","中","建议保持单目标脚本；清理策略另审不实施","build-commerce是全量入口发现，目的不同"
"FN-03148-001","FILE-03148","service-impact.mjs:7-59","把Commerce changed files映射到正式service target集合","release planner动态调用adapter/changes","esbuild bundle验证入口图；过滤测试；无法收窄取上界","changes shape靠调用契约；path可为空时filter","无","空changed返回空；未解析非空changed返回全targets","否","读取源码/workspace manifests；局部Sets","目标commit需当前checkout；先build完整metafile再比较changes","entryPoints键用target--name且路径规范化必须一致","INV-AU001-017：不确定时不得返回窄于可达上界","targets/reasons","workspaceResolver/esbuild异常传播","changed空在图构建后才返回；没有提前省略build","esbuild、workspaceResolver","无","无","无","无","无函数级timeout；workflow/runner外层控制","write=false；无输出清理","await build/workspaceResolver；无悬空Promise","局部状态；esbuild内部并发","确定性依赖源码树/esbuild版本","无写文件；失败无持久半状态","无直接service-impact fixture检出","rename、外部workspace export、只改删除文件、esbuild异常未测","中高","职责单一但可测试性需加强；本审计不改","workspace-impact在包粒度补充非重复"
"FN-03148-002","FILE-03148","service-impact.mjs:61-65","判断Commerce变化是否仅为测试文件","FN-03148-001传path","目录片段或test/spec正则","path假设字符串","无","空串false；Windows分隔已假设Git path为斜杠","否","无","在changed Set建立时调用","测试目录命名需覆盖真实约定","无","boolean","正则本身不抛；非字符串会抛","匹配短路","String.includes/RegExp","无","无","无","无","无","无","同步","纯函数","确定性","无","无直接测试","其它测试目录命名与生成测试文件待审","低","不拆","workspace isValidationOnly有相似但额外docs规则；行为不完全相同"
"FN-03150-001","FILE-03150","workspace-impact.mjs:8-41","沿workspace反向依赖选择所有消费变化包的runtime targets","release planner传adapter/changes/refs","路径匹配、lock diff与target映射；无runtime schema","adapter/changes/refs靠内部契约","无","无匹配变化返回空；root package直接上界；无target上界","否","读package/lock和Git历史；局部Sets","目标commit当前checkout；graph建立先于分支","最长目录前缀决定workspace；依赖只取dependency三类","INV-AU001-018：消费者闭包完整且不确定时上界","targets/reasons","读文件/git show错误部分降级；其它异常传播","多个明确提前return","FN-03150-002至006、git子进程","无","无","无","无","无函数级timeout；execFile仅maxBuffer","execFile Promise管理子进程；无AbortSignal","await graph/lock历史；while同步闭包","局部状态；并发调用各自读文件","同一tree/refs确定性","无写入；Git失败降级而非半状态","planner.test直接覆盖一条依赖传播","rename、root lock大变化、循环依赖、target unknownImpact组合待测","高：多分支但职责聚焦","可通过fixtures增强，不在审计分支重构","service-impact源码图互补"
"FN-03150-002","FILE-03150","workspace-impact.mjs:43-53","从根manifest和lockfile建立workspace目录/依赖图","FN-03150-001","跳过root/node_modules/无name条目","JSON parse后value shape未schema验证","无","空packages返回空graph","否","读取两个文件","必须从projectRoot调用","lockfile是workspace依赖事实源；root返回但当前未被后续使用","INV-AU001-019：每workspace name对应目录与依赖Set","root/lock/byDirectory/dependencies","read/JSON parse异常传播","循环中continue跳过非workspace","readFile","无","无","无","无","无","文件Promise自动关闭","两个readFile串行await","局部Maps","重复读取反映当时文件状态","无写入","planner fixture间接","重复name目录覆盖与peer语义待测","中","root未使用是可维护性线索但不在本AU定级","workspaceResolver另读manifests用于esbuild路径"
"FN-03150-003","FILE-03150","workspace-impact.mjs:55-70","比较旧/新lock依赖并返回变化workspace集合","FN-03150-001在lockfile变化时调用","git show+JSON parse；失败全workspace上界","previous/current shape靠lock格式","失败默认所有workspace变化","refs缺失或旧commit无lock进入catch上界","否","启动git子进程并读当前graph","readWorkspaceGraph必须先完成","只比较dependencies/optional/peer，不比较version或devDependencies","INV-AU001-020：无法取得旧依赖不得窄选","Set","内部git/parse错误被catch并降级；循环异常传播","catch直接返回全量","execFile git show、FN-03150-004","无","无","无","无","无timeout；50MB maxBuffer","execFile结束清理；无abort","await子进程","局部状态","确定性依赖Git对象","无写入","planner tests部分","超大lock超时、workspace增删、版本改变但依赖不变语义待测","中","不拆","无等价lock diff"
"FN-03150-004","FILE-03150","workspace-impact.mjs:72-74","规范化影响传播所关心的依赖字段并排序","FN-03150-003","默认空对象","对象字段运行时未schema验证","空对象","null显式传入会在展开时按JS语义处理；需实测","否","无","用于JSON stringify比较两版","不含devDependencies是设计选择","无","排序对象","getter异常理论可传播","无","Object spread/entries/sort","无","无","无","无","无","无","同步","纯函数","确定性","无","planner间接","null/非对象和依赖值非字符串待测","低","不拆","无"
"FN-03150-005","FILE-03150","workspace-impact.mjs:76-78","生成无法收窄时的可达runtime target上界","FN-03150-001的多个fallback","排除migration且unknownImpact=false的target","target shape靠release adapter校验","无","无targets返回空上界","否","读adapter.targets","adapter应先通过schema/invariant验证","migration单独由迁移规则处理","INV-AU001-021：fallback不包含明确不可达target","排序targets/reason","属性访问异常传播","无","Object.entries/filter/map/sort","无","无","无","无","无","无","同步","纯读","确定性","无","planner tests部分","unknownImpact缺省和非boolean组合待测","低","不拆","planner自身另有unclassified上界逻辑；需release专项对齐"
"FN-03150-006","FILE-03150","workspace-impact.mjs:80-82","排除测试与docs路径的runtime影响","FN-03150-001传Git path","目录/扩展名正则","path假设字符串","无","空串false","否","无","在workspace定位前调用","docs目录命名约定需完整","无","boolean","非字符串会抛","匹配表达式短路","String.includes/RegExp","无","无","无","无","无","无","同步","纯函数","确定性","无","planner间接","根Markdown是否应排除由docs正则决定；更多命名待测","低","不拆","FN-03148-002相似但不排docs；差异有意图线索"
"FN-03151-001","FILE-03151","workspace-resolver.mjs:4-32","创建把@scope workspace import映射到源export的esbuild plugin","三个release build/impact脚本","读取manifest；仅manifest.name存在才注册；export需可解析","JSON与exports shape部分手工判断","projectRoot默认process.cwd","workspaces缺失为空；缺package跳过；重复name后者覆盖","否","读取文件系统；构造packages Map","必须在esbuild setup前await完成","workspace pattern最多按首个星号展开；exports解析仅精确subpath","INV-AU001-022：只解析当前workspace明确导出","plugin对象","非ENOENT读取/JSON/readdir错误传播","未知@包或无export时onResolve返回null","readFile、FN-03151-002/003、esbuild onResolve","无","无","无","无","无timeout","文件读取自动关闭","async初始化；onResolve同步","初始化局部Map；plugin setup由单build使用","同tree产生等价plugin","无写入","无直接专测","多星号、条件exports、wildcard exports、重复name待测","中","可保留；需要专项fixture而非先重构","Node resolver处理未接管路径"
"FN-03151-002","FILE-03151","workspace-resolver.mjs:34-41","把一个workspace路径模式展开为绝对目录列表","FN-03151-001逐个root pattern调用","检测首个星号；readdir仅保留directory","pattern来自根manifest但无schema","无","无星号返回单路径；suffix可空","否","读取父目录","父目录必须存在；只支持一个动态层","第二个星号不会再次展开","INV-AU001-023：当前7个单星号模式各展开一级目录","目录数组","readdir失败传播","无star立即返回","readdir/path","无","无","无","无","无timeout","readdir Promise自动释放","async","局部","确定性受目录快照影响","无写入","无直接测试","嵌套/多star和符号链接待测","低到中","当前规则足够现有manifest；泛化不在审计范围","npm自身workspace glob更完整但不由release调用"
"FN-03151-003","FILE-03151","workspace-resolver.mjs:43-49","从package exports选择精确subpath的ESM目标","esbuild onResolve传manifest.exports/subpath","string仅允许根；object取精确key并优先import/default","exports可为多种Node结构；实现只支持子集","无","undefined/null/数组/通配key未命中返回null","否","无","workspace name必须先匹配","条件优先级固定import再default；不递归conditions","INV-AU001-022","字符串路径或null","getter异常理论传播","多个不支持shape返回null","无","无","无","无","无","无","无","同步","纯函数","确定性","无","无直接测试","SDK wildcard、数组fallback、node/browser条件待测","低代码复杂度但兼容面关键","应以fixture澄清契约；不先扩展","Node标准exports resolver是相邻机制但此处刻意自有"
"FN-03210-001","FILE-03210","build-commerce.mjs:4-31","扫描并构建全部Commerce Main及9个工具入口","根npm scripts/Docker/check调用","文件名endsWith Main.ts；esbuild验证图","readdir结果真实；无manifest schema","无","零Main仍构建9工具入口","不修改输入；写dist","读取entry目录和源码；写dist","必须在仓库根和依赖已安装时执行","任何新增Main.ts自动扩大该构建；正式release另有白名单","INV-AU001-024：全量build包含每个Main.ts和固定工具入口","顶层程序成功退出","readdir/esbuild异常传播","无","readdir、esbuild","无","无","无","无","无脚本级timeout","无显式清理旧dist","顶层await build","单目录输出；并行运行可能竞争","重复运行覆盖同名输出；旧输出是否残留UNKNOWN","失败可能留旧/部分dist","多个deployment check读取脚本文本；无运行专测","新增/删除Main、旧dist清理和并发未测","中","全量开发职责明确；不与release白名单合并","FN-03143-001是目标化build"
"FN-04235-001","FILE-04235","playwright.config.ts:7-16","生成一个Playwright webServer启动定义","配置顶层传workspace/port","无workspace存在性校验；strictPort由下游执行","workspace字符串和port数字由调用处字面量提供","固定env字符串/120秒/no Nana","空workspace或非法port会生成无效命令","否","闭包读取模块级environment","Playwright消费返回对象后才启动","workspace必须存在且有dev script；当前4项不成立","INV-AU001-025：每webServer workspace可由npm解析","command/url/timeouts对象","本函数不抛；下游进程失败","无","字符串模板","无","无","无","无","Playwright timeout=120000","Playwright负责子进程","同步；返回对象","纯函数","同输入确定性","无","T-AU-001-001复现首项下游失败","其它四项逐命令运行、服务ready/端口冲突待测","低函数复杂度；配置风险高","不拆；应增加配置级验证但审计不实施","无等价webServer工厂"
