"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-00421-002","FILE-00421","resolveConsoleRoutePresentation","ConsoleModuleRoutes.tsx:18","ScopeShell；tests","按 scope 显示标题/摘要","未发现","无","否","用户可观察呈现规则","无","Console workspace","当前","scope 标题解析失败或行为改变"
"SYM-00421-003","FILE-00421","isConsoleRouteHandle","ConsoleModuleRoutes.tsx:29","deepestConsoleRouteHandle；tests","ScopeShell match 解析","未发现","无","否","route handle 运行时类型守卫","无","Console workspace","当前","未知 handle 过滤逻辑改变"
"SYM-00421-004","FILE-00421","deepestConsoleRouteHandle","ConsoleModuleRoutes.tsx:38","ScopeShell；tests","React Router matches","未发现","无","否","最深匹配 route 元数据","无","Console workspace","当前","Shell 当前页面上下文丢失"
"SYM-00421-005","FILE-00421","materializeConsoleModule","ConsoleModuleRoutes.tsx:48","materializeConsoleModules；tests","ConsoleRouter","未发现","无","否","hidden 模块可达性规则","创建 route objects","Console workspace","当前","单模块 route 生成失败"
"SYM-00421-006","FILE-00421","materializeConsoleModules","ConsoleModuleRoutes.tsx:55","ConsoleRouter；tests","全部 Console pages","未发现","无","否","模块目录到 Router 的主桥梁","创建数组","Console workspace","当前","所有模块子路由消失"
"SYM-00421-007","FILE-00421","selectDefaultConsoleEntry","ConsoleModuleRoutes.tsx:63","materializeConsoleIndexRoute；tests","scope 根重定向","未发现","无","否","按 navigation order 选择默认入口","无","Console workspace","当前","scope 根默认行为改变"
"SYM-00421-008","FILE-00421","materializeConsoleIndexRoute","ConsoleModuleRoutes.tsx:78","ConsoleRouter；tests","scope 根路由","未发现","无","否","默认重定向/NotFound 契约","可能创建 Navigate element/lazy import closure","Console workspace","当前","scope 根加载失败"
"SYM-00712-001","FILE-00712","default worker","worker/index.ts:18-61","Vite Cloudflare main；vinext runtime","Storefront 所有 Node/Worker请求","默认导出","Worker runtime fetch 调用","否","Storefront fetch contract","每请求可生成 UUID并调用下游","应用公开入口","当前 Node/Worker兼容导出","Storefront页面和同源public API全部失去入口"
"SYM-01367-001","FILE-01367","JobDefinition","JobRegistry.ts:3","app/jobs、JobRegistry、modules","JobsBootstrap/QueueJob","未发现","无","否","任务配置内部契约","无","Commerce service","当前","job catalog 类型与构建失败"
"SYM-01367-002","FILE-01367","JobRegistry","JobRegistry.ts:12","ApiBootstrap、JobsBootstrap、app/jobs","所有 Canonical jobs","未发现","无","否","启动期任务注册契约","实例方法写内部Map/frozen","Commerce service","当前","API/Jobs bootstrap 编译或启动失败"
"SYM-01373-001","FILE-01373","ModuleContext","ModuleRegistry.ts:8","全部 Commerce module registration","API/Jobs bootstrap","未发现","无","否","容器/bus/registry/extension上下文","无","Commerce service","当前","大多数模块类型链与注册失败"
"SYM-01373-002","FILE-01373","CommerceModule","ModuleRegistry.ts:18","app/modules、ModuleRegistry","所有 Canonical target","未发现","无","否","模块 ID/依赖/register 契约","无","Commerce service","当前","模块目录无法组合"
"SYM-01373-003","FILE-01373","ModuleRegistry","ModuleRegistry.ts:24","ApiBootstrap、JobsBootstrap、tests","所有 Canonical target","未发现","无","否","模块拓扑加载契约","load 执行模块注册副作用","Commerce service","当前","所有 Canonical服务在bootstrap失败"
"SYM-01384-001","FILE-01384","RouteHandler","RouteRegistry.ts:5","RouteDefinition、tests/handlers","HttpApp","未发现","无","否","HTTP handler内部契约","调用时执行下游","Commerce service","当前","route handler类型链失败"
"SYM-01384-002","FILE-01384","RouteDefinition","RouteRegistry.ts:7","modules/OperationController/tests","RouteRegistry","未发现","无","否","operation到handler绑定契约","无","Commerce service","当前","route registration类型链失败"
"SYM-01384-003","FILE-01384","RouteRegistry","RouteRegistry.ts:19","ApiBootstrap、ModuleContext、HttpApp、tests","所有 Canonical APIs","未发现","无","否","Canonical HTTP route catalog","register/freeze改变内部状态","Commerce service","当前","API启动或请求匹配失败"
"SYM-03148-001","FILE-03148","resolveImpact","service-impact.mjs:7","release adapter动态导入","planner/CI target选择","无","release manifest module字符串加载","否","动态影响resolver接口","运行esbuild内存构建","release adapter","当前","Commerce变更可能无法制定发布plan；恢复模块并重跑planner"
"SYM-03149-001","FILE-03149","serviceTargets","service-targets.mjs:1","build-commerce-service、service-impact","release manifest target build","无","无","否","10个正式服务构建映射","加载时构造冻结顶层对象","release adapter","当前","正式服务build和影响图失去映射"
"SYM-03149-002","FILE-03149","serviceEntryDirectory","service-targets.mjs:14","build-commerce-service、service-impact","esbuild entry resolution","无","无","否","Commerce entry根路径","无","release adapter","当前","所有服务entry路径解析失败"
"SYM-03150-001","FILE-03150","resolveImpact","workspace-impact.mjs:8","release adapter动态导入；planner.test","planner/CI target选择","无","release manifest module字符串加载","否","workspace动态影响resolver接口","读lock并可能启动git show","release adapter","当前","workspace变更target选择失效"
"SYM-03151-001","FILE-03151","workspaceResolver","workspace-resolver.mjs:4","service-impact、build-commerce-service、build-database-migration","esbuild构建/影响图","无","esbuild onResolve回调","否","本地workspace source解析插件","调用时读全部manifest","release adapter","当前","service/migration bundle解析本地包失败"
"SYM-04232-001","FILE-04232","default ESLint config","eslint.config.mjs:35","ESLint CLI自动发现","npm run lint/CI","默认导出","工具约定加载","否","仓库静态质量规则","加载时合并插件规则对象","仓库根","当前但路径有F-0003","删除后lint无根配置；修复应可回退独立提交"
"SYM-04235-001","FILE-04235","default Playwright config","playwright.config.ts:18","Playwright CLI自动发现","npm run test:e2e","默认导出","工具约定加载","否","浏览器测试编排契约","CLI消费后启动5个子进程","仓库根","当前但workspace有F-0002","删除后test:e2e失去发现配置"
