"编号","规则代码","路径","键/细节","解释","证据边界"
"ENV-AU-006-030","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_HOSTNAME","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-031","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_HOSTNAME","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-032","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_STOREFRONT_HOSTNAME","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-033","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_STOREFRONT_HOSTNAME","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-034","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-035","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-036","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-037","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-038","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_APPLICATION","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-039","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","SFL_STOREFRONT_APPLICATION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-040","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_STOREFRONT_APPLICATION","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-041","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontIdentity.ts","NEXT_PUBLIC_STOREFRONT_APPLICATION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-042","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_API_BASE_URL","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-043","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_API_BASE_URL","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-044","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_API_ORIGIN","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-045","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_API_ORIGIN","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-046","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NODE_ENV","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-047","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NODE_ENV","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-048","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_CLIENT_VERSION","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-049","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/services/canonicalApiClient.ts","NEXT_PUBLIC_CLIENT_VERSION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-050","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/testIdentityNodeEnvironment.ts","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-051","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/testIdentityNodeEnvironment.ts","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-052","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/testIdentityNodeEnvironment.ts","NEXT_PUBLIC_STOREFRONT_HOSTNAME","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-053","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/testIdentityNodeEnvironment.ts","NEXT_PUBLIC_STOREFRONT_HOSTNAME","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-054","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/services/commerce-api/src/adminServer.ts","ENV_FILE","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-055","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce-api/src/adminServer.ts","ENV_FILE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-056","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/services/commerce-api/src/adminServer.ts","PORT","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-057","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce-api/src/adminServer.ts","PORT","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-058","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce-api/src/adminServer.ts","APP_ENV","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-059","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce-api/src/adminServer.ts","AUTH_MODE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-060","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/services/commerce-api/src/adminServer.ts","GEMINI_API_KEY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-061","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce-api/src/adminServer.ts","GEMINI_API_KEY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-062","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce/src/entry/CatalogObjectStoreReadyMain.ts","NODE_MANIFEST_ID","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-063","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce/src/entry/CatalogObjectStoreReadyMain.ts","NODE_MANIFEST_DIGEST","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-064","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce/src/entry/CatalogObjectStoreReadyMain.ts","NODE_RUNTIME_INSTANCE_ID","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-065","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/services/commerce/src/entry/CatalogObjectStoreReadyMain.ts","NODE_RESOURCE_BINDING_VERSION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-066","ENVIRONMENT_DYNAMIC_READ","01_core_hexin/services/commerce/src/entry/ConsoleSupportMain.ts","dynamic environment lookup","动态下标读取被规则统一拒绝","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-067","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/localinfra/src/RegistrationReady.ts","LOCAL_RUNTIME_PROFILE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-068","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/localinfra/src/Run.ts","LOCAL_RUNTIME_PROFILE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-069","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/localinfra/src/Run.ts","NODE_ENV","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-070","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/localinfra/src/Run.ts","NODE_ENV","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-071","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/CopyRegistrationOtp.ts","APP_ENV","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-072","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/CopyRegistrationOtp.ts","LOCAL_OTP_MOBILE","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-073","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/CopyRegistrationOtp.ts","LOCAL_OTP_MOBILE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-074","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/InternalMallDatabase.ts","PGHOST","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-075","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/InternalMallDatabase.ts","PGHOST","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-076","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/InternalMallDatabase.ts","INTERNAL_DATASET_DB_PORT","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-077","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/InternalMallDatabase.ts","INTERNAL_DATASET_DB_PORT","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-078","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/InternalMallDatabase.ts","PGPORT","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-079","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/InternalMallDatabase.ts","PGPORT","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-080","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/InternalMallDatabase.ts","POSTGRES_USER","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-081","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/InternalMallDatabase.ts","POSTGRES_PASSWORD","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-082","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/VerifyImportedInternalMallDataset.ts","INTERNAL_DATASET_VERIFY_MODE","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-083","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/VerifyImportedInternalMallDataset.ts","INTERNAL_DATASET_VERIFY_MODE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-084","ENVIRONMENT_KEY_UNDECLARED","04_tools/tools/seed/src/VerifyInternalMallDataset.ts","INTERNAL_DATASET_VERIFY_MODE","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-085","ENVIRONMENT_READ_OUTSIDE_OWNER","04_tools/tools/seed/src/VerifyInternalMallDataset.ts","INTERNAL_DATASET_VERIFY_MODE","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
