"路径","所属模块","文件类型","审阅状态","审阅日期","审计检查点","主要入口或调用者","风险等级","结论","是否需要二次复核"
"02_platform_pingtai/database/supabase/tests/inventory_mall_identity_contract.sql","数据/inventory","数据库合同测试","已结构性审阅","2026-09-15","AU-724 inventory contract test suite","inventory Mall identity runner","高","G0：Mall composite FK/duplicate movement/return assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/inventory_payment_expiry_contract.sql","数据/inventory","数据库合同测试","已结构性审阅","2026-09-15","AU-724 inventory contract test suite","inventory payment expiry runner","高","G0：payment expiry inventory release assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/inventory_reservation_lifecycle_contract.sql","数据/inventory","数据库合同测试","已深入审阅","2026-09-15","AU-724 inventory contract test suite","inventory reservation lifecycle runner","高","G0：reserve/commit/release/return/idempotency/oversell assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/inventory_single_source_cutover_contract.sql","数据/inventory","数据库合同测试","已深入审阅","2026-09-15","AU-724 inventory contract test suite","inventory single-source cutover runner","高","G0：cutover/step-up/review/single-source assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/internal_payment_effects_contract.sql","数据/payment","数据库合同测试","已深入审阅","2026-09-15","AU-723 payment contract test suite","payment effect/authorization contract runner","高","G0：internal tender/refund/accounting/outbox effect assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/internal_payment_replay_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment replay contract runner","高","G0：idempotency/replay/accounting fixture assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_deadletter_authorization_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment deadletter authorization runner","高","G0：deadletter scope/step-up/replay evidence assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_effect_processors_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment effect processor runner","高","G0：effect relay/topic/lease/aggregate drain assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_mall_identity_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment Mall identity runner","高","G0：webhook/refund Mall composite identity assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_operation_recovery_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment operation recovery runner","高","G0：recovery deadletter/step-up/replay assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_outbox_consumer_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment outbox consumer runner","高","G0：claim/ordering/fanout/inbox idempotency assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_query_guard_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","payment query/expiry runner","高","G0：lease/close/inventory release terminal-state assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/payment_refund_supersession_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","refund supersession runner","高","G0：capture/refund supersession accounting side-effect assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/refund_acl_contract.sql","数据/payment","数据库合同测试","已深入审阅","2026-09-15","AU-723 payment contract test suite","refund ACL runner","高","G0：privileged function/table grant deny/allow assertions；rollback","否"
"02_platform_pingtai/database/supabase/tests/refund_reconciliation_contract.sql","数据/payment","数据库合同测试","已结构性审阅","2026-09-15","AU-723 payment contract test suite","refund reconciliation runner","高","G0：multi-source refund/accounting reconciliation assertions；rollback","否"
"04_tools/tools/seed/src/CopyRegistrationOtp.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","local registration OTP command","高","G0：development/macOS/loopback guard 的 OTP clipboard helper","否"
"04_tools/tools/seed/src/LocalRegistrationOtp.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-722 local seed orchestration","LocalRegistrationOtp","中","验证 local OTP input/boundary contract","否"
"04_tools/tools/seed/src/LocalRegistrationOtp.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","CopyRegistrationOtp","高","G0：local challenge query/KMS decrypt/clipboard boundary","否"
"04_tools/tools/seed/src/LocalSecrets.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","local seed commands","中","G0：local secret-store adapter","否"
"04_tools/tools/seed/src/Migrate.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","npm run local:migrate","高","G0：fresh local schema/owner bootstrap/migration orchestration","否"
"04_tools/tools/seed/src/Process.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-722 local seed orchestration","Migrate child process runner","低","G0：inherited local process runner","否"
"04_tools/tools/seed/src/PurchaseDatabaseAccess.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-722 local seed orchestration","purchase DB access migration contract","高","验证 purchase role/grant constraints","否"
"04_tools/tools/seed/src/Seed.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","npm run local:seed","高","G0：local Ethan/storefront/employee data seed transaction","否"
"04_tools/tools/seed/src/StagingOwnerBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-722 local seed orchestration","staging owner plan","中","验证 staging/production endpoint separation","否"
"04_tools/tools/seed/src/StagingOwnerBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","BootstrapStagingOwner","高","G0：staging Owner endpoint/receipt/secret plan","否"
"04_tools/tools/seed/src/Verify.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-722 local seed orchestration","npm run local:verify","中","G0：local seed verification entry","否"
"04_tools/tools/seed/src/WebBusinessDatabaseAccess.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-722 local seed orchestration","web business DB access migration contract","高","验证 Web API role/grant constraints","否"
"04_tools/tools/seed/src/BootstrapOwner.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","owner bootstrap service","高","G0：production loopback/role/sentinel/secret guarded owner bootstrap","否"
"04_tools/tools/seed/src/BootstrapRegistration.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","registration bootstrap service","高","G0：test DB invitation/audit/pending export atomic lifecycle","否"
"04_tools/tools/seed/src/BootstrapSandboxCatalog.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox catalog bootstrap","高","G0：confirmed sandbox catalog SQL runner","否"
"04_tools/tools/seed/src/BootstrapSandboxQualification.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox qualification bootstrap","高","G0：confirmed sandbox qualification runner","否"
"04_tools/tools/seed/src/BootstrapSandboxWelfare.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox welfare bootstrap","高","G0：confirmed sandbox welfare runner","否"
"04_tools/tools/seed/src/BootstrapStagingOwner.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","staging owner bootstrap","高","G0：staging role/sentinel/receipt guarded owner bootstrap","否"
"04_tools/tools/seed/src/OwnerBootstrapDatabase.sql","工具/seed","SQL脚本","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","deployment.bootstrap_zhudatuan_owner","高","G0：fixed owner identity/audit DB contract","否"
"04_tools/tools/seed/src/OwnerBootstrapDatabase.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","owner bootstrap DB contract","高","验证 owner database contract","否"
"04_tools/tools/seed/src/OwnerBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","owner bootstrap plan","中","验证 endpoint/confirmation/secret plan guards","否"
"04_tools/tools/seed/src/OwnerBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","BootstrapOwner environment/secrets","高","G0：production loopback endpoint and secret-reference guard","否"
"04_tools/tools/seed/src/RegistrationBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","registration bootstrap plan","中","验证 independent-test DB/export plan guards","否"
"04_tools/tools/seed/src/RegistrationBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","BootstrapRegistration environment/export","高","G0：test endpoint/confirmation/sentinel/export integrity plan","否"
"04_tools/tools/seed/src/SandboxCatalogBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox catalog plan","中","验证 sandbox plan guard","否"
"04_tools/tools/seed/src/SandboxCatalogBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","BootstrapSandboxCatalog environment","高","G0：sandbox catalog DB/confirm/sentinel plan","否"
"04_tools/tools/seed/src/SandboxCatalogDatabase.sql","工具/seed","SQL脚本","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox catalog bootstrap runner","高","G0：idempotent sandbox catalog/application/audit fixture contract","否"
"04_tools/tools/seed/src/SandboxCatalogDatabase.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox catalog SQL contract","中","验证 sandbox catalog database contract","否"
"04_tools/tools/seed/src/SandboxQualificationBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox qualification plan","中","验证 sandbox qualification plan","否"
"04_tools/tools/seed/src/SandboxQualificationBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","BootstrapSandboxQualification environment","高","G0：sandbox qualification DB/confirm/sentinel plan","否"
"04_tools/tools/seed/src/SandboxQualificationDatabase.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox qualification SQL contract","中","验证 sandbox qualification contract","否"
"04_tools/tools/seed/src/SandboxWelfareBootstrapPlan.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox welfare plan","中","验证 sandbox welfare plan","否"
"04_tools/tools/seed/src/SandboxWelfareBootstrapPlan.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-721 bootstrap one-shots","BootstrapSandboxWelfare environment","高","G0：sandbox welfare DB/confirm/sentinel plan","否"
"04_tools/tools/seed/src/SandboxWelfareDatabase.test.ts","工具/seed","测试源码","已结构性审阅","2026-09-15","AU-721 bootstrap one-shots","sandbox welfare database contract","中","验证 sandbox welfare contract","否"
"04_tools/tools/seed/src/CleanupInternalMallDataset.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","dataset cleanup command","高","G0：transactional cleanup/residual check，受 database guard 保护","否"
"04_tools/tools/seed/src/ImportInternalMallDataset.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","dataset:import:test","高","G0；F-0293：import target guard 不完整","否"
"04_tools/tools/seed/src/InternalMallCleanup.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","dataset seed/cleanup/counts","高","G0：ITHT namespace 与 dependent row cleanup/count contract","否"
"04_tools/tools/seed/src/InternalMallDatabase.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","dataset/import database guard","高","G0；F-0293：import parser/assertion跳过 local/namespace/foreign-row guard","否"
"04_tools/tools/seed/src/InternalMallDataset.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","local dataset seed command","高","G0：local-only transaction seed lifecycle","否"
"04_tools/tools/seed/src/InternalMallFixtures.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","deterministic synthetic plan","中","G0：dataset identity/fixture generator；同形 rows结构审阅","否"
"04_tools/tools/seed/src/InternalMallSeedCommerce.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","commerce seed stage","高","G0：order/payment/fulfillment seed；关联既有 F-0265","否"
"04_tools/tools/seed/src/InternalMallSeedCore.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","core seed stage","高","G0：organization/member/catalog/voucher core seed","否"
"04_tools/tools/seed/src/InternalMallSeedReporting.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","reporting seed stage","高","G0：finance/report/outbox seed stage","否"
"04_tools/tools/seed/src/VerifyImportedInternalMallDataset.ts","工具/seed","TypeScript源码","已结构性审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","import-mode verifier wrapper","中","G0：明确切换 import verification mode","否"
"04_tools/tools/seed/src/VerifyInternalMallDataset.ts","工具/seed","TypeScript源码","已深入审阅","2026-09-15","AU-720 Internal Mall dataset lifecycle","dataset/import invariant verifier","高","G0：多域 count/integrity/chronology verification；import 继承 F-0293 guard","否"
"04_tools/tools/localinfra/src/Http.test.ts","工具/localinfra","测试源码","已结构性审阅","2026-09-15","AU-719 local infrastructure tooling","Http workload bearer preflight","中","验证 readiness-only anonymous 与 bearer fail-closed","否"
"04_tools/tools/localinfra/src/Launch.mjs","工具/localinfra","JavaScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","root local:* scripts","中","G0：受信任子进程转发与 signal relay","否"
"04_tools/tools/localinfra/src/LocalClient.ts","工具/localinfra","TypeScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","@shop/localinfra public API / seed tools","中","G0：本地 fetch/JSON/secret typed boundary","否"
"04_tools/tools/localinfra/src/LocalPassword.test.ts","工具/localinfra","测试源码","已结构性审阅","2026-09-15","AU-719 local infrastructure tooling","localBootstrapPassword","低","验证密码策略与随机性样本","否"
"04_tools/tools/localinfra/src/LocalPassword.ts","工具/localinfra","TypeScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","Prepare local credential generation","中","G0：local bootstrap password generator","否"
"04_tools/tools/localinfra/src/PostgresTlsProxy.test.ts","工具/localinfra","测试源码","已结构性审阅","2026-09-15","AU-719 local infrastructure tooling","Postgres TLS proxy","高","验证 loopback、CA credential path、DNS/SNI 与 TLS fail-closed","否"
"04_tools/tools/localinfra/src/Prepare.ts","工具/localinfra","TypeScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","npm run local:prepare","高","G0：生成 local TLS/secrets/.env；有私有文件权限约束","否"
"04_tools/tools/localinfra/src/RegistrationReady.ts","工具/localinfra","TypeScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","InternalRuntimeReadyMain","中","G0：registration/full-staging readiness gate","否"
"04_tools/tools/localinfra/src/RuntimeEntries.test.ts","工具/localinfra","测试源码","已结构性审阅","2026-09-15","AU-719 local infrastructure tooling","local runtime profile entries","低","验证 registration-only 排除 object store","否"
"04_tools/tools/localinfra/src/Verify.ts","工具/localinfra","TypeScript源码","已深入审阅","2026-09-15","AU-719 local infrastructure tooling","npm run local:verify-services","中","G0；F-0292：verification object 无 cleanup","否"
"04_tools/tools/localinfra/src/index.ts","工具/localinfra","TypeScript源码","已结构性审阅","2026-09-15","AU-719 local infrastructure tooling","@shop/localinfra package public exports","中","G0：仅暴露 local client helpers","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/AI-release-engine-candidate-2026-09-09.md","架构/evidence","历史验收文档","归档文件","2026-09-15","AU-718 historical architecture evidence","历史 release-engine 候选取证","低","G0：历史候选验收，不是当前部署事实","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/SFL-1.6-L0-L1-完整符合性矩阵-2026-09-08.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史 L0/L1 符合性矩阵","低","G0：历史验证证据，不创造当前契约","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/SFL-2.2-关键写执行合同矩阵-2026-09-12.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","治理文档 REFERENCE","中","G0：历史关键写矩阵；引用为证据而非运行输入","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/SFL-统一节点实体总验收-E05-E12-2026-09-12.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史实体验收与实验矩阵引用","中","G0：历史节点实体验收证据","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/SFL-统一节点模型实验矩阵-2026-09-12.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史节点模型实验","中","G0：历史实验矩阵","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-001-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-002-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-003-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-004-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-005-014-batch-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口批次证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/branch-closure-015-025-batch-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史分支收口批次证据","低","G0：历史分支取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/hbbtzn-shared-kernel-migration-batch1-2026-09-12.md","架构/evidence","历史迁移取证文档","归档文件","2026-09-15","AU-718 historical architecture evidence","HBBTZN 历史迁移 dry-run/切换候选","中","G0：历史迁移取证，未授权当前切流","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/production-state-2026-09-02.json","架构/evidence","历史生产快照","归档文件","2026-09-15","AU-718 historical architecture evidence","docs README 机器快照链接","中","G0：明确日期的只读快照，非当前生产状态","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/sfl-double95-branch-ledger-2026-09-08.md","架构/evidence","历史分支账本文档","归档文件","2026-09-15","AU-718 historical architecture evidence","历史 SFL 分支收口账本","低","G0：历史分支处置取证","否"
"05_docs_ziliao/docs_wendang/architecture/evidence/zero-unique-branches-20-2026-09-02.json","架构/evidence","历史证据数据","归档文件","2026-09-15","AU-718 historical architecture evidence","历史零独有分支取证","低","G0：历史分支取证","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/catalog-api.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-catalog-api.service / catalog-operator-only","高","G0：Catalog API 独立 DB role/object-store/node binding","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/catalog-jobs.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-catalog-jobs.service / shopjob","中","G0：Catalog worker 独立 job/对象存储绑定","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/console-support.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-console-support.service","中","G1：专用 Support 运行面无仓内调用者；DC-0077","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/identity-notification-jobs.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-identity-notification-jobs.service / identity-notification-only","中","G0：L0 notification job 节点绑定","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/identity-registration-api.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-api.service / registration-only","高","G0：Identity API session/identity/WeChat/DB role 最小绑定","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/mall-provisioning-api.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-mall-provisioning-api.service / mall-provisioning-only","高","G0：Mall provisioning API secret-store/node binding","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/mall-provisioning-role.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","postgres-provision-mall-role.sh","高","G0：受控 PostgreSQL role one-shot 输入","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/migration.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-migration.service","高","G0：受批准注册迁移输入与密钥引用","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/owner-bootstrap.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","owner bootstrap one-shot","高","G0：Owner bootstrap confirm/sentinel 输入","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/payment-jobs.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-payment-jobs.service / payment-only","高","G0：Payment worker 独立 job role/WeChat binding","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/payment-webhook-api.env.example","基础设施/zhudatuan","环境模板","已深入审阅","2026-09-15","AU-717 L0 runtime environments","zhudatuan-payment-webhook-api.service / payment-webhook-only","高","G0：Webhook API 独立 database role/WeChat binding","否"
"02_platform_pingtai/infrastructure/zhudatuan/aliyun/payment-webhook-role.env.example","基础设施/zhudatuan","环境模板","已结构性审阅","2026-09-15","AU-717 L0 runtime environments","postgres-provision-payment-webhook-role.sh","高","G0：受控 PostgreSQL webhook role one-shot 输入","否"
