编号,定义位置,code,HTTP状态,排序有效,唯一,生成映射,当前精确字面量次数,首个精确字面量位置,审阅结论
ERR-AU-007-0046,01_core_hexin/packages/contract/definitions/errors.yml:93,APPLICATION_ROLE_BYPASSES_RLS,500,false,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0047,01_core_hexin/packages/contract/definitions/errors.yml:95,APPLICATION_ROLE_BYPASSRLS,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0048,01_core_hexin/packages/contract/definitions/errors.yml:97,APPROVAL_ALREADY_DECIDED,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0049,01_core_hexin/packages/contract/definitions/errors.yml:99,APPROVAL_NOT_ASSIGNED,403,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0050,01_core_hexin/packages/contract/definitions/errors.yml:101,AUDIT_ACCESS_ID_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/02_domain_yewu/model/AccessRecord.ts:9,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0051,01_core_hexin/packages/contract/definitions/errors.yml:103,AUDIT_ACCESS_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/02_domain_yewu/model/AccessRecord.ts:8,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0052,01_core_hexin/packages/contract/definitions/errors.yml:105,AUDIT_APP_MUTATION_POLICY_PRESENT,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0053,01_core_hexin/packages/contract/definitions/errors.yml:107,AUDIT_ARCHIVE_DELETE_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,04_tools/scripts/audit/database-contracts.mjs:578,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0054,01_core_hexin/packages/contract/definitions/errors.yml:109,AUDIT_ARCHIVE_OBJECT_HASH_MISMATCH,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/05_interface_jieru/job/AuditArchiveJob.ts:62,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0055,01_core_hexin/packages/contract/definitions/errors.yml:111,AUDIT_ARCHIVE_OBJECT_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/05_interface_jieru/job/AuditArchiveJob.ts:60,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0056,01_core_hexin/packages/contract/definitions/errors.yml:113,AUDIT_ARCHIVE_OBJECT_MISMATCH,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/05_interface_jieru/job/AuditArchiveJob.ts:67,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0057,01_core_hexin/packages/contract/definitions/errors.yml:115,AUDIT_ARCHIVE_OBJECT_TOO_LARGE,413,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/05_interface_jieru/job/AuditArchiveJob.ts:47,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0058,01_core_hexin/packages/contract/definitions/errors.yml:117,AUDIT_ARCHIVE_REFERENCE_CONFLICT,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/04_adapters_shixian/persistence/PgAuditRepository.ts:93,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0059,01_core_hexin/packages/contract/definitions/errors.yml:119,AUDIT_ARCHIVE_SOURCE_CHANGED,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/04_adapters_shixian/persistence/PgAuditRepository.ts:97,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0060,01_core_hexin/packages/contract/definitions/errors.yml:121,AUDIT_ID_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/02_domain_yewu/model/AuditRecord.ts:11,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0061,01_core_hexin/packages/contract/definitions/errors.yml:123,AUDIT_IMMUTABILITY_TRIGGER_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0062,01_core_hexin/packages/contract/definitions/errors.yml:125,AUDIT_IMMUTABLE,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0063,01_core_hexin/packages/contract/definitions/errors.yml:127,AUDIT_RECORD_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/audit/02_domain_yewu/model/AuditRecord.ts:9,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0064,01_core_hexin/packages/contract/definitions/errors.yml:129,AUDIT_UPDATE_IMMUTABILITY_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,04_tools/scripts/audit/database-contracts.mjs:574,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0065,01_core_hexin/packages/contract/definitions/errors.yml:131,AUDIT_UPDATE_WAS_NOT_REJECTED,400,true,true,ErrorContract.generated.ts/errorStatus,1,04_tools/scripts/audit/database-contracts.mjs:572,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0066,01_core_hexin/packages/contract/definitions/errors.yml:133,AUTH_RETURN_TARGET_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,7,01_core_hexin/services/commerce/src/modules/identity/04_adapters_shixian/providers_waibu/ReturnTargetSigner.ts:12,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0067,01_core_hexin/packages/contract/definitions/errors.yml:135,AUTH_RETURN_TARGETS_INVALID,400,false,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0068,01_core_hexin/packages/contract/definitions/errors.yml:137,AUTH_SESSION_STORAGE_UNAVAILABLE,503,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0069,01_core_hexin/packages/contract/definitions/errors.yml:139,AUTH_STATE_EXPIRED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0070,01_core_hexin/packages/contract/definitions/errors.yml:141,AUTH_STATE_INVALID,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0071,01_core_hexin/packages/contract/definitions/errors.yml:143,AUTH_STATE_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0072,01_core_hexin/packages/contract/definitions/errors.yml:145,AUTH_TICKET_CAPABILITY_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0073,01_core_hexin/packages/contract/definitions/errors.yml:147,AUTH_TICKET_EXCHANGE_REJECTED,401,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/identity/04_adapters_shixian/persistence_cunchu/PgAuthTicket.ts:43,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0074,01_core_hexin/packages/contract/definitions/errors.yml:149,AUTH_TICKET_TABLE_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0075,01_core_hexin/packages/contract/definitions/errors.yml:151,AUTH_TRANSACTION_REQUIRED,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/identity/05_interface_jieru/http/WechatOperations.ts:143,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0076,01_core_hexin/packages/contract/definitions/errors.yml:153,AUTHENTICATION_REQUIRED,401,false,true,ErrorContract.generated.ts/errorStatus,7,01_core_hexin/services/commerce/src/foundation/application/ModuleOperations.ts:230,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0077,01_core_hexin/packages/contract/definitions/errors.yml:155,AUTHORIZATION_DENIED,403,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0078,01_core_hexin/packages/contract/definitions/errors.yml:157,BENEFIT_ACCOUNT_CREATE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/05_interface_jieru/job/BenefitJobs.ts:73,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0079,01_core_hexin/packages/contract/definitions/errors.yml:159,BENEFIT_ACCOUNT_NOT_USABLE,409,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/benefit/04_adapters_shixian/BenefitPort.ts:32,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0080,01_core_hexin/packages/contract/definitions/errors.yml:161,BENEFIT_ACCOUNT_REQUIRED,400,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/payment_zhifu/03_application_yingyong/services_fuwu/PaymentSettlement.ts:86,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0081,01_core_hexin/packages/contract/definitions/errors.yml:163,BENEFIT_BALANCE_DIFFERENCE,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0082,01_core_hexin/packages/contract/definitions/errors.yml:165,BENEFIT_BALANCE_INSUFFICIENT,409,true,true,ErrorContract.generated.ts/errorStatus,3,01_core_hexin/services/commerce/src/modules/benefit/04_adapters_shixian/BenefitPort.ts:35,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0083,01_core_hexin/packages/contract/definitions/errors.yml:167,BENEFIT_BATCH_NOT_APPROVED,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/05_interface_jieru/job/BenefitJobs.ts:44,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0084,01_core_hexin/packages/contract/definitions/errors.yml:169,BENEFIT_BATCH_NOT_REVOKING,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/05_interface_jieru/job/BenefitJobs.ts:105,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0085,01_core_hexin/packages/contract/definitions/errors.yml:171,BENEFIT_BUDGET_CONFLICT,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:109,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0086,01_core_hexin/packages/contract/definitions/errors.yml:173,BENEFIT_BUDGET_INSUFFICIENT,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:153,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0087,01_core_hexin/packages/contract/definitions/errors.yml:175,BENEFIT_BUDGET_PERIOD_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:101,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0088,01_core_hexin/packages/contract/definitions/errors.yml:177,BENEFIT_BUDGET_TRANSITION_FAILED,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/05_interface_jieru/job/BenefitJobs.ts:241,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0089,01_core_hexin/packages/contract/definitions/errors.yml:179,BENEFIT_CONTROL_ACTION_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:188,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0090,01_core_hexin/packages/contract/definitions/errors.yml:181,BENEFIT_CONTROL_STATE_CONFLICT,409,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/benefit/02_domain_yewu/policy/GrantPolicy.ts:31,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0091,01_core_hexin/packages/contract/definitions/errors.yml:183,BENEFIT_CURRENCY_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:70,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0092,01_core_hexin/packages/contract/definitions/errors.yml:185,BENEFIT_DECISION_CONFLICT_OR_SEPARATION,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:147,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0093,01_core_hexin/packages/contract/definitions/errors.yml:187,BENEFIT_DECISION_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:141,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0094,01_core_hexin/packages/contract/definitions/errors.yml:189,BENEFIT_FINANCE_PROJECTION_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0095,01_core_hexin/packages/contract/definitions/errors.yml:191,BENEFIT_FOUR_EYES_REQUIRED,403,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/02_domain_yewu/policy/GrantPolicy.ts:35,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0096,01_core_hexin/packages/contract/definitions/errors.yml:193,BENEFIT_HOLD_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/04_adapters_shixian/BenefitPort.ts:49,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0097,01_core_hexin/packages/contract/definitions/errors.yml:195,BENEFIT_JOB_SUBTYPE_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/benefit/05_interface_jieru/job/BenefitDeadletter.ts:12,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0098,01_core_hexin/packages/contract/definitions/errors.yml:197,BENEFIT_MEMBER_DUPLICATE,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:265,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0099,01_core_hexin/packages/contract/definitions/errors.yml:199,BENEFIT_PLAN_KIND_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:68,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0100,01_core_hexin/packages/contract/definitions/errors.yml:201,BENEFIT_PLAN_MUST_START_DRAFT,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/02_domain_yewu/policy/GrantPolicy.ts:20,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0101,01_core_hexin/packages/contract/definitions/errors.yml:203,BENEFIT_PLAN_OR_BUDGET_UNAVAILABLE,503,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/benefit/03_application_yingyong/BenefitOperations.ts:125,[FACT] 定义合法；当前精确字面量消费者已记录
