编号,定义位置,Operation,owner,method,path,audience,permission,availability,execution,idempotency,expectedVersion,writePath,requestFields,responseFields,requirements,controller,handler,sdk,审阅结论
OP-AU-007-016,01_core_hexin/packages/contract/definitions/operations.yml:219,identity.members.create,identity,POST,/api/v1/identity/members,public,,runtime,sync,required,optional,transactional,15,61,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-017,01_core_hexin/packages/contract/definitions/operations.yml:232,identity.members.manage,identity,PUT,/api/v1/identity/members/{membershipid},operator,member.manage,runtime,sync,required,optional,transactional,17,20,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-018,01_core_hexin/packages/contract/definitions/operations.yml:248,identity.password.change,identity,PUT,/api/v1/identity/password,member,identity.credential.manage,runtime,sync,required,optional,transactional,4,14,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-019,01_core_hexin/packages/contract/definitions/operations.yml:262,identity.password.verify,identity,POST,/api/v1/identity/password/verify,member,identity.assurance.manage,runtime,sync,required,optional,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-020,01_core_hexin/packages/contract/definitions/operations.yml:276,identity.password.reset,identity,POST,/api/v1/identity/password/reset,public,,runtime,sync,required,optional,transactional,4,15,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-021,01_core_hexin/packages/contract/definitions/operations.yml:289,identity.mobile.manage,identity,PUT,/api/v1/identity/mobile,member,identity.mobile.manage,runtime,sync,required,optional,transactional,6,19,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-022,01_core_hexin/packages/contract/definitions/operations.yml:303,identity.stepup.start,identity,POST,/api/v1/identity/stepup/challenges,member,identity.assurance.manage,runtime,sync,required,optional,transactional,6,16,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-023,01_core_hexin/packages/contract/definitions/operations.yml:317,identity.stepup.complete,identity,POST,/api/v1/identity/stepup/verifications,member,identity.assurance.manage,runtime,sync,required,optional,transactional,6,15,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-024,01_core_hexin/packages/contract/definitions/operations.yml:331,identity.wechat.session,identity,POST,/api/v1/identity/wechat/sessions,public,,runtime,sync,required,optional,durable,8,14,MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-025,01_core_hexin/packages/contract/definitions/operations.yml:345,identity.wechat.bind,identity,POST,/api/v1/identity/wechat/bindings,member,identity.credential.manage,runtime,sync,required,optional,durable,1,2,MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-026,01_core_hexin/packages/contract/definitions/operations.yml:360,organization.layers.read,organization,GET,/api/v1/organizations/layers,operator,organization.layer.read,runtime,sync,none,none,none,未声明,未声明,MVP03|OMS-004,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/organization.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-027,01_core_hexin/packages/contract/definitions/operations.yml:374,provisioning.malls.create,provisioning,POST,/api/v1/provisioning/malls,operator,organization.layer.manage,runtime,sync,required,optional,transactional,5,15,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/provisioning.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-028,01_core_hexin/packages/contract/definitions/operations.yml:390,provisioning.malls.read,provisioning,GET,/api/v1/provisioning/malls/{mallid},operator,organization.layer.read,runtime,sync,none,none,none,未声明,未声明,MVP06|MVP15,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/provisioning.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-029,01_core_hexin/packages/contract/definitions/operations.yml:404,access.center.read,access,GET,/api/v1/access/center,operator,access.center.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-030,01_core_hexin/packages/contract/definitions/operations.yml:418,access.roles.manage,access,PUT,/api/v1/access/roles/{roleid},operator,access.role.manage,runtime,sync,required,optional,transactional,12,16,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-031,01_core_hexin/packages/contract/definitions/operations.yml:434,access.scopes.manage,access,PUT,/api/v1/access/memberships/{membershipid}/scopes,operator,access.scope.manage,runtime,sync,required,optional,transactional,12,5,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-032,01_core_hexin/packages/contract/definitions/operations.yml:450,access.administrators.members.read,access,GET,/api/v1/access/administrator-members,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-033,01_core_hexin/packages/contract/definitions/operations.yml:464,access.administrators.member.read,access,GET,/api/v1/access/administrator-members/{nodeid},operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-034,01_core_hexin/packages/contract/definitions/operations.yml:478,access.administrators.scopes.manage,access,PUT,/api/v1/access/administrators/{membershipid}/segment-scope,operator,access.scope.manage,runtime,sync,required,optional,transactional,4,8,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-035,01_core_hexin/packages/contract/definitions/operations.yml:494,access.administrators.members.note,access,POST,/api/v1/access/administrator-members/{nodeid}/notes,operator,member.manage,runtime,sync,required,optional,transactional,0,0,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/access.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-036,01_core_hexin/packages/contract/definitions/operations.yml:510,capability.assignments.read,capability,GET,/api/v1/capabilities/assignments,operator,capability.assignment.read,runtime,sync,none,none,none,未声明,未声明,MVP04|MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/capability.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-037,01_core_hexin/packages/contract/definitions/operations.yml:525,capability.assignments.manage,capability,PUT,/api/v1/capabilities/assignments/{assignmentid},operator,capability.assignment.manage,runtime,sync,required,optional,none,未声明,未声明,MVP04|MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/capability.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-038,01_core_hexin/packages/contract/definitions/operations.yml:540,partner.partners.read,partner,GET,/api/v1/partners,operator,partner.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/partner.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-039,01_core_hexin/packages/contract/definitions/operations.yml:554,partner.partners.manage,partner,PUT,/api/v1/partners/{partnerid},operator,partner.manage,runtime,sync,required,optional,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/partner.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-040,01_core_hexin/packages/contract/definitions/operations.yml:568,organization.stores.read,partner,GET,/api/v1/organizations/stores,operator,partner.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/organization.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-041,01_core_hexin/packages/contract/definitions/operations.yml:582,organization.stores.manage,partner,PUT,/api/v1/organizations/stores/{storeid},operator,partner.manage,runtime,sync,required,optional,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/organization.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-042,01_core_hexin/packages/contract/definitions/operations.yml:596,member.members.read,member,GET,/api/v1/members,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-043,01_core_hexin/packages/contract/definitions/operations.yml:610,member.storefront.members.read,member,GET,/api/v1/member/storefront-members,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-044,01_core_hexin/packages/contract/definitions/operations.yml:624,member.storefront.detail.read,member,GET,/api/v1/member/storefront-members/{membershipid},operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-045,01_core_hexin/packages/contract/definitions/operations.yml:638,member.storefront.invitees.read,member,GET,/api/v1/member/storefront-members/{membershipid}/invitees,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-046,01_core_hexin/packages/contract/definitions/operations.yml:652,member.storefront.orders.read,member,GET,/api/v1/member/storefront-members/{membershipid}/orders,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-047,01_core_hexin/packages/contract/definitions/operations.yml:666,member.storefront.config.read,member,GET,/api/v1/member/storefront-profile-config,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-048,01_core_hexin/packages/contract/definitions/operations.yml:678,member.storefront.config.manage,member,PUT,/api/v1/member/storefront-profile-config,operator,member.read,runtime,sync,required,optional,transactional,0,0,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；关联F-0036/F-0038
OP-AU-007-049,01_core_hexin/packages/contract/definitions/operations.yml:692,member.storefront.custom.read,member,GET,/api/v1/member/storefront-members/{membershipid}/custom-profile,operator,member.read,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-050,01_core_hexin/packages/contract/definitions/operations.yml:704,member.storefront.custom.manage,member,PUT,/api/v1/member/storefront-members/{membershipid}/custom-profile,operator,member.read,runtime,sync,required,optional,transactional,0,0,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；关联F-0036/F-0038
OP-AU-007-051,01_core_hexin/packages/contract/definitions/operations.yml:718,member.invitations.read,member,GET,/api/v1/member/invitations,operator,identity.invitation.manage,runtime,sync,none,none,none,未声明,未声明,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-052,01_core_hexin/packages/contract/definitions/operations.yml:732,member.profile.read,member,GET,/api/v1/members/me,member,member.profile.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-053,01_core_hexin/packages/contract/definitions/operations.yml:744,member.malls.open,member,POST,/api/v1/members/me/mall,member,member.profile.read,runtime,sync,required,optional,transactional,2,27,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-054,01_core_hexin/packages/contract/definitions/operations.yml:758,member.sovereignty.upgrade,member,POST,/api/v1/members/me/sovereignty,member,member.profile.read,runtime,sync,required,optional,transactional,15,31,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/member.ts,[FACT] 已逐记录审阅；关联F-0038
