"函数编号","文件/位置","1 唯一职责","2 参数来源","3 运行时校验","4 默认值/特殊输入","5 外部可变状态","6 隐藏前置条件","7 返回/抛错","8 下游调用","9 超时重试","10 资源清理","11 并发/重复","12 已测分支","13 未测分支","14 复杂度/结论"
"FN-AU-007-014","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:35","FinancialActionPolicy.ts中的具名函数 requiresFinancialExpectedVersion","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-015","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:48","FinancialActionPolicy.ts中的具名函数 canonicalFinancialActionRequest","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-016","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:58","FinancialActionPolicy.ts中的具名函数 stringRecord","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-017","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:83","FinancialActionPolicy.ts中的具名函数 jsonValue","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-018","01_core_hexin/packages/contract/src/Operation.ts:73","Operation.ts中的具名函数 validateOperationGate","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-019","01_core_hexin/packages/contract/src/Operation.ts:79","冻结并验证单个Operation及gates","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-020","01_core_hexin/packages/contract/src/OperationCatalog.ts:16","OperationCatalog.ts中的具名函数 OperationCatalog.get","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-021","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:7","执行6-128、无空白且非123456的共享密码规则","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-022","01_core_hexin/packages/contract/src/VoucherTargetContract.test.ts:112","VoucherTargetContract.test.ts中的具名函数 countBy","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","测试helper本身随用例","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-023","01_core_hexin/packages/contract/src/VoucherTargetContract.test.ts:116","VoucherTargetContract.test.ts中的具名函数 unquote","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","测试helper本身随用例","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-024","01_core_hexin/packages/contract/src/provider/Capability.ts:38","Capability.ts中的具名函数 isProviderCapability","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","由调用context/deadline；本函数无自重试","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-025","01_core_hexin/packages/contract/src/provider/Manifest.ts:37","Manifest.ts中的具名函数 manifestPayload","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","由调用context/deadline；本函数无自重试","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-026","01_core_hexin/packages/contract/src/schema/index.ts:54","index.ts中的具名函数 structuralOperationInput","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-027","01_core_hexin/packages/contract/src/schema/index.ts:67","index.ts中的具名函数 structuralOperationOutput","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-028","01_core_hexin/packages/contract/src/schema/index.ts:81","解析结构壳；body始终optional，存在时才做字段allowlist","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0038的反事实未进入正式通过证据","[FACT] 关联F-0038；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-029","01_core_hexin/packages/contract/src/schema/index.ts:95","output optional，存在时做字段allowlist","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0038的反事实未进入正式通过证据","[FACT] 关联F-0038；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-030","01_core_hexin/packages/contract/src/schema/index.ts:102","要求plain object并调用JSON/date归一化","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-031","01_core_hexin/packages/contract/src/schema/index.ts:110","递归拒绝非JSON/非finite/非法date-like及未声明顶层字段","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-032","01_core_hexin/packages/contract/src/schema/index.ts:134","index.ts中的具名函数 isPlainObject","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-033","01_core_hexin/packages/contract/src/schema/index.ts:140","index.ts中的具名函数 dateField","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-034","01_core_hexin/packages/contract/src/schema/index.ts:144","index.ts中的具名函数 validDate","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-035","01_core_hexin/packages/contract/src/schema/index.ts:149","index.ts中的具名函数 parser","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-036","01_core_hexin/packages/contract/src/schema/index.ts:153","index.ts中的具名函数 pathSchema","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-037","01_core_hexin/packages/contract/src/schema/index.ts:157","index.ts中的具名函数 objectValue","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-038","04_tools/tools/contractgen/src/ClientArtifacts.test.ts:30","冻结并验证单个Operation及gates","YAML归一化记录、生成上下文或CLI模式","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","测试helper本身随用例","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
