编号,定义位置,Event,owner,version,schema,serializer,schemaRegistry,handlers,handler数量,审阅结论
EV-AU-007-023,01_core_hexin/packages/contract/definitions/events.yml:157,order.cancelled,order,1,contract://events/order.cancelled/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|referral,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-024,01_core_hexin/packages/contract/definitions/events.yml:164,payment.succeeded,payment,1,contract://events/payment.succeeded/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification|reconciliation,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-025,01_core_hexin/packages/contract/definitions/events.yml:171,payment.refunded,payment,1,contract://events/payment.refunded/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification|reconciliation|referral,4,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-026,01_core_hexin/packages/contract/definitions/events.yml:178,payment.late.detected,payment,1,contract://events/payment.late.detected/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification|reconciliation,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-027,01_core_hexin/packages/contract/definitions/events.yml:185,payment.attempt.failed,payment,1,contract://events/payment.attempt.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-028,01_core_hexin/packages/contract/definitions/events.yml:192,payment.provider.observed,payment,1,contract://events/payment.provider.observed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-029,01_core_hexin/packages/contract/definitions/events.yml:199,payment.autorefund.requested,payment,1,contract://events/payment.autorefund.requested/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification|reconciliation,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-030,01_core_hexin/packages/contract/definitions/events.yml:206,payment.recovery.opened,payment,1,contract://events/payment.recovery.opened/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-031,01_core_hexin/packages/contract/definitions/events.yml:213,fulfillment.shipped,fulfillment,1,contract://events/fulfillment.shipped/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-032,01_core_hexin/packages/contract/definitions/events.yml:220,voucher.issued,voucher,1,contract://events/voucher.issued/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-033,01_core_hexin/packages/contract/definitions/events.yml:227,voucher.issue.failed,voucher,1,contract://events/voucher.issue.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-034,01_core_hexin/packages/contract/definitions/events.yml:234,voucher.import.failed,voucher,1,contract://events/voucher.import.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-035,01_core_hexin/packages/contract/definitions/events.yml:241,voucher.status.failed,voucher,1,contract://events/voucher.status.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-036,01_core_hexin/packages/contract/definitions/events.yml:248,voucher.redeemed,voucher,1,contract://events/voucher.redeemed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-037,01_core_hexin/packages/contract/definitions/events.yml:255,benefit.granted,benefit,1,contract://events/benefit.granted/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-038,01_core_hexin/packages/contract/definitions/events.yml:262,benefit.expired,benefit,1,contract://events/benefit.expired/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-039,01_core_hexin/packages/contract/definitions/events.yml:269,benefit.expiry.reminded,benefit,1,contract://events/benefit.expiry.reminded/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-040,01_core_hexin/packages/contract/definitions/events.yml:276,benefit.revoked,benefit,1,contract://events/benefit.revoked/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-041,01_core_hexin/packages/contract/definitions/events.yml:283,benefit.grant.failed,benefit,1,contract://events/benefit.grant.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-042,01_core_hexin/packages/contract/definitions/events.yml:290,benefit.revoke.failed,benefit,1,contract://events/benefit.revoke.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-043,01_core_hexin/packages/contract/definitions/events.yml:297,benefit.expiry.failed,benefit,1,contract://events/benefit.expiry.failed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-044,01_core_hexin/packages/contract/definitions/events.yml:304,finance.entry.posted,finance,1,contract://events/finance.entry.posted/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-045,01_core_hexin/packages/contract/definitions/events.yml:311,finance.reconciliation.difference,finance,1,contract://events/finance.reconciliation.difference/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-046,01_core_hexin/packages/contract/definitions/events.yml:318,finance.settlement.approved,finance,1,contract://events/finance.settlement.approved/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-047,01_core_hexin/packages/contract/definitions/events.yml:325,finance.settlement.adjusted,finance,1,contract://events/finance.settlement.adjusted/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-048,01_core_hexin/packages/contract/definitions/events.yml:332,finance.period.closed,finance,1,contract://events/finance.period.closed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-049,01_core_hexin/packages/contract/definitions/events.yml:339,finance.withdrawal.paid,finance,1,contract://events/finance.withdrawal.paid/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-050,01_core_hexin/packages/contract/definitions/events.yml:346,finance.withdrawal.uncertain,finance,1,contract://events/finance.withdrawal.uncertain/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-051,01_core_hexin/packages/contract/definitions/events.yml:353,invoice.issued,finance,1,contract://events/invoice.issued/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-052,01_core_hexin/packages/contract/definitions/events.yml:360,invoice.red.issued,finance,1,contract://events/invoice.red.issued/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-053,01_core_hexin/packages/contract/definitions/events.yml:367,support.message.sent,support,1,contract://events/support.message.sent/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-054,01_core_hexin/packages/contract/definitions/events.yml:374,support.ticket.assigned,support,1,contract://events/support.ticket.assigned/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-055,01_core_hexin/packages/contract/definitions/events.yml:381,support.sla.escalated,support,1,contract://events/support.sla.escalated/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-056,01_core_hexin/packages/contract/definitions/events.yml:388,channel.sync.completed,channel,1,contract://events/channel.sync.completed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-057,01_core_hexin/packages/contract/definitions/events.yml:395,channel.webhook.applied,channel,1,contract://events/channel.webhook.applied/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-058,01_core_hexin/packages/contract/definitions/events.yml:402,channel.refund.changed,channel,1,contract://events/channel.refund.changed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-059,01_core_hexin/packages/contract/definitions/events.yml:409,notification.delivered,notification,1,contract://events/notification.delivered/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-060,01_core_hexin/packages/contract/definitions/events.yml:416,risk.policy.activated,risk,1,contract://events/risk.policy.activated/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-061,01_core_hexin/packages/contract/definitions/events.yml:423,catalog.listing.unpublished,catalog,1,contract://events/catalog.listing.unpublished/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-062,01_core_hexin/packages/contract/definitions/events.yml:430,risk.case.opened,risk,1,contract://events/risk.case.opened/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-063,01_core_hexin/packages/contract/definitions/events.yml:437,risk.case.resolved,risk,1,contract://events/risk.case.resolved/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-064,01_core_hexin/packages/contract/definitions/events.yml:444,risk.transaction.blocked,risk,1,contract://events/risk.transaction.blocked/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,notification,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-065,01_core_hexin/packages/contract/definitions/events.yml:451,extension.enabled,extension,1,contract://events/extension.enabled/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-066,01_core_hexin/packages/contract/definitions/events.yml:458,extension.disabled,extension,1,contract://events/extension.disabled/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-067,01_core_hexin/packages/contract/definitions/events.yml:465,extension.degraded,extension,1,contract://events/extension.degraded/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|notification,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
