"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-AU-007-027","FILE-AU-007-017","requiresFinancialActionProof","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:31","01_core_hexin/packages/contract/src/FinancialActionPolicy.test.ts|01_core_hexin/services/commerce/src/foundation/security/AccessPipeline.ts|01_core_hexin/services/commerce/src/modules/identity/05_interface_jieru/http/MobileWechatOperations.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-028","FILE-AU-007-017","requiresFinancialExpectedVersion","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:35","01_core_hexin/packages/contract/src/FinancialActionPolicy.test.ts|01_core_hexin/services/commerce/src/foundation/security/AccessPipeline.ts|01_core_hexin/services/commerce/src/modules/identity/05_interface_jieru/http/MobileWechatOperations.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-029","FILE-AU-007-017","canonicalFinancialActionRequest","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:48","01_core_hexin/apps/console/src/feature/finance/FinancePolicyCommand.ts|01_core_hexin/packages/contract/src/FinancialActionPolicy.test.ts|01_core_hexin/services/commerce/src/modules/identity/05_interface_jieru/http/MobileWechatOperations.ts|01_core_hexin/services/commerce/src/modules/identity/06_tests_ceshi/IdentityOperations.test.ts|…共5文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-030","FILE-AU-007-019","HTTP_METHODS","01_core_hexin/packages/contract/src/Operation.ts:1","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-031","FILE-AU-007-019","HttpMethod","01_core_hexin/packages/contract/src/Operation.ts:2","01_core_hexin/packages/sdk/src/OperationDescriptor.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-032","FILE-AU-007-019","OperationAudience","01_core_hexin/packages/contract/src/Operation.ts:3","01_core_hexin/packages/sdk/src/OperationDescriptor.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-033","FILE-AU-007-019","OperationAvailability","01_core_hexin/packages/contract/src/Operation.ts:4","01_core_hexin/packages/sdk/src/OperationDescriptor.ts|01_core_hexin/services/commerce/src/bootstrap/CatalogOperatorApiRuntime.ts|01_core_hexin/services/commerce/src/bootstrap/CommerceRuntime.ts|01_core_hexin/services/commerce/src/bootstrap/ConsoleSupportRuntime.ts|…共11文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-034","FILE-AU-007-019","OperationExecution","01_core_hexin/packages/contract/src/Operation.ts:5","01_core_hexin/packages/sdk/src/OperationDescriptor.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-035","FILE-AU-007-019","OperationIdempotency","01_core_hexin/packages/contract/src/Operation.ts:6","01_core_hexin/packages/sdk/src/OperationDescriptor.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-036","FILE-AU-007-019","OperationPath","01_core_hexin/packages/contract/src/Operation.ts:7","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-037","FILE-AU-007-019","OperationRisk","01_core_hexin/packages/contract/src/Operation.ts:8","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-038","FILE-AU-007-019","OperationSchemaFidelity","01_core_hexin/packages/contract/src/Operation.ts:9","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-039","FILE-AU-007-019","OperationVersionPolicy","01_core_hexin/packages/contract/src/Operation.ts:10","01_core_hexin/packages/sdk/src/OperationDescriptor.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-040","FILE-AU-007-019","OperationWritePath","01_core_hexin/packages/contract/src/Operation.ts:11","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-041","FILE-AU-007-019","OperationNodeProfile","01_core_hexin/packages/contract/src/Operation.ts:12","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-042","FILE-AU-007-019","OperationGateSlot","01_core_hexin/packages/contract/src/Operation.ts:18","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-043","FILE-AU-007-019","OperationGatePhase","01_core_hexin/packages/contract/src/Operation.ts:19","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-044","FILE-AU-007-019","OperationGateMode","01_core_hexin/packages/contract/src/Operation.ts:20","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-045","FILE-AU-007-019","OperationGateDeclaration","01_core_hexin/packages/contract/src/Operation.ts:22","01_core_hexin/packages/contract/src/Operation.gates.test.ts|01_core_hexin/services/commerce/src/foundation/interface/HttpApp.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-046","FILE-AU-007-019","Operation","01_core_hexin/packages/contract/src/Operation.ts:28","01_core_hexin/apps/console/src/feature/FeatureRead.test.ts|01_core_hexin/apps/console/src/feature/ProfessionalRead.test.ts|01_core_hexin/apps/console/src/feature/cockpit/CockpitRoute.test.tsx|01_core_hexin/apps/console/src/feature/finance/FinanceHeader.tsx|…共29文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-047","FILE-AU-007-019","operation","01_core_hexin/packages/contract/src/Operation.ts:79","01_core_hexin/apps/console/src/entity/navigation/ConsoleModuleManifest.test.ts|01_core_hexin/apps/console/src/entity/navigation/ConsoleNavigation.test.ts|01_core_hexin/apps/console/src/entity/navigation/ConsoleNavigation.ts|01_core_hexin/apps/console/src/feature/access/MemberAccessWorkspace.tsx|…共231文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-048","FILE-AU-007-020","OperationDefinition","01_core_hexin/packages/contract/src/OperationCatalog.ts:3","04_tools/tools/contractgen/src/ClientArtifacts.test.ts|04_tools/tools/contractgen/src/ClientArtifacts.ts|04_tools/tools/contractgen/src/ContractGenerator.ts|04_tools/tools/requirementgen/src/RequirementGenerator.ts|…共5文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-049","FILE-AU-007-020","OperationId","01_core_hexin/packages/contract/src/OperationCatalog.ts:4","01_core_hexin/apps/console/src/entity/navigation/ConsoleModuleManifest.test.ts|01_core_hexin/apps/console/src/entity/navigation/ConsoleModuleManifest.ts|01_core_hexin/apps/console/src/route/OwnerConsoleRouteCoverage.test.ts|01_core_hexin/apps/console/src/route/ProfessionalRouteCatalog.ts|…共104文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-050","FILE-AU-007-020","OperationCatalog","01_core_hexin/packages/contract/src/OperationCatalog.ts:12","01_core_hexin/packages/contract/src/AdministratorSegmentContract.test.ts|01_core_hexin/packages/contract/src/Contract.test.ts|01_core_hexin/packages/contract/src/FinancialActionPolicy.ts|01_core_hexin/packages/contract/src/Operation.gates.test.ts|…共36文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-051","FILE-AU-007-022","PASSWORD_MIN_LENGTH","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:1","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx|01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx|01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx|01_core_hexin/packages/contract/src/PasswordPolicyContract.test.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-052","FILE-AU-007-022","PASSWORD_MAX_LENGTH","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:2","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx|01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx|01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx|01_core_hexin/packages/contract/src/PasswordPolicyContract.test.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-053","FILE-AU-007-022","PASSWORD_REJECTED_EXACT_VALUE","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:3","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-054","FILE-AU-007-022","PASSWORD_POLICY_MESSAGE","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:4","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx|01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx|01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx|01_core_hexin/apps/auth-web/src/services/canonicalIdentity.ts|…共10文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-055","FILE-AU-007-022","PASSWORD_POLICY_HINT","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:5","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx|01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-056","FILE-AU-007-022","passwordMeetsPolicy","01_core_hexin/packages/contract/src/PasswordPolicyContract.ts:7","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx|01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx|01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx|01_core_hexin/packages/contract/src/PasswordPolicyContract.test.ts|…共6文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-057","FILE-AU-007-024","StorefrontMemberSchema","01_core_hexin/packages/contract/src/StorefrontMemberContract.ts:18","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
