编号,定义位置,code,kind,owner,permission,audience,Operation匹配,owner一致,permission一致,audience一致,审阅结论
CAP-AU-007-015,01_core_hexin/packages/contract/definitions/capabilities.yml:73,identity.password.change,operation,identity,,member,true,true,false,true,[FACT] 漂移:permission；关联F-0041
CAP-AU-007-016,01_core_hexin/packages/contract/definitions/capabilities.yml:78,identity.password.verify,operation,identity,identity.assurance.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-017,01_core_hexin/packages/contract/definitions/capabilities.yml:83,identity.password.reset,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-018,01_core_hexin/packages/contract/definitions/capabilities.yml:88,identity.mobile.manage,operation,identity,identity.mobile.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-019,01_core_hexin/packages/contract/definitions/capabilities.yml:93,identity.stepup.start,operation,identity,,member,true,true,false,true,[FACT] 漂移:permission；关联F-0041
CAP-AU-007-020,01_core_hexin/packages/contract/definitions/capabilities.yml:98,identity.stepup.complete,operation,identity,,member,true,true,false,true,[FACT] 漂移:permission；关联F-0041
CAP-AU-007-021,01_core_hexin/packages/contract/definitions/capabilities.yml:103,organization.layers.read,operation,organization,organization.layer.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-022,01_core_hexin/packages/contract/definitions/capabilities.yml:108,provisioning.malls.create,operation,provisioning,organization.layer.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-023,01_core_hexin/packages/contract/definitions/capabilities.yml:113,access.center.read,operation,access,access.center.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-024,01_core_hexin/packages/contract/definitions/capabilities.yml:118,access.roles.manage,operation,access,access.role.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-025,01_core_hexin/packages/contract/definitions/capabilities.yml:123,access.scopes.manage,operation,access,access.scope.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-026,01_core_hexin/packages/contract/definitions/capabilities.yml:128,capability.assignments.read,operation,capability,capability.assignment.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-027,01_core_hexin/packages/contract/definitions/capabilities.yml:133,capability.assignments.manage,operation,capability,capability.assignment.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-028,01_core_hexin/packages/contract/definitions/capabilities.yml:138,partner.partners.read,operation,partner,partner.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-029,01_core_hexin/packages/contract/definitions/capabilities.yml:143,partner.partners.manage,operation,partner,partner.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-030,01_core_hexin/packages/contract/definitions/capabilities.yml:148,organization.stores.read,operation,partner,partner.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-031,01_core_hexin/packages/contract/definitions/capabilities.yml:153,organization.stores.manage,operation,partner,partner.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-032,01_core_hexin/packages/contract/definitions/capabilities.yml:158,member.members.read,operation,member,member.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-033,01_core_hexin/packages/contract/definitions/capabilities.yml:163,member.profile.read,operation,member,member.profile.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-034,01_core_hexin/packages/contract/definitions/capabilities.yml:168,member.addresses.read,operation,member,member.address.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-035,01_core_hexin/packages/contract/definitions/capabilities.yml:173,member.addresses.manage,operation,member,member.address.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-036,01_core_hexin/packages/contract/definitions/capabilities.yml:178,member.imports.create,operation,member,member.import,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-037,01_core_hexin/packages/contract/definitions/capabilities.yml:183,qualification.center.read,operation,qualification,qualification.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-038,01_core_hexin/packages/contract/definitions/capabilities.yml:188,qualification.decisions.preview,operation,qualification,qualification.preview,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-039,01_core_hexin/packages/contract/definitions/capabilities.yml:193,qualification.policies.manage,operation,qualification,qualification.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-040,01_core_hexin/packages/contract/definitions/capabilities.yml:198,channel.distributors.create,operation,channel,channel.distributor.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-041,01_core_hexin/packages/contract/definitions/capabilities.yml:203,channel.distributors.read,operation,channel,channel.distributor.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-042,01_core_hexin/packages/contract/definitions/capabilities.yml:208,channel.distributors.update,operation,channel,channel.distributor.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-043,01_core_hexin/packages/contract/definitions/capabilities.yml:213,channel.distributors.disable,operation,channel,channel.distributor.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-044,01_core_hexin/packages/contract/definitions/capabilities.yml:218,channel.bindings.manage,operation,channel,channel.binding.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-045,01_core_hexin/packages/contract/definitions/capabilities.yml:223,channel.quotas.manage,operation,channel,channel.quota.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-046,01_core_hexin/packages/contract/definitions/capabilities.yml:228,catalog.pools.read,operation,catalog,catalog.pool.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-047,01_core_hexin/packages/contract/definitions/capabilities.yml:233,catalog.pools.attach,operation,catalog,catalog.pool.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-048,01_core_hexin/packages/contract/definitions/capabilities.yml:238,catalog.pools.detach,operation,catalog,catalog.pool.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-049,01_core_hexin/packages/contract/definitions/capabilities.yml:243,catalog.pools.allocate,operation,catalog,catalog.pool.allocate,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-050,01_core_hexin/packages/contract/definitions/capabilities.yml:248,catalog.products.create,operation,catalog,catalog.product.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-051,01_core_hexin/packages/contract/definitions/capabilities.yml:253,catalog.products.update,operation,catalog,catalog.product.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-052,01_core_hexin/packages/contract/definitions/capabilities.yml:258,catalog.products.archive,operation,catalog,catalog.product.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-053,01_core_hexin/packages/contract/definitions/capabilities.yml:263,catalog.listings.read,operation,catalog,catalog.listing.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-054,01_core_hexin/packages/contract/definitions/capabilities.yml:268,catalog.listings.publish,operation,catalog,catalog.listing.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-055,01_core_hexin/packages/contract/definitions/capabilities.yml:273,catalog.listings.unpublish,operation,catalog,catalog.listing.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-056,01_core_hexin/packages/contract/definitions/capabilities.yml:278,catalog.listings.batch,operation,catalog,catalog.listing.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-057,01_core_hexin/packages/contract/definitions/capabilities.yml:283,catalog.imports.create,operation,catalog,catalog.import.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-058,01_core_hexin/packages/contract/definitions/capabilities.yml:288,catalog.imports.read,operation,catalog,catalog.import.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-059,01_core_hexin/packages/contract/definitions/capabilities.yml:293,pricing.rules.create,operation,pricing,pricing.rule.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-060,01_core_hexin/packages/contract/definitions/capabilities.yml:298,pricing.rules.publish,operation,pricing,pricing.rule.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-061,01_core_hexin/packages/contract/definitions/capabilities.yml:303,pricing.offers.read,operation,pricing,pricing.offer.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-062,01_core_hexin/packages/contract/definitions/capabilities.yml:308,inventory.availability.read,operation,inventory,inventory.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-063,01_core_hexin/packages/contract/definitions/capabilities.yml:313,marketing.campaigns.read,operation,marketing,marketing.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-064,01_core_hexin/packages/contract/definitions/capabilities.yml:318,reporting.dashboard.read,operation,reporting,reporting.dashboard.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-065,01_core_hexin/packages/contract/definitions/capabilities.yml:323,reporting.sales.read,operation,reporting,reporting.sales.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-066,01_core_hexin/packages/contract/definitions/capabilities.yml:328,reporting.products.read,operation,reporting,reporting.product.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-067,01_core_hexin/packages/contract/definitions/capabilities.yml:333,reporting.malls.read,operation,reporting,reporting.mall.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-068,01_core_hexin/packages/contract/definitions/capabilities.yml:338,reporting.categories.read,operation,reporting,reporting.category.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-069,01_core_hexin/packages/contract/definitions/capabilities.yml:343,reporting.channels.read,operation,reporting,reporting.channel.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-070,01_core_hexin/packages/contract/definitions/capabilities.yml:348,reporting.powderclass.read,operation,reporting,reporting.powderclass.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-071,01_core_hexin/packages/contract/definitions/capabilities.yml:353,reporting.voucherconsumption.read,operation,reporting,reporting.voucher.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-072,01_core_hexin/packages/contract/definitions/capabilities.yml:358,reporting.exports.create,operation,reporting,reporting.export.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-073,01_core_hexin/packages/contract/definitions/capabilities.yml:363,reporting.exports.read,operation,reporting,reporting.export.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-074,01_core_hexin/packages/contract/definitions/capabilities.yml:368,experience.applications.create,operation,experience,experience.application.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-075,01_core_hexin/packages/contract/definitions/capabilities.yml:373,experience.applications.copy,operation,experience,experience.application.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-076,01_core_hexin/packages/contract/definitions/capabilities.yml:378,experience.applications.read,operation,experience,experience.application.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-077,01_core_hexin/packages/contract/definitions/capabilities.yml:383,experience.applications.update,operation,experience,experience.application.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-078,01_core_hexin/packages/contract/definitions/capabilities.yml:388,experience.versions.save,operation,experience,experience.version.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-079,01_core_hexin/packages/contract/definitions/capabilities.yml:393,experience.versions.validate,operation,experience,experience.version.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-080,01_core_hexin/packages/contract/definitions/capabilities.yml:398,experience.versions.publish,operation,experience,experience.version.publish,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-081,01_core_hexin/packages/contract/definitions/capabilities.yml:403,experience.versions.restore,operation,experience,experience.version.publish,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-082,01_core_hexin/packages/contract/definitions/capabilities.yml:408,cart.current.read,operation,cart,cart.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-083,01_core_hexin/packages/contract/definitions/capabilities.yml:413,cart.items.put,operation,cart,cart.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-084,01_core_hexin/packages/contract/definitions/capabilities.yml:418,cart.items.batch,operation,cart,cart.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-085,01_core_hexin/packages/contract/definitions/capabilities.yml:423,checkout.quote.create,operation,checkout,checkout.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-086,01_core_hexin/packages/contract/definitions/capabilities.yml:428,order.orders.create,operation,order,order.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-087,01_core_hexin/packages/contract/definitions/capabilities.yml:433,order.orders.read,operation,order,order.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-088,01_core_hexin/packages/contract/definitions/capabilities.yml:438,order.orders.receive,operation,order,order.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-089,01_core_hexin/packages/contract/definitions/capabilities.yml:443,order.reminders.create,operation,order,order.reminder.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-090,01_core_hexin/packages/contract/definitions/capabilities.yml:448,order.orders.export,operation,order,order.export,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-091,01_core_hexin/packages/contract/definitions/capabilities.yml:453,order.aftersales.read,operation,order,order.aftersale.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-092,01_core_hexin/packages/contract/definitions/capabilities.yml:458,order.aftersales.apply,operation,order,order.aftersale.apply,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-093,01_core_hexin/packages/contract/definitions/capabilities.yml:463,order.aftersales.approve,operation,order,order.aftersale.decide,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-094,01_core_hexin/packages/contract/definitions/capabilities.yml:468,order.aftersales.reject,operation,order,order.aftersale.decide,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-095,01_core_hexin/packages/contract/definitions/capabilities.yml:473,fulfillment.shipments.create,operation,fulfillment,fulfillment.ship,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-096,01_core_hexin/packages/contract/definitions/capabilities.yml:478,fulfillment.tracking.read,operation,fulfillment,fulfillment.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-097,01_core_hexin/packages/contract/definitions/capabilities.yml:483,fulfillment.returns.receive,operation,fulfillment,fulfillment.return.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-098,01_core_hexin/packages/contract/definitions/capabilities.yml:488,fulfillment.returns.inspect,operation,fulfillment,fulfillment.return.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-099,01_core_hexin/packages/contract/definitions/capabilities.yml:493,payment.intents.create,operation,payment,payment.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-100,01_core_hexin/packages/contract/definitions/capabilities.yml:498,payment.intents.read,operation,payment,payment.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-101,01_core_hexin/packages/contract/definitions/capabilities.yml:503,verification.challenges.issue,operation,verification,verification.issue,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-102,01_core_hexin/packages/contract/definitions/capabilities.yml:508,verification.sessions.read,operation,verification,verification.issue,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-103,01_core_hexin/packages/contract/definitions/capabilities.yml:513,verification.challenges.verify,operation,verification,verification.verify,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-104,01_core_hexin/packages/contract/definitions/capabilities.yml:518,payment.refunds.request,operation,payment,payment.refund,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-105,01_core_hexin/packages/contract/definitions/capabilities.yml:523,payment.recoveries.read,operation,payment,payment.recovery.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-106,01_core_hexin/packages/contract/definitions/capabilities.yml:528,payment.recoveries.resolve,operation,payment,payment.recovery.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-107,01_core_hexin/packages/contract/definitions/capabilities.yml:533,voucher.cardlibraries.read,operation,voucher,voucher.cardlibrary.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-108,01_core_hexin/packages/contract/definitions/capabilities.yml:538,voucher.cardlibraries.create,operation,voucher,voucher.cardlibrary.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-109,01_core_hexin/packages/contract/definitions/capabilities.yml:543,voucher.cardlibraries.allocate,operation,voucher,voucher.cardlibrary.allocate,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-110,01_core_hexin/packages/contract/definitions/capabilities.yml:548,voucher.programs.read,operation,voucher,voucher.program.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-111,01_core_hexin/packages/contract/definitions/capabilities.yml:553,voucher.programs.manage,operation,voucher,voucher.program.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-112,01_core_hexin/packages/contract/definitions/capabilities.yml:558,voucher.reserves.read,operation,voucher,voucher.reserve.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-113,01_core_hexin/packages/contract/definitions/capabilities.yml:563,voucher.reserves.request,operation,voucher,voucher.reserve.request,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-114,01_core_hexin/packages/contract/definitions/capabilities.yml:568,voucher.reserves.decide,operation,voucher,voucher.reserve.decide,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-115,01_core_hexin/packages/contract/definitions/capabilities.yml:573,voucher.batches.read,operation,voucher,voucher.batch.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-116,01_core_hexin/packages/contract/definitions/capabilities.yml:578,voucher.batches.issue,operation,voucher,voucher.issue,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-117,01_core_hexin/packages/contract/definitions/capabilities.yml:583,voucher.batches.retry,operation,voucher,voucher.issue,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-118,01_core_hexin/packages/contract/definitions/capabilities.yml:588,voucher.status.batch,operation,voucher,voucher.status.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-119,01_core_hexin/packages/contract/definitions/capabilities.yml:593,voucher.statusbatches.read,operation,voucher,voucher.history.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-120,01_core_hexin/packages/contract/definitions/capabilities.yml:598,voucher.bindings.read,operation,voucher,voucher.binding.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-121,01_core_hexin/packages/contract/definitions/capabilities.yml:603,voucher.bindings.manage,operation,voucher,voucher.binding.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-122,01_core_hexin/packages/contract/definitions/capabilities.yml:608,voucher.redemptions.read,operation,voucher,voucher.redemption.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-123,01_core_hexin/packages/contract/definitions/capabilities.yml:613,voucher.history.read,operation,voucher,voucher.history.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-124,01_core_hexin/packages/contract/definitions/capabilities.yml:618,voucher.redemptions.reverse,operation,voucher,voucher.redemption.reverse,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-125,01_core_hexin/packages/contract/definitions/capabilities.yml:623,benefit.accounts.read,operation,benefit,benefit.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-126,01_core_hexin/packages/contract/definitions/capabilities.yml:628,benefit.ledgers.read,operation,benefit,benefit.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-127,01_core_hexin/packages/contract/definitions/capabilities.yml:633,benefit.plans.read,operation,benefit,benefit.plan.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-128,01_core_hexin/packages/contract/definitions/capabilities.yml:638,benefit.plans.manage,operation,benefit,benefit.plan.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-129,01_core_hexin/packages/contract/definitions/capabilities.yml:643,benefit.budgets.read,operation,benefit,benefit.budget.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-130,01_core_hexin/packages/contract/definitions/capabilities.yml:648,benefit.budgets.manage,operation,benefit,benefit.budget.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-131,01_core_hexin/packages/contract/definitions/capabilities.yml:653,benefit.grants.create,operation,benefit,benefit.grant,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-132,01_core_hexin/packages/contract/definitions/capabilities.yml:658,benefit.grants.decide,operation,benefit,benefit.grant.decide,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-133,01_core_hexin/packages/contract/definitions/capabilities.yml:663,benefit.grants.read,operation,benefit,benefit.grant.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-134,01_core_hexin/packages/contract/definitions/capabilities.yml:668,benefit.grants.control,operation,benefit,benefit.grant.control,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-135,01_core_hexin/packages/contract/definitions/capabilities.yml:673,benefit.grants.revoke,operation,benefit,benefit.revoke,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-136,01_core_hexin/packages/contract/definitions/capabilities.yml:678,benefit.lots.read,operation,benefit,benefit.lot.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-137,01_core_hexin/packages/contract/definitions/capabilities.yml:683,finance.overview.read,operation,finance,finance.overview.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-138,01_core_hexin/packages/contract/definitions/capabilities.yml:688,finance.entries.read,operation,finance,finance.entry.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-139,01_core_hexin/packages/contract/definitions/capabilities.yml:693,finance.settlements.adjust,operation,finance,finance.settlement.adjust,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-140,01_core_hexin/packages/contract/definitions/capabilities.yml:698,finance.statements.read,operation,finance,finance.statement.read,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-141,01_core_hexin/packages/contract/definitions/capabilities.yml:703,finance.statements.export,operation,finance,finance.statement.export,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-142,01_core_hexin/packages/contract/definitions/capabilities.yml:708,finance.reconciliations.manage,operation,finance,finance.reconciliation.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-143,01_core_hexin/packages/contract/definitions/capabilities.yml:713,finance.policies.manage,operation,finance,finance.policy.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-144,01_core_hexin/packages/contract/definitions/capabilities.yml:718,invoice.profiles.manage,operation,finance,invoice.profile.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-145,01_core_hexin/packages/contract/definitions/capabilities.yml:723,invoice.profiles.read,operation,finance,invoice.profile.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-146,01_core_hexin/packages/contract/definitions/capabilities.yml:728,invoice.requests.create,operation,finance,invoice.request.create,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
