绑定编号,Operation,owner,method,path,audience,permission,risk,stepup,scopes,写/读名称信号,结论
BIND-AU-010-020,access.roles.manage,access,PUT,/api/v1/access/roles/{roleid},operator,access.role.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-021,access.scopes.manage,access,PUT,/api/v1/access/memberships/{membershipid}/scopes,operator,access.scope.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-022,access.administrators.members.read,access,GET,/api/v1/access/administrator-members,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-023,access.administrators.member.read,access,GET,/api/v1/access/administrator-members/{nodeid},operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-024,access.administrators.scopes.manage,access,PUT,/api/v1/access/administrators/{membershipid}/segment-scope,operator,access.scope.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-025,access.administrators.members.note,access,POST,/api/v1/access/administrator-members/{nodeid}/notes,operator,member.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-026,capability.assignments.read,capability,GET,/api/v1/capabilities/assignments,operator,capability.assignment.read,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-027,capability.assignments.manage,capability,PUT,/api/v1/capabilities/assignments/{assignmentid},operator,capability.assignment.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-028,partner.partners.read,partner,GET,/api/v1/partners,operator,partner.read,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-029,partner.partners.manage,partner,PUT,/api/v1/partners/{partnerid},operator,partner.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-030,organization.stores.read,partner,GET,/api/v1/organizations/stores,operator,partner.read,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-031,organization.stores.manage,partner,PUT,/api/v1/organizations/stores/{storeid},operator,partner.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-032,member.members.read,member,GET,/api/v1/members,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-033,member.storefront.members.read,member,GET,/api/v1/member/storefront-members,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-034,member.storefront.detail.read,member,GET,/api/v1/member/storefront-members/{membershipid},operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-035,member.storefront.invitees.read,member,GET,/api/v1/member/storefront-members/{membershipid}/invitees,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-036,member.storefront.orders.read,member,GET,/api/v1/member/storefront-members/{membershipid}/orders,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-037,member.storefront.config.read,member,GET,/api/v1/member/storefront-profile-config,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-038,member.storefront.config.manage,member,PUT,/api/v1/member/storefront-profile-config,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,非GET+.read,F-0036已证实
BIND-AU-010-039,member.storefront.custom.read,member,GET,/api/v1/member/storefront-members/{membershipid}/custom-profile,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-040,member.storefront.custom.manage,member,PUT,/api/v1/member/storefront-members/{membershipid}/custom-profile,operator,member.read,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,非GET+.read,F-0036已证实
BIND-AU-010-041,member.invitations.read,member,GET,/api/v1/member/invitations,operator,identity.invitation.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-042,member.profile.read,member,GET,/api/v1/members/me,member,member.profile.read,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-043,member.malls.open,member,POST,/api/v1/members/me/mall,member,member.profile.read,low,false,owner,非GET+.read,UNKNOWN：需业务链复核
BIND-AU-010-044,member.sovereignty.upgrade,member,POST,/api/v1/members/me/sovereignty,member,member.profile.read,low,false,owner,非GET+.read,UNKNOWN：需业务链复核
BIND-AU-010-045,member.addresses.read,member,GET,/api/v1/members/me/addresses,member,member.address.read,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-046,member.addresses.manage,member,PUT,/api/v1/members/me/addresses/{addressid},member,member.address.manage,high,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-047,member.imports.create,member,POST,/api/v1/members/imports,operator,member.import,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-048,member.imports.read,member,GET,/api/v1/members/imports/{importid},operator,member.import,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-049,qualification.center.read,qualification,GET,/api/v1/qualifications,operator,qualification.read,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-050,qualification.decisions.preview,qualification,POST,/api/v1/qualifications/decisions/preview,operator,qualification.preview,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-051,qualification.policies.manage,qualification,PUT,/api/v1/qualifications/policies/{policyid},operator,qualification.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-052,channel.distributors.create,channel,POST,/api/v1/channels/distributors,operator,channel.distributor.manage,critical,true,platform,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-053,channel.distributors.read,channel,GET,/api/v1/channels/distributors,operator,channel.distributor.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-054,channel.distributors.update,channel,PATCH,/api/v1/channels/distributors/{distributorid},operator,channel.distributor.manage,critical,true,platform,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-055,channel.distributors.disable,channel,DELETE,/api/v1/channels/distributors/{distributorid},operator,channel.distributor.manage,critical,true,platform,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-056,channel.bindings.manage,channel,PUT,/api/v1/channels/bindings/{bindingid},operator,channel.binding.manage,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-057,channel.quotas.manage,channel,PUT,/api/v1/channels/quotas/{quotaid},operator,channel.quota.manage,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-058,catalog.pools.read,catalog,GET,/api/v1/catalog/pools,operator,catalog.pool.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-059,catalog.pools.attach,catalog,PUT,/api/v1/catalog/pools/{poolid}/bindings/{scopeid},operator,catalog.pool.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-060,catalog.pools.detach,catalog,DELETE,/api/v1/catalog/pools/{poolid}/bindings/{scopeid},operator,catalog.pool.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-061,catalog.pools.allocate,catalog,POST,/api/v1/catalog/pools/{poolid}/allocations,operator,catalog.pool.allocate,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-062,catalog.products.create,catalog,POST,/api/v1/catalog/products,operator,catalog.product.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-063,catalog.products.update,catalog,PATCH,/api/v1/catalog/products/{productid},operator,catalog.product.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-064,catalog.products.archive,catalog,DELETE,/api/v1/catalog/products/{productid},operator,catalog.product.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-065,catalog.listings.read,catalog,GET,/api/v1/catalog/listings,member,catalog.listing.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-066,catalog.listings.publish,catalog,PUT,/api/v1/catalog/listings/{listingid}/publication,operator,catalog.listing.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-067,catalog.listings.unpublish,catalog,DELETE,/api/v1/catalog/listings/{listingid}/publication,operator,catalog.listing.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-068,catalog.listings.batch,catalog,POST,/api/v1/catalog/listings/batches,operator,catalog.listing.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-069,catalog.imports.create,catalog,POST,/api/v1/catalog/imports,operator,catalog.import.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-070,catalog.imports.read,catalog,GET,/api/v1/catalog/imports/{importid},operator,catalog.import.read,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-071,pricing.rules.create,pricing,POST,/api/v1/pricing/rules,operator,pricing.rule.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-072,pricing.rules.publish,pricing,PUT,/api/v1/pricing/rules/{ruleid}/publication,operator,pricing.rule.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-073,pricing.offers.read,pricing,GET,/api/v1/pricing/offers,member,pricing.offer.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-074,inventory.availability.read,inventory,GET,/api/v1/inventory/availability,member,inventory.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-075,inventory.imports.create,inventory,POST,/api/v1/inventory/imports,operator,inventory.import.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-076,inventory.imports.read,inventory,GET,/api/v1/inventory/imports,operator,inventory.import.read,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-077,marketing.campaigns.read,marketing,GET,/api/v1/marketing/campaigns,operator,marketing.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-078,reporting.dashboard.read,reporting,GET,/api/v1/reports/dashboard,operator,reporting.dashboard.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-079,reporting.sales.read,reporting,GET,/api/v1/reports/sales,operator,reporting.sales.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-080,reporting.products.read,reporting,GET,/api/v1/reports/products,operator,reporting.product.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-081,reporting.malls.read,reporting,GET,/api/v1/reports/malls,operator,reporting.mall.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-082,reporting.categories.read,reporting,GET,/api/v1/reports/categories,operator,reporting.category.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-083,reporting.channels.read,reporting,GET,/api/v1/reports/channels,operator,reporting.channel.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-084,reporting.powderclass.read,reporting,GET,/api/v1/reports/powderclass,operator,reporting.powderclass.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-085,reporting.voucherconsumption.read,reporting,GET,/api/v1/reports/voucherconsumption,operator,reporting.voucher.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-086,reporting.exports.create,reporting,POST,/api/v1/reports/exports,operator,reporting.export.manage,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-087,reporting.exports.read,reporting,GET,/api/v1/reports/exports/{exportid},operator,reporting.export.read,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-088,experience.applications.create,experience,POST,/api/v1/experiences/applications,operator,experience.application.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-089,experience.applications.copy,experience,POST,/api/v1/experiences/applications/{applicationid}/copies,operator,experience.application.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-090,experience.applications.read,experience,GET,/api/v1/experiences/applications,operator,experience.application.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-091,experience.applications.update,experience,PATCH,/api/v1/experiences/applications/{applicationid},operator,experience.application.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-092,experience.versions.save,experience,POST,/api/v1/experiences/applications/{applicationid}/versions,operator,experience.version.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-093,experience.versions.validate,experience,POST,/api/v1/experiences/versions/{versionid}/validation,operator,experience.version.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-094,experience.versions.publish,experience,PUT,/api/v1/experiences/versions/{versionid}/publication,operator,experience.version.publish,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-095,experience.versions.restore,experience,POST,/api/v1/experiences/versions/{versionid}/restorations,operator,experience.version.publish,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-096,cart.current.read,cart,GET,/api/v1/carts/current,member,cart.read,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-097,cart.items.put,cart,PUT,/api/v1/carts/current/items/{listingid},member,cart.manage,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-098,cart.items.batch,cart,POST,/api/v1/carts/current/items/batches,member,cart.manage,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-099,checkout.quote.create,checkout,POST,/api/v1/checkouts/quotes,member,checkout.create,elevated,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-100,order.orders.create,order,POST,/api/v1/orders,member,order.create,elevated,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-101,order.orders.read,order,GET,/api/v1/orders,member,order.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-102,order.orders.receive,order,POST,/api/v1/orders/{orderid}/receive,member,order.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,非GET+.read,UNKNOWN：需业务链复核
BIND-AU-010-103,order.reminders.create,order,POST,/api/v1/orders/{orderid}/reminders,member,order.reminder.create,low,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-104,order.orders.export,order,POST,/api/v1/orders/exports,operator,order.export,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-105,order.aftersales.read,order,GET,/api/v1/orders/aftersales,member,order.aftersale.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-106,order.aftersales.apply,order,POST,/api/v1/orders/{orderid}/aftersales,member,order.aftersale.apply,elevated,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-107,order.aftersales.approve,order,PUT,/api/v1/orders/aftersales/{aftersaleid}/approval,operator,order.aftersale.decide,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-108,order.aftersales.reject,order,DELETE,/api/v1/orders/aftersales/{aftersaleid}/approval,operator,order.aftersale.decide,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-109,fulfillment.shipments.create,fulfillment,POST,/api/v1/fulfillments/{fulfillmentid}/shipments,operator,fulfillment.ship,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-110,fulfillment.tracking.read,fulfillment,GET,/api/v1/fulfillments/tracking,member,fulfillment.read,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-111,fulfillment.returns.receive,fulfillment,PUT,/api/v1/fulfillments/returns/{returnid}/receipt,operator,fulfillment.return.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-112,fulfillment.returns.inspect,fulfillment,PUT,/api/v1/fulfillments/returns/{returnid}/inspection,operator,fulfillment.return.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-113,payment.intents.create,payment,POST,/api/v1/payments/intents,member,payment.create,high,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-114,payment.intents.read,payment,GET,/api/v1/payments/intents/{paymentid},member,payment.create,high,false,owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-115,verification.challenges.issue,verification,POST,/api/v1/verifications/challenges,operator,verification.issue,high,false,store|owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-116,verification.sessions.read,verification,GET,/api/v1/verifications/sessions,member,verification.issue,high,false,store|owner,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-117,verification.challenges.verify,verification,POST,/api/v1/verifications/challenges/{challengeid}/verification,operator,verification.verify,high,false,store,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-118,verification.history.read,verification,GET,/api/v1/verifications/history,operator,verification.verify,high,false,store,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-119,verification.devices.read,verification,GET,/api/v1/verifications/devices,operator,verification.verify,high,false,store,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-120,verification.devices.manage,verification,PUT,/api/v1/verifications/devices/{deviceid},operator,verification.verify,high,false,store,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-121,payment.refunds.request,payment,POST,/api/v1/payments/refunds,operator,payment.refund,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-122,payment.recoveries.read,payment,GET,/api/v1/payments/recoveries,operator,payment.recovery.read,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-123,payment.recoveries.resolve,payment,POST,/api/v1/payments/recoveries/{caseid}/resolutions,operator,payment.recovery.manage,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-124,voucher.cardlibraries.read,voucher,GET,/api/v1/vouchers/cardlibraries,operator,voucher.cardlibrary.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-125,voucher.cardlibraries.create,voucher,POST,/api/v1/vouchers/cardlibraries,operator,voucher.cardlibrary.manage,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-126,voucher.cardlibraries.allocate,voucher,POST,/api/v1/vouchers/cardlibraries/{libraryid}/allocations,operator,voucher.cardlibrary.allocate,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-127,voucher.imports.read,voucher,GET,/api/v1/vouchers/imports/{importid},operator,voucher.cardlibrary.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-128,voucher.programs.read,voucher,GET,/api/v1/vouchers/programs,operator,voucher.program.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-129,voucher.programs.manage,voucher,PUT,/api/v1/vouchers/programs/{programid},operator,voucher.program.manage,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-130,voucher.reserves.read,voucher,GET,/api/v1/vouchers/reserves,operator,voucher.reserve.read,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-131,voucher.reserves.request,voucher,POST,/api/v1/vouchers/reserves,operator,voucher.reserve.request,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-132,voucher.reserves.decide,voucher,PUT,/api/v1/vouchers/reserves/{reserveid}/decision,operator,voucher.reserve.decide,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-133,voucher.batches.read,voucher,GET,/api/v1/vouchers/batches,operator,voucher.batch.read,high,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-134,voucher.batches.issue,voucher,POST,/api/v1/vouchers/batches,operator,voucher.issue,critical,true,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
