permission编号,code,category,risk,stepup,scopes,定义行,Operation数量,Operations,methods,audiences,owners,目录唯一,Operation引用状态,审计结论
PERM-AU-010-050,catalog.import.read,catalog,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,61,1,catalog.imports.read,GET,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-051,pricing.rule.manage,pricing,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,62,2,pricing.rules.create|pricing.rules.publish,POST|PUT,operator,pricing,是,已使用,目录与Operation引用闭合
PERM-AU-010-052,pricing.offer.read,pricing,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,63,1,pricing.offers.read,GET,member,pricing,是,已使用,目录与Operation引用闭合
PERM-AU-010-053,inventory.read,inventory,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,64,1,inventory.availability.read,GET,member,inventory,是,已使用,目录与Operation引用闭合
PERM-AU-010-054,inventory.import.manage,inventory,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,65,1,inventory.imports.create,POST,operator,inventory,是,已使用,目录与Operation引用闭合
PERM-AU-010-055,inventory.import.read,inventory,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,66,1,inventory.imports.read,GET,operator,inventory,是,已使用,目录与Operation引用闭合
PERM-AU-010-056,marketing.read,marketing,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,67,1,marketing.campaigns.read,GET,operator,marketing,是,已使用,目录与Operation引用闭合
PERM-AU-010-057,referral.settings.read,referral,elevated,false,mall,68,1,referral.settings.read,GET,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-058,referral.settings.manage,referral,critical,true,mall,69,1,referral.settings.manage,PUT,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-059,referral.products.read,referral,low,false,mall,70,1,referral.products.read,GET,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-060,referral.products.manage,referral,critical,true,mall,71,1,referral.products.manage,PUT,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-061,referral.members.read,referral,elevated,false,mall,72,1,referral.members.read,GET,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-062,referral.members.approve,referral,high,false,mall,73,1,referral.members.approve,POST,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-063,referral.members.disqualify,referral,high,false,mall,74,1,referral.members.disqualify,POST,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-064,referral.bindings.read,referral,elevated,false,mall,75,1,referral.bindings.read,GET,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-065,referral.commissions.read,referral,high,false,mall,76,1,referral.commissions.read,GET,operator,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-066,referral.self.read,referral,low,false,owner,77,3,referral.earnings.read|referral.links.read|referral.withdrawals.read,GET,member,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-067,referral.self.manage,referral,high,false,owner,78,2,referral.members.apply|referral.bindings.create,POST,member,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-068,referral.withdrawals.create,referral,critical,true,owner,79,1,referral.withdrawals.create,POST,member,referral,是,已使用,目录与Operation引用闭合
PERM-AU-010-069,reporting.dashboard.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,80,1,reporting.dashboard.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-070,reporting.sales.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,81,1,reporting.sales.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-071,reporting.product.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,82,1,reporting.products.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-072,reporting.mall.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,83,1,reporting.malls.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-073,reporting.category.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,84,1,reporting.categories.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-074,reporting.channel.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,85,1,reporting.channels.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-075,reporting.powderclass.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,86,1,reporting.powderclass.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-076,reporting.voucher.read,reporting,low,false,platform|distributor|tenant|enterprise|mall|department,87,1,reporting.voucherconsumption.read,GET,operator,reporting,是,已使用,目录与Operation引用闭合
PERM-AU-010-077,reporting.export.read,reporting,high,false,platform|distributor|tenant|enterprise|mall|department,88,2,reporting.exports.read|voucher.exports.get,GET,operator,reporting|voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-078,reporting.export.manage,reporting,critical,true,platform|distributor|tenant|enterprise|mall|department,89,5,reporting.exports.create|voucher.credentialexports.create|voucher.issueorderexports.create|voucher.actionexports.create|voucher.searchexports.create,POST,operator,reporting|voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-079,experience.application.read,experience,low,false,platform|distributor|tenant|enterprise|mall|department,90,1,experience.applications.read,GET,operator,experience,是,已使用,目录与Operation引用闭合
PERM-AU-010-080,experience.application.manage,experience,high,false,platform|distributor|tenant|enterprise|mall|department,91,3,experience.applications.create|experience.applications.copy|experience.applications.update,POST|PATCH,operator,experience,是,已使用,目录与Operation引用闭合
PERM-AU-010-081,experience.version.manage,experience,high,false,platform|distributor|tenant|enterprise|mall|department,92,2,experience.versions.save|experience.versions.validate,POST,operator,experience,是,已使用,目录与Operation引用闭合
PERM-AU-010-082,experience.version.publish,experience,critical,true,platform|distributor|tenant|enterprise|mall|department,93,2,experience.versions.publish|experience.versions.restore,PUT|POST,operator,experience,是,已使用,目录与Operation引用闭合
PERM-AU-010-083,cart.read,cart,low,false,owner,94,1,cart.current.read,GET,member,cart,是,已使用,目录与Operation引用闭合
PERM-AU-010-084,cart.manage,cart,low,false,owner,95,2,cart.items.put|cart.items.batch,PUT|POST,member,cart,是,已使用,目录与Operation引用闭合
PERM-AU-010-085,checkout.create,checkout,elevated,false,owner,96,1,checkout.quote.create,POST,member,checkout,是,已使用,目录与Operation引用闭合
PERM-AU-010-086,order.create,order,elevated,false,owner,97,1,order.orders.create,POST,member,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-087,order.read,order,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,98,2,order.orders.read|order.orders.receive,GET|POST,member,order,是,已使用,非GET绑定.read；业务意图留待对应模块
PERM-AU-010-088,order.reminder.create,order,low,false,owner,99,1,order.reminders.create,POST,member,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-089,order.export,order,critical,true,platform|distributor|tenant|enterprise|mall|department,100,1,order.orders.export,POST,operator,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-090,order.aftersale.read,order,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,101,1,order.aftersales.read,GET,member,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-091,order.aftersale.apply,order,elevated,false,owner,102,1,order.aftersales.apply,POST,member,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-092,order.aftersale.decide,order,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,103,2,order.aftersales.approve|order.aftersales.reject,PUT|DELETE,operator,order,是,已使用,目录与Operation引用闭合
PERM-AU-010-093,fulfillment.ship,fulfillment,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,104,1,fulfillment.shipments.create,POST,operator,fulfillment,是,已使用,目录与Operation引用闭合
PERM-AU-010-094,fulfillment.return.manage,fulfillment,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,105,2,fulfillment.returns.receive|fulfillment.returns.inspect,PUT,operator,fulfillment,是,已使用,目录与Operation引用闭合
PERM-AU-010-095,fulfillment.read,fulfillment,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,106,1,fulfillment.tracking.read,GET,member,fulfillment,是,已使用,目录与Operation引用闭合
PERM-AU-010-096,payment.create,payment,high,false,owner,107,2,payment.intents.create|payment.intents.read,POST|GET,member,payment,是,已使用,目录与Operation引用闭合
PERM-AU-010-097,payment.refund,payment,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,108,1,payment.refunds.request,POST,operator,payment,是,已使用,目录与Operation引用闭合
PERM-AU-010-098,payment.recovery.read,payment,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,109,1,payment.recoveries.read,GET,operator,payment,是,已使用,目录与Operation引用闭合
PERM-AU-010-099,payment.recovery.manage,payment,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,110,1,payment.recoveries.resolve,POST,operator,payment,是,已使用,目录与Operation引用闭合
PERM-AU-010-100,verification.issue,verification,high,false,store|owner,111,2,verification.challenges.issue|verification.sessions.read,POST|GET,operator|member,verification,是,已使用,目录与Operation引用闭合
PERM-AU-010-101,verification.verify,verification,high,false,store,112,9,verification.challenges.verify|verification.history.read|verification.devices.read|verification.devices.manage|voucher.redemptions.quote|voucher.tenderholds.create|voucher.tenderholds.consume|voucher.tenderholds.release|voucher.redemptions.create,POST|GET|PUT,operator,verification|voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-102,voucher.cardlibrary.manage,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,113,5,voucher.cardlibraries.create|voucher.credentialpools.create|voucher.credentials.generate|voucher.credentials.import|voucher.credentialpools.close,POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-103,voucher.cardlibrary.allocate,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,114,1,voucher.cardlibraries.allocate,POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-104,voucher.cardlibrary.read,voucher,low,false,platform|distributor|tenant|enterprise|mall|department,115,6,voucher.cardlibraries.read|voucher.imports.read|voucher.credentialpools.get|voucher.credentialpools.list|voucher.credentials.list|voucher.credentials.get,GET,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-105,voucher.program.manage,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,116,5,voucher.programs.manage|voucher.products.create|voucher.products.revise|voucher.products.enable|voucher.products.disable,PUT|POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-106,voucher.program.read,voucher,low,false,platform|distributor|tenant|enterprise|mall|department,117,4,voucher.programs.read|voucher.products.get|voucher.products.list|voucher.productoptions.list,GET,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-107,voucher.reserve.request,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,118,5,voucher.reserves.request|voucher.stockrequests.create|voucher.stockrequests.update|voucher.stockrequests.submit|voucher.stockrequests.cancel,POST|PATCH,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-108,voucher.reserve.decide,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,119,1,voucher.reserves.decide,PUT,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-109,voucher.reserve.read,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,120,4,voucher.reserves.read|voucher.stockrequests.get|voucher.stockrequests.list|voucher.stockrequestoptions.list,GET,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-110,voucher.issue,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,121,7,voucher.batches.issue|voucher.batches.retry|voucher.issueorders.create|voucher.issueorders.update|voucher.issueorders.submit|voucher.issueorders.cancel|voucher.issuebatches.retry,POST|PATCH,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-111,voucher.batch.read,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,122,5,voucher.batches.read|voucher.jobs.get|voucher.issueorders.get|voucher.issueorders.list|voucher.issuebatches.get,GET,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-112,voucher.status.manage,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,123,3,voucher.status.batch|voucher.actionbatches.create|voucher.actionbatches.retry,POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-113,voucher.binding.read,voucher,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,124,1,voucher.bindings.read,GET,member,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-114,voucher.binding.manage,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,125,3,voucher.bindings.manage|voucher.vouchers.bind|voucher.vouchers.unbind,PUT|POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-115,voucher.history.read,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,126,10,voucher.statusbatches.read|voucher.history.read|voucher.actionbatches.get|voucher.actionbatches.list|voucher.search.read|voucher.vouchers.get|voucher.vouchers.getbynumber|voucher.vouchers.timeline|voucher.searchfacets.read|voucher.searchsnapshots.create,GET|POST,operator,voucher,是,已使用,非GET绑定.read；业务意图留待对应模块
PERM-AU-010-116,voucher.redemption.read,voucher,high,false,platform|distributor|tenant|enterprise|mall|department,127,2,voucher.redemptions.read|voucher.redemptions.get,GET,member|operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-117,voucher.redemption.reverse,voucher,critical,true,platform|distributor|tenant|enterprise|mall|department,128,2,voucher.redemptions.reverse|voucher.refunds.create,POST,operator,voucher,是,已使用,目录与Operation引用闭合
PERM-AU-010-118,benefit.read,benefit,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,129,2,benefit.accounts.read|benefit.ledgers.read,GET,member,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-119,benefit.grant,benefit,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,130,1,benefit.grants.create,POST,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-120,benefit.grant.decide,benefit,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,131,1,benefit.grants.decide,PUT,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-121,benefit.plan.read,benefit,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,132,1,benefit.plans.read,GET,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-122,benefit.plan.manage,benefit,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,133,1,benefit.plans.manage,PUT,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-123,benefit.budget.read,benefit,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,134,1,benefit.budgets.read,GET,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-124,benefit.budget.manage,benefit,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,135,1,benefit.budgets.manage,PUT,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-125,benefit.grant.read,benefit,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,136,1,benefit.grants.read,GET,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-126,benefit.grant.control,benefit,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,137,1,benefit.grants.control,POST,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-127,benefit.revoke,benefit,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,138,1,benefit.grants.revoke,POST,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-128,benefit.lot.read,benefit,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,139,1,benefit.lots.read,GET,operator,benefit,是,已使用,目录与Operation引用闭合
PERM-AU-010-129,finance.overview.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,140,1,finance.overview.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-130,finance.entry.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,141,1,finance.entries.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-131,finance.statement.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,142,1,finance.statements.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-132,finance.statement.export,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,143,1,finance.statements.export,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-133,finance.reconciliation.manage,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,144,5,finance.reconciliations.manage|finance.reconciliationrepairs.preview|finance.reconciliationrepairs.submit|finance.reconciliationrepairs.decide|finance.reconciliationrepairs.reverse,PUT|POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-134,finance.reconciliation.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,145,2,finance.reconciliations.read|finance.reconciliationrepairs.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-135,finance.settlement.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,146,1,finance.settlements.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-136,finance.settlement.decide,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,147,1,finance.settlements.decide,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-137,finance.settlement.adjust,finance,critical,true,platform|distributor|tenant|enterprise|mall|department,148,1,finance.settlements.adjust,POST,operator,finance,是,已使用,目录与Operation引用闭合
PERM-AU-010-138,finance.withdrawal.read,finance,elevated,false,platform|distributor|tenant|enterprise|mall|department,149,1,finance.withdrawals.read,GET,operator,finance,是,已使用,目录与Operation引用闭合
