"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-019-044","01_core_hexin/apps/auth-web/src/services/consumerIdentityEntry.ts","69","TypeScript源码","App","已深入审阅；host/query分流；F-0086"
"FILE-AU-019-045","01_core_hexin/apps/auth-web/src/services/consumerRegistration.test.ts","19","测试源码","vitest","已深入审阅；displayName/孤儿password"
"FILE-AU-019-046","01_core_hexin/apps/auth-web/src/services/consumerRegistration.ts","13","TypeScript源码","Consumer/测试","已深入审阅；部分符号DC-0024"
"FILE-AU-019-047","01_core_hexin/apps/auth-web/src/services/identityNodeEnvironment.ts","93","TypeScript源码","main/App/canonical clients","已深入审阅；runtime registry；F-0083/F-0084/F-0085"
"FILE-AU-019-048","01_core_hexin/apps/auth-web/src/services/identityNodeRuntime.test.ts","64","测试源码","vitest","已深入审阅；任意HTTPS节点反事实；F-0083"
"FILE-AU-019-049","01_core_hexin/apps/auth-web/src/services/originPolicy.test.ts","55","测试源码","vitest","已深入审阅；legacy origin allowlist"
"FILE-AU-019-050","01_core_hexin/apps/auth-web/src/services/originPolicy.ts","104","TypeScript源码","legacy auth export","已深入审阅；DC-0024"
"FILE-AU-019-051","01_core_hexin/apps/auth-web/src/services/otpPolicy.test.ts","18","测试源码","vitest","已深入审阅；deadline oracle"
"FILE-AU-019-052","01_core_hexin/apps/auth-web/src/services/otpPolicy.ts","11","TypeScript源码","orphan resend hook","已深入审阅；DC-0024"
"FILE-AU-019-053","01_core_hexin/apps/auth-web/src/services/termsAcceptance.test.ts","10","测试源码","vitest","已深入审阅；默认同意语义"
"FILE-AU-019-054","01_core_hexin/apps/auth-web/src/services/termsAcceptance.ts","5","TypeScript源码","MallContext/legacy","已深入审阅；当前Provider初始化"
"FILE-AU-019-055","01_core_hexin/apps/auth-web/src/types/index.ts","48","TypeScript源码","canonical/legacy/context","已深入审阅；UI投影类型"
"FILE-AU-019-056","01_core_hexin/apps/auth-web/tsconfig.json","21","配置","tsc","已深入审阅；类型入口"
"FILE-AU-019-057","01_core_hexin/apps/auth-web/vite.config.ts","52","TypeScript源码","Vite build/dev","已深入审阅；registry define/proxy/base/preview"
"FILE-AU-019-058","01_core_hexin/apps/auth-web/vitest.config.ts","27","TypeScript源码","vitest","已深入审阅；include/environment；F-0090"
