函数编号,文件/位置,1 唯一职责,2 参数来源,3 运行时校验,4 类型真实性,5 默认值,6 特殊输入,7 参数变异,8 外部可变状态,9 调用顺序依赖,10 隐藏前置条件,11 不变量,12 返回路径,13 抛错路径,14 提前返回,15 外部调用,16 数据库写入,17 日志,18 权限判断,19 重试,20 超时,21 资源清理,22 Promise,23 并发安全,24 重复调用,25 半完成状态,26 已测分支,27 未测分支,28 复杂度,29 拆分判断,30 相邻重复
FN-AU-009-015,Money.ts:8-45 of/zero/add/subtract/multiply/equals,构造和计算同币种minor金额,Finance/Payment/tests,safe integer、factor、currency、结果溢出,number可能有-0但safe integer；currency runtime由Currency.of,currency默认CNY,负数/零允许；浮点factor/minor和溢出拒绝,不改实例；Money外层冻结但嵌套Currency可运行时mutation,CURRENCIES/Currency运行对象可变，见E-AU-009-018,先验证币种后算术,minor unit和currency必须匹配,INV-AU-009-001,冻结Money或boolean,MONEY_MINOR_INVALID/MONEY_FACTOR_INVALID/MONEY_CURRENCY_MISMATCH/MONEY_OVERFLOW,无,Currency.of/Number安全检查,无,无,无,无,无,无资源,同步,算术局部安全；共享currency目录mutation可改变接受集,重复运算确定（若currency未被改写）,错误前无状态,TC-AU-009-001部分,zero/subtract/multiply、负边界、currency runtime mutation、-0,低,不拆,无浮点替代；值得保留
FN-AU-009-016,Page.ts:7-10 page,构造不可变分页结果,潜在API调用；仓内零caller,只检查items.length为safe integer（JS数组长度天然满足）；不校验next/total,items/next/total其余只信类型,total可省略,空items/null next/负或非safe total均接受,不改原数组；复制后冻结,无,无,total/cursor合法性由调用者承担,输出外层/items冻结,返回Page,PAGE_INVALID在正常Array输入实际上不可达；Object.freeze异常极少,total undefined时省略字段,Object.freeze,无,无,无,无,无,无资源,同步,是,重复确定,无半状态,无,negative/unsafe total、cursor格式、无效分支可达性,低,不拆,各API有自定义分页shape
FN-AU-009-017,Result.ts:3-9 success/failure,构造discriminated result,潜在应用调用；仓内零caller,无,泛型只编译期,无,undefined允许作为value/error,不改输入；浅冻结wrapper,无,无,嵌套value/error仍可变,ok与对应字段一致,冻结success或failure,Object.freeze通常不抛,无,Object.freeze,无,无,无,无,无,无资源,同步,是,重复确定,无半状态,无,嵌套mutation、external consumer,低,不拆,其他包使用各自Result类型
FN-AU-009-018,RateLimiter.ts acquire/refill,按每秒令牌序列化获得许可,Executor/Vendor wrapper,构造rate正整数；deadline由类型,Date.now非单调；Deadline真实,无,rate=1边界；abort/expired,不改deadline；修改token/last/serial,系统时钟、Semaphore/serial Promise,acquire串行链接上一调用,墙钟回退语义未表达,请求速率不超过配置（理想单调时钟）,许可完成Promise,deadline/abort错误,有token时快速完成,clock/timer/Semaphore,无,无,无,无,等待由deadline约束,timer/listener交给Semaphore/Deadline,Promise链被catch保持后续可用,串行化避免token竞态；墙钟问题未验证,重复调用共享令牌,失败链catch后恢复serial,无直接测试,fake clock、burst、abort、clock rollback,中,职责集中，不拆,Vendor RatePolicy包装该/相邻原语
FN-AU-009-019,Retry.ts:16-33 retry,在统一deadline内按policy重试operation,Executor/Vendor,policy数字/mode；每轮deadline；retryable返回无保护,unknown cause规范化；mode仅标签,random可选,attempts=1；delay=0；abort；classifier throw,不改policy；operation可有外部副作用,deadline signal/clock/random,每次失败后classifier和delay,businesskeywrite必须幂等未由类型/运行表达,INV-AU-009-004/005,首个成功result,last error、DEADLINE_EXCEEDED、classifier error,末次/不可重试直接throw,operation/retryable/retryDelay/wait,无自身DB写,无,无,最多policy.attempts,总deadline，signal传入operation,wait移除timer但abort路径未移除listener（once后由事件移除）,await每次operation/wait,函数局部；外部副作用并发由caller,[BROKEN] businesskeywrite可重复无key,第一次已生效后失败可半完成,TC-AU-009-005 read主路,business key、classifier throw、abort、last fallback,中,幂等契约需与ExecutionContext一起专项设计,VendorClient另有attempts=1门禁
FN-AU-009-020,Retry.ts:35-63 retryDelay/wait,计算抖动退避并等待或响应abort,retry内部/公共caller,整数/范围；signal预检,random返回范围未校验,random=Math.random,random<0/>=1可出边界；delay0仍setTimeout,不改输入,timer/signal/random,abort callback依赖timer已定义后事件循环触发,"random应在[0,1)但未表达",delay受min/max约束仅在正常random,number或resolved Promise,RETRY_DELAY_INVALID/OPERATION_ABORTED,signal已abort立即reject,setTimeout/signal,无,无,无,无,wait timer,timer完成移listener；abort clear timer,Promise最终settle；abort listener once,每次独立,重复调用独立,无外部半状态,TC-AU-009-005 random=0/delay0,random非法、abort race、max指数,中低,不拆,Deadline timer相邻
FN-AU-009-021,Semaphore.ts:14-71 use/acquire/releaser/startNext,管理固定capacity和FIFO等待队列并交付幂等release函数,Bulkhead/直接调用,capacity/maximumQueue safe integer；signal可选,AbortSignal真实,maximumQueue=MAX_SAFE_INTEGER,已abort；queue满；permit立即取；waiter出队时已abort,修改active/waiting；不改signal,实例队列,每次成功acquire的release应调用；use以finally保证,公开acquire返回release token；绕过use的调用者负责释放,active不超过capacity，queued不超过上限,use结果/acquire Promise/release void,SEMAPHORE_*、OPERATION_ABORTED、work error,有permit直接resolve；released重复调用return,AbortSignal listener,无,无,无,无,等待无自身timeout，靠signal,abort移queue；startNext移listener；use finally release,等待可由release或abort settle,JS单线程队列操作原子；幂等releaser防重复释放,重复acquire消耗容量；重复release无效,绕过use后漏release会永久降容量,Bulkhead间接拒绝测试,FIFO、abort race、直接acquire漏release,中,公开acquire责任可文档化，暂不拆,Bulkhead封装主要正确调用
FN-AU-009-022,Specification.ts:6-22 constructors/satisfiedBy,对一组同步Specification执行all/any组合,潜在领域；当前仅兼容re-export,构造拒绝空数组；不校验元素runtime形态,接口方法返回boolean但实现可抛/非boolean runtime,无,空数组抛；任意T；every/some短路,不改candidate；保留调用者传入数组引用,注入specification和数组可能被外部修改,按数组顺序，every/some短路,specifications应为稳定纯同步对象但未强制/冻结,非空组合且all/any语义,下游spec error原样抛,SPECIFICATION_EMPTY或下游error,And首个false/Or首个true短路,Array.every/some与各satisfiedBy,无,无,无,无,无资源,同步,取决于注入spec,取决于注入spec和外部数组mutation,无自身半状态,无,短路、副作用spec、外部caller,数组mutation、短路、副作用spec、外部caller,不拆,Policy是异步决策端口，不等价,
FN-AU-009-023,SystemClock.ts now,提供当前Date,Commerce bootstraps/AccessPipeline,无,Date真实,系统时间,系统时钟异常不处理,无参数,系统墙钟,无,时区由Date绝对时间承担,返回新Date,Date构造不抛,无,Date,无,无,无,无,无,无资源,同步,是,每次返回当前值,无半状态,测试通过TestClock替代而非SystemClock,系统时钟回退,低,不拆,TestClock是确定性实现,
FN-AU-009-024,ValueObject.ts:4-17 constructor/equals/canonical,浅冻结值并以canonical字符串比较,PaymentReference/未来子类,无schema；canonical递归分类型,Record泛型允许nested unknown，与JSON支持集合不一致,equals undefined false,Date/Map/Set/nonfinite/BigInt/cycle/undefined,浅复制外层，不改原嵌套；嵌套仍共享,嵌套对象可被外部修改,equals每次重新canonical,支持值集合/等价关系未表达,INV-AU-009-007,boolean/实例,BigInt JSON错误、cycle递归/stack,other undefined false,Object.entries/sort/JSON.stringify,无,无,无,无,无,无资源,同步,读取共享嵌套值可能竞态,[BROKEN] 不同值可等价,无外部半状态,无,所有非平面JSON/非finite/undefined,中,canonical策略需独立语义定稿,PaymentReference可用字段逐项比较但不宜顺手替换
FN-AU-009-025,Version.ts:6-12 of/next,封装从1开始的safe-integer递增版本,仓内零生产caller,of要求safe integer且>=1；next复用of,number真实,无,0/负/浮点/Infinity拒绝；MAX.next溢出拒绝,不改输入,无,无,这是序号版本而非SemVer,正整数safe version,冻结Version,VERSION_INVALID,invalid throw,Number/Object.freeze,无,无,无,无,无,无资源,同步,实例不可变,重复next返回等值新实例,无半状态,无,MAX边界、外部caller,低,不拆,contract字符串版本不是等价对象
FN-AU-009-026,ModuleManifest.ts:32-34 defineModuleManifest,保留字面量类型并返回manifest,35 Commerce manifests/tests,无runtime校验/冻结,satisfies接口只在编译期,无,空provides/requires允许；重复值允许,返回同一输入引用,调用者持有并可修改对象/数组,模块加载时立即执行,readonly只编译期,INV-AU-009-006,原对象,无自身错误,无,无,无,无,无,无,无,无资源,同步,共享引用可被并发mutation,重复调用只返回各自引用,无半状态,间接35 manifest tests,mutation/duplicate/真实resolver,低,可与catalog snapshot策略统一但需架构批次,无
FN-AU-009-027,ModuleCatalog.ts:23-56 constructor/all/get/providersFor,构建module/provider索引并公开查询,潜在startup；当前tests,重复module id校验；不校验manifest字段/重复capability,ReadonlyMap/readonly数组仅类型，不是runtime freeze,无,空manifest数组允许；duplicate capability同module重复入索引,不主动改manifest但保留其引用,调用者manifest/arrays可变,构造索引后假定输入不变,immutable注释与实际不符,INV-AU-009-006,catalog/数组/manifest查询,Duplicate module id；requiredModule error,无provider返回空,Map/Array,无,无,无,无,无,无资源,同步,[BROKEN] 外部mutation造成索引/视图分裂,重复查询可因外部mutation变化,构造失败无外部状态,ModuleCatalog 4 tests部分,mutation、duplicate provides、返回对象修改,中,需要snapshot/freeze与验证统一专项,Commerce有另一套module composition
FN-AU-009-028,ModuleCatalog.ts:58-133 resolve/requiredModule,按capability选择provider并拓扑排序,ModuleSelection/tests；无生产caller,module存在、provider存在/唯一/binding提供能力、cycle,bindings对象与manifests只信类型,bindings默认空,空selection返回空；optional按选中/绑定决定,不改selection arrays；局部selectedIds会扩展,依赖catalog的可变manifest引用,DFS visiting/visited顺序,requires必须是capability ID，但35 manifests混用module ID,INV-AU-009-006,ResolvedModulePlan含数组和可变Map对象,unknown/missing/ambiguous/cycle/bad binding,visited提前return；optional无唯一provider跳过,requiredModule/Map/Set,无,无,无,无,无,无资源,同步,单次局部状态；catalog mutation可使跨调用不一致,重复resolve理论确定但外部mutation破坏,抛错只留局部半计划，不外泄,TC-AU-009-006..009,35真实集、duplicate capability、returned Map mutation,中高,解析器与manifest namespace需同一架构批次,当前CommerceModule.dependencies是独立系统
FN-AU-009-029,Currency.ts:7-14 of/equals,从公开币种目录构造值并比较code,Money/潜在外部,includes校验code,string转CurrencyCode依赖运行目录,无,空/未知拒绝；运行时目录mutation可扩展接受集,不改输入；返回实例未冻结且公开code可改写,导出的CURRENCIES数组,of读取共享目录,as const/readonly只在类型层,Money currency必须保持受支持且稳定,Currency或boolean,CURRENCY_UNSUPPORTED,未知币种throw,Array.includes,无,无,无,无,无,无,无,同进程共享目录可被其它调用者mutation,重复of取决于目录当前值,无,Money测试仅默认CNY,目录push、实例赋值、并发mutation,低,运行时不可变性随F-0032专项,Money嵌套使用同一类型
FN-AU-009-030,Cursor.ts:8-11 parse,封装24–1024字符base64url样式opaque cursor,Commerce CursorCodec,长度和字符正则,string真实,无,空/过短/过长/+/=拒绝,不改输入,无,CursorCodec先编码再parse,不验证解码结构，结构由CursorCodec承担,opaque格式稳定,冻结Cursor,CURSOR_INVALID,无,RegExp/Object.freeze,无,无,无,无,无,无,无,实例不可变,重复parse等价,无,无,边界24/1024、外部opaque值,低,不拆,CursorCodec负责结构/签名，不等价
