"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-AU-005-011","F-AU-005-007","JobRunner.ts:78-140","heartbeat+deadline+条件完成/失败","claimed job+processor","scope、lease owner条件","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","heartbeat启动→processor→finish/fail","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.job/deadletter","是","DB角色和scope","lease owner","有界attempt/backoff","client/timer/listener清理","clearInterval/deadline.dispose/client.release","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","heartbeat错误被吞可短时双执行","JobRunner.test","processor幂等专项","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-012","F-AU-005-024","RuntimeScheduler.ts:34-42","确定性插入周期job","当前时间","bucket与固定schedule表","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","leader lease后调用","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.job","是","DB角色和scope","worker role","ON CONFLICT幂等","client/timer/listener清理","无句柄","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","同bucket重复安全","无正式scheduler进程","无直接测试证据","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-013","F-AU-005-045","localsecrets/Main.ts:8-25","生产secret读取入口","HTTP request+环境catalog","method/path/ref decode","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","health后直接业务路由","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","SecretCatalog","否","Bearer/ref边界","无authenticate/require","无","server/client close见owner","server生命周期归systemd","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","任一本地调用者等价","Main无E2E测试","F-0021","入口与适配器可分","冲突实现已单列"
"FN-AU-005-014","F-AU-005-044","localsecrets/Handler.ts:8-25","预期授权版secret入口","catalog+authorization","health例外；authenticate+require","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","认证先于业务读取","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","SecretCatalog","否","Bearer/ref边界","Bearer+exact ref","无","server/client close见owner","无句柄","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","重复GET安全","Handler.test覆盖401/403","未被Main调用","入口与适配器可分","冲突实现已单列"
"FN-AU-005-015","F-AU-005-042","localkms/Main.ts:8-33","生产encrypt/decrypt入口","HTTP request+LocalKms","method/body/keyRef/context","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","health后直接业务路由","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","LocalKms","否","Bearer/ref边界","无authenticate/require","无","server/client close见owner","server生命周期归systemd","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","任一本地调用者等价","Main无E2E测试","F-0021","入口与适配器可分","冲突实现已单列"
"FN-AU-005-016","F-AU-005-040","localkms/Handler.ts:9-34","预期授权版KMS入口","cipher+authorization","authenticate后body/ref require","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","认证→校验→授权→crypto","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","EnvelopeCipher","否","Bearer/ref边界","Bearer+exact keyRef","无","server/client close见owner","无句柄","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","encrypt随机/decrypt幂等","Handler.test覆盖401/403","未被Main调用","入口与适配器可分","冲突实现已单列"
"FN-AU-005-017","F-AU-005-039","WorkloadAccessPolicy.ts:92-114","构造exact auth policy","policy JSON","exact keys/phase/workloads/resources/token uniqueness","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","解析后供Handler使用","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","policy file","否","Bearer/ref边界","精确workload/resource","无","server/client close见owner","无句柄","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","当前Main未消费结果","policy test","生产接线F-0021","入口与适配器可分","冲突实现已单列"
"FN-AU-005-018","F-AU-005-039","WorkloadAccessPolicy.ts:130-147","返回workload并执行resource ACL","headers/workload/resource","constant-time token digest+exact set","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","authenticate必须先于require","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","grant set","否","Bearer/ref边界","401/403","无","server/client close见owner","无句柄","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","安全重复调用","policy/Handler tests","实际Main不调用","入口与适配器可分","冲突实现已单列"
"FN-AU-005-019","F-AU-005-041","LocalKms.ts:21-57","AES-256-GCM envelope","keyRef/plain/cipher/context","master32B/ref/size/prefix/tag","TypeScript静态类型不能替代外部值运行时校验","keyVersion固定local-v1","篡改AAD/短payload/空明文","不修改输入","随机nonce+单master key","derive→AEAD→envelope","context canonical后作AAD","keyRef+context绑定ciphertext","envelope/plaintext","统一KMS输入错误","无","node:crypto","随机nonce+master","否","HTTP层应在handler","keyRef是加密域","无","无资源句柄","无句柄","无共享可变state","encrypt非确定；decrypt幂等","master丢失不可无恢复","encrypt可安全重复但不同cipher","master更换使旧数据不可读","LocalKms.test","加密原语单一清晰","无等价实现"
"FN-AU-005-020","F-AU-005-043","LocalObjects.ts:67-92","将内存upload提交为对象","upload id/parts/hash/size","part计数/size/SHA256","TypeScript静态类型不能替代外部值运行时校验","8MiB part/64MiB object/60–900秒","重复digest、过期签名、重启","Buffer拷贝；不修改调用输入","内存upload Map+文件系统","create→append→complete/abort","bytes rename→metadata→path→Map delete","bytes hash必须等于reference","metadata/bytes/签名URL","完整性/缺失/签名错误","find缺失返回undefined","fs/crypto/HTTP","文件系统","文件写","object bearer或URL HMAC","调用前已通过Bearer","无","abort/delete Map；rename临时文件","Map最后删除","单进程Map；文件级无事务","content hash去重但metadata会覆盖","metadata/path多步写","metadata/path可能半完成；scan直接clean","LocalObjects.test","F-0026/F-0027","职责可读但metadata模型需设计","无等价LocalObjects实现"
"FN-AU-005-021","F-AU-005-043","LocalObjects.ts:121-140","签发/校验临时下载URL","ref/expiry/signature","ref存在、60–900秒、timing-safe HMAC","TypeScript静态类型不能替代外部值运行时校验","8MiB part/64MiB object/60–900秒","重复digest、过期签名、重启","Buffer拷贝；不修改调用输入","内存upload Map+文件系统","create→append→complete/abort","inspect先于签名","bytes hash必须等于reference","metadata/bytes/签名URL","完整性/缺失/签名错误","find缺失返回undefined","fs/crypto/HTTP","文件+HMAC token","否","object bearer或URL HMAC","签名即能力","无","abort/delete Map；rename临时文件","无句柄","单进程Map；文件级无事务","content hash去重但metadata会覆盖","metadata/path多步写","URL可重复使用至到期","publicEndpoint loopback","LocalObjects.test","职责可读但metadata模型需设计","无等价LocalObjects实现"
"FN-AU-005-022","F-AU-005-034","localinfra/Http.ts:34-56","统一loopback HTTPS边界","name/port/handler/TLS/body上限","端口/name/TLS/body/json错误","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","读TLS→listen→dispatch","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","TLS文件/socket","否","Bearer/ref边界","由handler/preflight负责","无","server/client close见owner","server由进程owner关闭","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","request并发","Main未传授权preflight","Http.test结构审阅","入口与适配器可分","冲突实现已单列"
"FN-AU-005-023","F-AU-005-001","CatalogJobsRuntime.ts:150-218","构造catalog/import/export/media Jobs","pool/object/worker/scope/media","配置常量","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","export使用独立配置","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.job/ObjectStore","经processors","DB角色和scope","scope是数据边界","runner负责","client/timer/listener清理","jobs随进程信号停止","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","export漏scope产生generic claim","CatalogJobsRuntime.test","crash recovery F-0024","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-024","F-AU-005-031","GetExport.ts:14-20","completed时签发下载能力","query result+ObjectStore","completed/ref/scan clean","TypeScript静态类型不能替代外部值运行时校验","8MiB part/64MiB object/60–900秒","重复digest、过期签名、重启","Buffer拷贝；不修改调用输入","内存upload Map+文件系统","create→append→complete/abort","DB query成功后finalize","bytes hash必须等于reference","metadata/bytes/签名URL","完整性/缺失/签名错误","find缺失返回undefined","fs/crypto/HTTP","ObjectStore authorize","否","object bearer或URL HMAC","业务access先于query","无","abort/delete Map；rename临时文件","无句柄","单进程Map；文件级无事务","content hash去重但metadata会覆盖","metadata/path多步写","GET重复签新expiry","接受loopback URL","模块测试未覆盖","职责可读但metadata模型需设计","无等价LocalObjects实现"
"FN-AU-005-025","F-AU-005-032","ExportJobRunner.ts:13-54","生成文件、上传、校验、完成export","job+signal","format/pages/object metadata","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","create→append→complete→inspect→DB complete","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","ObjectStore+report DB","是","DB角色和scope","worker scope由repo","runner外层重试","client/timer/listener清理","signal/page loop","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","catch abort upload+failExport","object成功而DB失败可留孤儿","processor tests未在本AU执行","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-026","F-AU-005-035","PostgresTlsProxy.ts:核心连接入口","为staging提供loopback TLS隧道","upstream host/port/CA/local port","hostname/CA/TLS/socket","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","本地accept→上游TLS→双向pipe","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","network/TLS sockets","否","Bearer/ref边界","DynamicUser/文件隔离在systemd","连接级","server/client close见owner","socket timeout/错误","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","双方close/destroy","每连接隔离","中途断开无持久状态","入口与适配器可分","冲突实现已单列"
"FN-AU-005-027","F-AU-005-037","localinfra/Run.ts:25-36","spawn三个内部服务并联生命周期","RuntimeEntries+NODE_ENV","production entry必须映射","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","先计算profile后spawn","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","child processes","否","Bearer/ref边界","不加载workload policy","systemd restart","server/client close见owner","由子进程","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","信号kill所有child","任一child退出终止其余","部分child启动后另一个失败会整体退出","入口与适配器可分","冲突实现已单列"
