"符号编号","文件编号/路径","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-AU-008-015","IdentityNodeRegistry.ts","identityNodeRegistryFromManifest","IdentityNodeRegistry.ts:44","模块初始化、测试","生产registry常量","@shop/sdk/identity-node","未发现","否","是","读取canonical manifest并投影/校验","公开subpath","否","生产节点registry无法建立"
"SYM-AU-008-016","IdentityNodeRegistry.ts","PRODUCTION_IDENTITY_NODE_REGISTRY","IdentityNodeRegistry.ts:108","Auth/Storefront配置/测试","host resolver","@shop/sdk/identity-node","未发现","否","是","模块加载时立即生成","公开subpath","否","生产身份节点解析失败"
"SYM-AU-008-017","IdentityNodeRegistry.ts","PRODUCTION_IDENTITY_NODE_REGISTRY_SOURCE","IdentityNodeRegistry.ts:109","构建环境/测试","序列化registry","@shop/sdk/identity-node","未发现","否","是","模块加载时JSON.stringify","公开subpath","可能是兼容/构建导出","构建注入与测试变化"
"SYM-AU-008-018","IdentityNodeRegistry.ts","parseIdentityNodeRegistry","IdentityNodeRegistry.ts:111","Auth/Storefront环境/测试","node selection","@shop/sdk/identity-node","未发现","否","是","JSON parse/validate/freeze","公开subpath","否","运行配置无法解析"
"SYM-AU-008-019","IdentityNodeRegistry.ts","identityNodeForAccountsHost","IdentityNodeRegistry.ts:135","Auth配置","登录入口节点","@shop/sdk/identity-node","未发现","否","是","只读registry","公开subpath","否","accounts host无法绑定"
"SYM-AU-008-020","IdentityNodeRegistry.ts","identityNodeForStorefrontHost","IdentityNodeRegistry.ts:143","Storefront配置","商城节点选择","@shop/sdk/identity-node","未发现","否","是","只读registry","公开subpath","否","storefront host无法绑定"
"SYM-AU-008-021","OperationDescriptor.ts","OperationDescriptor","OperationDescriptor.ts:14","generated domains、ApiClient、tests","所有App generated calls","无公开package subpath","未发现","否","内部生成契约","类型擦除","SDK内部","否","generator/SDK编译失败"
"SYM-AU-008-022","OperationDescriptor.ts","OperationExecutor","OperationDescriptor.ts:26","generated domains、ApiClient、tests","factory binding","无公开package subpath","未发现","否","内部生成端口","类型擦除","SDK内部","否","生成client无法绑定executor"
"SYM-AU-008-023","OperationDescriptor.ts","OperationMethod","OperationDescriptor.ts:34","generated clients与root类型导出","App调用签名","经generated aggregate由@shop/sdk root导出","未发现","否","是","类型擦除","公开root+内部","否","App调用类型破坏"
"SYM-AU-008-024","OperationDescriptor.ts","defineContractOperation","OperationDescriptor.ts:39","35 generated files","descriptor创建","无root导出","未发现","否","内部生成协议","冻结descriptor","SDK内部","否","所有generated文件模块加载失败"
"SYM-AU-008-025","OperationDescriptor.ts","defineStructuralOperation","OperationDescriptor.ts:64","仓内消费者0","外部源码路径消费者UNKNOWN","无root导出","未发现","否","源码级兼容候选","别名，无独立副作用","SDK内部源码","是，deprecated；DC-0009","不能在外部消费者复核前删除"
"SYM-AU-008-026","OperationDescriptor.ts","bindOperation","OperationDescriptor.ts:66","35 generated files","所有operation method","无root导出","未发现","否","内部生成协议","返回closure","SDK内部","否","generated methods无法执行"
"SYM-AU-008-027","RequestContext.ts","RequestScope","RequestContext.ts:3","Console/Storefront/SDK","header scope","@shop/sdk root/context","未发现","否","是","类型擦除","公开root","否","scope调用面编译失败"
"SYM-AU-008-028","RequestContext.ts","RequestContext","RequestContext.ts:8","ApiClient/generated methods/Apps/tests","全部SDK请求","@shop/sdk root/context","未发现","否","是","类型擦除；contractVersion字段当前未消费","公开root","部分兼容责任，DC-0009","删除字段需外部兼容复核"
"SYM-AU-008-029","RequestContextFactory.ts","RequestContextOptions","RequestContextFactory.ts:6","Console/Storefront/SDK","context construction","@shop/sdk root/context","未发现","否","是","类型擦除","公开root","否","调用配置类型失败"
"SYM-AU-008-030","RequestContextFactory.ts","createRequestContext","RequestContextFactory.ts:17","Console/Storefront/tests","ApiClient headers","@shop/sdk root/context","未发现","否","是","读取crypto/document.cookie并冻结值","公开root","否","全部SDK context创建失败"
"SYM-AU-008-031","RequestContextFactory.ts","createIdempotencyKey","RequestContextFactory.ts:42","Console多个commands/tests","写请求幂等","@shop/sdk root/context","未发现","否","是","secure random","公开root","否","调用者需替代幂等键来源"
"SYM-AU-008-032","RequestContextFactory.ts","createSecureId","RequestContextFactory.ts:46","Storefront/Console/BrowserAuthorization/tests","trace/idempotency/PKCE","@shop/sdk root/context","未发现","否","是","Web Crypto random","公开root","否","安全ID/trace创建失败"
"SYM-AU-008-033","RetryPolicy.ts","RetryDecision","RetryPolicy.ts:1","ApiClient/RetryPolicy","HTTP恢复","无root导出","未发现","否","内部","类型擦除","SDK内部","否","内部编译影响"
"SYM-AU-008-034","RetryPolicy.ts","RetryPolicy","RetryPolicy.ts:6","ApiClient、测试间接","HTTP重试","无root导出","未发现","否","内部核心","纯计算","SDK内部","否","ApiClient恢复策略缺失"
"SYM-AU-008-035","Transport.ts","TransportRequest","Transport.ts:1","ApiClient、两个Transport、tests","网络边界","@shop/sdk root","未发现","否","是","类型擦除","公开root","否","自定义Transport兼容破坏"
"SYM-AU-008-036","Transport.ts","TransportResponse","Transport.ts:9","ApiClient、两个Transport、tests","网络边界","@shop/sdk root","未发现","否","是","类型擦除；body必须string","公开root","否","F-0046契约依据"
"SYM-AU-008-037","Transport.ts","Transport","Transport.ts:15","ApiClient/ClientFactory/custom tests","可替换网络端口","@shop/sdk root","未发现","否","是","类型擦除","公开root","否","自定义Transport失效"
"SYM-AU-008-038","WechatTransport.ts","WechatRequest","WechatTransport.ts:4","WechatRequester/测试","wx.request适配","@shop/sdk root","外部caller UNKNOWN","否","是","类型擦除","公开root","否","微信适配签名破坏"
"SYM-AU-008-039","WechatTransport.ts","WechatRequestTask","WechatTransport.ts:13","WechatRequester/adapter","abort端口","@shop/sdk root","外部caller UNKNOWN","否","是","类型擦除","公开root","否","取消能力破坏"
"SYM-AU-008-040","WechatTransport.ts","WechatRequester","WechatTransport.ts:17","ClientFactory/外部caller/测试","wx.request注入","@shop/sdk root","外部caller UNKNOWN","否","是","类型擦除","公开root","否","微信factory兼容破坏"
"SYM-AU-008-041","WechatTransport.ts","WechatTransport","WechatTransport.ts:19","ClientFactory、测试；生产caller0","ApiClient","@shop/sdk root","外部caller UNKNOWN","否","是","调用requester/监听signal","公开root","兼容候选但有真实端口责任","F-0046；不能按零生产引用删除"
"SYM-AU-008-042","error/index.ts","ApiError","error/index.ts:4","ApiClient、Storefront/Console错误层、tests","用户错误显示/重试","@shop/sdk root/error","未发现","否","是","Error对象；from解析response","公开root/subpath","否","客户端错误契约破坏"
"SYM-AU-008-043","error/index.ts","ApiError.contractResponse","error/index.ts:32","仓内调用0","历史成功response schema失败路径","随ApiError公开","未发现","否","是","构造错误","公开class static","是，DC-0009","外部兼容未排除"
"SYM-AU-008-044","url/index.ts","withCursor","url/index.ts:1","Console QueryState/测试","分页URL","@shop/sdk/url","未发现","否","是","克隆URLSearchParams","公开subpath","否","分页调用者需重复实现"
"SYM-AU-008-045","index.ts","createFetchIdentity","index.ts:3（re-export）","仓内root消费者","generated identity client","@shop/sdk root","未发现","否","是","创建ApiClient/FetchTransport","公开root","否","root兼容破坏"
"SYM-AU-008-046","index.ts","SDK_OPERATION_IDS","index.ts:11（re-export）","Voucher tests；运行消费者0","generated inventory","@shop/sdk root","未发现","主要测试/诊断","是","模块加载数组","公开root","可能为诊断兼容","删除需外部消费者复核"
"SYM-AU-008-047","index.ts","CommerceClient","index.ts:12（re-export）","Storefront类型消费者","aggregate client","@shop/sdk root","未发现","否","是","类型擦除","公开root","否","Storefront编译失败"
"SYM-AU-008-048","index.ts","IdentityOperations","index.ts:12（re-export）","仓内类型消费者少量/外部UNKNOWN","identity aggregate","@shop/sdk root","未发现","否","是","类型擦除","公开root","可能兼容","外部类型破坏"
"SYM-AU-008-049","index.ts","root barrel其余已声明符号","index.ts:1-10","Console/Storefront多文件","见SDKC矩阵","@shop/sdk root","未发现","否","是","只重新导出；无独立副作用","公开root","是package表面","移除任一须按上方声明符号消费者复核"
