"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-AU-003-011","FILE-AU-003-009","MigrationRunner.ts:51-79 run","串行执行未登记迁移并验证目标","pool/kms/directory/secrets/role","role/history/applied/head/public tables","文件名 regex + history hash","migration-role","空集合/特殊 backfill","无","数据库 schema/ledger/files/KMS","lock→history→applied→每文件→target check","ledger table存在且 SQL契约可执行","session advisory lock","void","任一阶段抛错","已 applied skip","fs/DB/KMS","schema + ledger","无","DB role","由重跑 ledger skip","无单文件 timeout","unlock/release","async","advisory lock 串行","按 ledger 可重跑","SQL commit 后 ledger 失败形成 F-0013","adapter仅静态","真实 DB故障窗口","高","需保持单职责；原子策略专项","Registration runner 并行体系"
"FN-AU-003-012","FILE-AU-003-009","MigrationRunner.ts:81-105 assertRole/assertHistory","限定身份并冻结历史","client/files/executionRole","role flags、94 count/head/hash","DB row/JSON cast后显式比较","migration-role","owner superuser模式","无","pg_roles/files","role before lock history","history.json可信路径在 artifact内","历史不可漂移","void","任一不匹配抛错","owner 合法后返回","DB/fs/hash","无","无","角色门禁","无","无","无额外资源","async","迁移 lock 外先验 role","可重复","无","check:migrations 环境阻塞","JSON畸形","中","保持","无"
"FN-AU-003-013","FILE-AU-003-009","MigrationRunner.ts:112-150 stageSecrets","为历史 backfill 预加密并事务写 stage","DB sources/KMS refs","target 分支","source DB字段运行时类型依赖 pg","Semaphore8","KMS局部失败","无","旧 public 表/KMS/stage表","先全量 encrypt后 begin writes","旧 public 表存在","stage writes 事务化","void","encrypt/DB失败","无","KMS/pool","是","无","无","无","外部 KMS timeout由client","rollback","async Promise.all","Semaphore8","upsert 可重跑","KMS完成但DB失败无DB半态","未执行","大量源数据内存","高","数据专项","无"
"FN-AU-003-014","FILE-AU-003-010","database-migration-executor.mjs:12-49 顶层","验证制品并运行 migration/输出回执","process env/artifact files","source/snapshot/owner fields/ledger after","JS运行时显式检查","migration role可选","noop/runner failure","设置 process.exitCode","DB/fs/secrets","inventory→before→run→after→stdout","artifact source SHA注入","失败也尽量输出结构化 evidence","单 JSON 行","顶层校验可在 try 前直接抛","selected空→runner仍验证 target","MigrationRunner/pool","runner","stdout JSON","owner身份","runner ledger","remote 300s","finally pool.end","top-level await","单进程","ledger skip","try 前错误无统一 result","adapter tests静态","DB集成","高","可保持","MigrationMain 部分重复"
"FN-AU-003-015","FILE-AU-003-017","FullJobsMain.ts:11-37 runFullJobs","运行全任务/relay/scheduler并处理 cache stop","JobsEnvironment","catalog drift/compat仅 warn","env强类型来自parser","无","cache unavailable","cacheFailed可变","DB/cache/all processors","runtime→bootstrap→compat→tasks","JOB_WORKER_ID存在","finally close runtime","void long Promise","task reject/cache error","无","33 jobs/relay/scheduler","广泛","console.warn","processor内","各 runner","各 config","runtime.close","async Promise.all","共享 signal/并发","常驻","任一 task reject使 Promise.all结束后 close，其他任务只在 cache/signal abort","未执行","task early reject未显式abort","高","编排可保持","JobsMain重复且语义不同"
"FN-AU-003-016","FILE-AU-003-012","CatalogJobsMain.ts:9-39 runCatalogJobs","运行专用 Catalog jobs并优雅停止","environment/runtime factory","runtime factory/manifest","factory可测试注入","默认 createRuntime","0 jobs/任一 reject","无","DB/object store/tasks","create→tasks→READY→await","shared signal","finally abort/allSettled/close","void","task reject","无","job.execute","processor内","stdout READY","scope由runtime","runner内","runner内","listeners/remove + runtime.close","async","多个 tasks共享 signal","常驻","任务启动后READY，不证明首轮claim","entry tests部分","close失败","中","保持","Payment Main同形"
"FN-AU-003-017","FILE-AU-003-018","IdentityNotificationJobsMain.ts:4-15 runIdentityNotificationJobs","运行单一通知 job","environment","runtime factory","JobsEnvironment parser","无","signal pre-aborted","无","DB/provider","runtime→execute","JOB_WORKER_ID/config存在","finally close","void","runtime/job错误","无","QueueJob","processor内","无","runtime scope","runner内","runner内","remove listeners/runtime.close","async","单 loop","常驻","无","未执行","provider failure","低","保持","专用 main同形"
"FN-AU-003-018","FILE-AU-003-021","JobsEntrypoint.ts:14-18 runJobs","按 profile动态分派兼容 runner","environment/runners","jobRuntimeProfile enum","profile parser真实","defaultRunners","payment-only","无","dynamic imports","parse→branch","payment-only没有专用 runner","identity精确，否则full","runner Promise","parser/import/runner错误","identity return","dynamic import","间接","无","无","runner内","无","runner内","async","单分支","可重复新进程调用","payment-only落 full","dispatcher test","外部消费者","低","兼容专项","专用 OnlyMain绕过"
"FN-AU-003-019","FILE-AU-003-024","PaymentJobsMain.ts:4-22 runPaymentJobs","运行两个 payment jobs并优雅停止","environment/runtime factory","runtime factory","JobsEnvironment parser","默认 factory","任一 task reject","无","payment DB/gateway","create→tasks→READY→await","shared signal","finally abort/allSettled/close","void","task reject","无","2 QueueJobs","processor内","stdout READY","runtime role/scope","runner内","runner内","remove/runtime.close","async 2 tasks","shared signal","常驻","READY先于首轮成功处理","entry test","gateway stall","中","保持","Catalog Main同形"
"FN-AU-003-020","FILE-AU-003-039","CreateMall.ts:48-62 plan","生成稳定 mall/pool/app/version/owner IDs","validated HTTP input","调用前 regex/text校验；本函数无额外","字符串运行时来自 handler","无","相同 slug/scope","无","无","无","scope/publicSlug稳定","同输入同ID","冻结 plan","无","无","crypto hash","无","无","上游 requireAccess","无","无","无","同步","确定性","重复相同","无","unit tests静态","Unicode/碰撞理论","低","保持","stableId helper"
"FN-AU-003-021","FILE-AU-003-039","CreateMall.ts:64-71 preflight","跨四 port并行检测冲突","database/plan","各 port返回 conflict/null","port runtime契约","无","多个冲突","无","数据库读取","Promise.all","ports共享同OperationDatabase","优先级由固定 if决定","conflict/null","port错误向上","无","4 ports","只读","无","权限上游","无","无","无","async Promise.all","并行读取","可重复","读取间状态漂移由execute事务隔离待审","unit tests静态","并发创建竞态","中","数据专项","无"
"FN-AU-003-022","FILE-AU-003-039","CreateMall.ts:73-118 execute","在同 OperationDatabase 依次创建商城各域记录","database/plan","依赖 ports/事务上游","CreatedMall runtime shape手工构造","timezone/state固定","中途 port失败","无","organization/catalog/experience/member","顺序四写","OperationDatabase由ModuleOperations事务提供","调用方事务应原子","冻结 CreatedMall","任一 port错误","无","4 provisioning ports","是","无","requireAccess在上游","无","无","事务资源上游","async","顺序写","stable IDs/upsert语义各port待审","若上游事务失效会半完成","unit tests使用fakes","真实约束/并发","高","后续 Mall链专项","无"
"FN-AU-003-023","FILE-AU-003-040","ProvisioningOperations.ts:14-45 provisioningOperations","把 create/read operation 映射到 CreateMall","ModuleContext","body/text/regex/requireAccess","request runtime helpers","可选 parent","缺字段/非法slug","无","DB/audit/access","parse→plan→preflight→execute","container bindings","selected operation IDs完整","ModuleOperations","reject/throw","conflict时reject","CreateMall/ModuleOperations","是","audit由框架","requireAccess","客户端重试/幂等待审","无","事务由ModuleOperations","同步返回 usecase；handlers async","同请求事务","重复create stable ID但约束语义待审","冲突后无写；execute事务待后续证实","entry/unit tests静态","重复请求/并发","高","业务专项","无"
"FN-AU-003-024","FILE-AU-003-042","CatalogOperatorRuntimeOperations.ts:17-40 invoke","返回 live或重新验证 Catalog compatibility","request/context","operation type","manifest/container运行值","无","compat抛错","无","DB/manifest","live快返；ready/startup查询","manifest/pool bindings","失败映射503不泄露cause","200/503","未知 operation抛错","live","compatibility","只读","无","无","无","无","无","async","可并发只读","可重复","无","entry tests静态","真实DB","中","保持","其它 target RuntimeOperations 同形"
