"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"S-AU-003-026","FILE-AU-003-009","MigrationExecutionRole","MigrationRunner.ts:26-28","executor/tests","MigrationRunner.assertRole","无","否","否","迁移身份模式","无","Commerce/release 内部","否","owner/migration role 选择改变"
"S-AU-003-027","FILE-AU-003-009","MigrationRunner","MigrationRunner.ts:42-167","MigrationMain + release executor","正式 DB migration","无","否","否","迁移执行内核","持有 pool/kms/config","Commerce/release 内部","否","正式迁移无法执行"
"S-AU-003-028","FILE-AU-003-011","CONSOLE_SUPPORT_OPERATIONS","ConsoleSupportMain.ts:10-13","同文件 bootstrap；审计/测试","support routes","无","否","否","运行 allow-list","顶层模块常量","Commerce entry","否","Support route 集合改变"
"S-AU-003-029","FILE-AU-003-012","runCatalogJobs","CatalogJobsMain.ts:9-39","同文件顶层/测试注入","catalog-jobs unit","无","否","否","进程 runner","注册 signals/启动 tasks","Commerce entry","否","Catalog Jobs 入口改变"
"S-AU-003-030","FILE-AU-003-017","runFullJobs","FullJobsMain.ts:11-37","JobsEntrypoint 动态 import/tests","聚合 Jobs","无","动态 import","否","兼容/聚合入口","启动 33 jobs/relay/scheduler","Commerce entry","是","full profile dispatcher 失败"
"S-AU-003-031","FILE-AU-003-018","runIdentityNotificationJobs","IdentityNotificationJobsMain.ts:4-15","OnlyMain/JobsEntrypoint","identity jobs unit","无","动态 import via dispatcher","否","专用 runner","signals + job loop","Commerce entry","否","identity worker 无法启动"
"S-AU-003-032","FILE-AU-003-021","JobsProfileRunners","JobsEntrypoint.ts:3-6","runJobs/tests","profile dispatcher","无","否","测试注入","兼容入口类型","无","Commerce entry 内部","是","dispatcher 注入编译影响"
"S-AU-003-033","FILE-AU-003-021","runJobs","JobsEntrypoint.ts:14-18","tests/外部 UNKNOWN","Full/identity dynamic runners","无","profile dynamic import","否","兼容入口","按 env dispatch","Commerce entry","是","旧 dispatcher 消费者受影响"
"S-AU-003-034","FILE-AU-003-024","runPaymentJobs","PaymentJobsMain.ts:4-22","OnlyMain/tests","payment-jobs unit","无","否","测试注入","专用 runner","signals + 2 loops","Commerce entry","否","Payment worker 无法启动"
"S-AU-003-035","FILE-AU-003-039","CreateMallInput","CreateMall.ts:20-28","ProvisioningOperations/tests","CreateMall.plan","barrel 重导出路径存在","否","否","模块输入类型","无","provisioning 内部","否","create 调用编译影响"
"S-AU-003-036","FILE-AU-003-039","MallProvisioningPlan","CreateMall.ts:30-36","CreateMall methods/tests","四个 provisioning ports","barrel 路径存在","否","否","内部计划结构","无","provisioning 内部","否","preflight/execute 输入改变"
"S-AU-003-037","FILE-AU-003-039","MallProvisioningConflict","CreateMall.ts:38","ProvisioningOperations","HTTP conflict mapping","barrel 路径存在","否","否","错误契约","无","provisioning 内部","否","409/422 映射编译影响"
"S-AU-003-038","FILE-AU-003-039","CreateMall","CreateMall.ts:40-123","ProvisioningOperations + tests","mall-provisioning-api","application compatibility barrel","否","否","应用 use case","无构造副作用；execute 写库","provisioning 内部","否","商城创建/读取失效"
"S-AU-003-039","FILE-AU-003-039","CreatedMall","CreateMall.ts:18","CreateMall/read consumers","public owner port","从 MallOwnerProvisioningPort 重导出","否","否","结果类型","无","provisioning public type","是","结果类型消费者受影响"
"S-AU-003-040","FILE-AU-003-040","MALL_PROVISIONING_OPERATION_IDS","ProvisioningOperations.ts:9-12","Mall Main/Module/tests","RouteRegistry","无","否","否","API operation 契约","模块常量","Commerce 内部","否","Mall route allow-list 改变"
"S-AU-003-041","FILE-AU-003-040","provisioningOperations","ProvisioningOperations.ts:14-45","MallProvisioningModule","Mall HTTP handlers","无","否","否","module factory","解析 container ports","Commerce 内部","否","Mall handlers 不注册"
"S-AU-003-042","FILE-AU-003-041","MallProvisioningModule","MallProvisioningModule.ts:4-8","MallProvisioningApiMain/tests","bootstrapApi","compat barrel 重导出","否","否","module definition","定义 selected module","Commerce 内部","否","Mall 模块启动失败"
"S-AU-003-043","FILE-AU-003-042","CATALOG_OPERATOR_RUNTIME_OPERATION_IDS","CatalogOperatorRuntimeOperations.ts:8-12","Catalog Main/Module/tests","RouteRegistry","runtime index 重导出","否","否","health operation 契约","模块常量","Commerce 内部","否","Catalog health routes 改变"
"S-AU-003-044","FILE-AU-003-042","catalogOperatorRuntimeOperations","CatalogOperatorRuntimeOperations.ts:43-45","CatalogOperatorRuntimeModule","health handlers","无","否","否","module factory","读取 container manifest/pool","Commerce 内部","否","Catalog health 不注册"
