"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-00059-003","FILE-00059","configuredIdentityNodeRegistry","identityNodeEnvironment.ts:55","entry resolver/canonical services/tests","所有 Auth origin/entry 决策","无","默认参数读取","否","build/runtime registry 选择","读取 runtimeRegistry/env","Auth workspace","当前","所有节点解析失败"
"SYM-00059-004","FILE-00059","configuredIdentityNode","identityNodeEnvironment.ts:65","main/entry resolver/tests","页面分流","无","默认 hostname/registry","否","accounts host→node 契约","读取 window hostname","Auth workspace","当前","host 无法绑定节点"
"SYM-00059-005","FILE-00059","currentIdentityNode","identityNodeEnvironment.ts:73","canonical identity/registration services","API origin/realm","无","动态读取当前 window host","否","当前 realm fail-closed 接口","null 时抛错","Auth workspace","当前","API 调用无法选择节点或误用替代实现"
"SYM-00059-006","FILE-00059","currentLoginIntent","identityNodeEnvironment.ts:79","canonical identity login","跨节点登录流程","无","URL query","否","64 字符 login_intent 契约","畸形时抛中文错误","Auth workspace","当前","跨节点登录 token 不再验证/传递"
"SYM-00056-001","FILE-00056","ConsumerIdentityEntry","consumerIdentityEntry.ts:3","resolveConsumerIdentityEntry/IdentityEntry","App props","无","无","否","consumer entry 类型","无","Auth workspace","当前","类型消费者编译失败"
"SYM-00056-002","FILE-00056","IdentityEntry","consumerIdentityEntry.ts:8","App；tests","页面分支","无","无","否","consumer/operator 判别联合","无","Auth workspace","当前","页面分流类型/字段失配"
"SYM-00056-003","FILE-00056","resolveConsumerIdentityEntry","consumerIdentityEntry.ts:27","resolveIdentityEntry；tests","App consumer 分支","无","调用时","否","application/target exact match","无；返回冻结对象","Auth workspace","当前","consumer query 接纳规则改变"
"SYM-00056-004","FILE-00056","resolveIdentityEntry","consumerIdentityEntry.ts:37","App；tests","Auth 页面根","无","调用时默认读取 registry","否","host/query→页面契约","可能读取 runtime env；返回冻结对象","Auth workspace","当前","所有 Auth 页面选择失败或跨节点规则改变"
"SYM-00498-001","FILE-00498","dynamic","layout.tsx:5","vinext/Next App Router","所有 Storefront routes","框架约定导出","框架静态发现","否","force-dynamic route 配置","影响 server render/cache","Storefront app","当前","页面缓存/运行模式改变"
"SYM-00498-002","FILE-00498","generateMetadata","layout.tsx:129","App Router metadata runtime","浏览器/社交预览","框架约定导出","按请求调用","否","页面 metadata","读取 Host header并构造 URL","Storefront app","当前","metadata 生成失败或公开 URL/品牌变化"
"SYM-00498-003","FILE-00498","viewport","layout.tsx:161","App Router","浏览器 viewport/theme","框架约定导出","框架静态发现","否","viewport metadata","无","Storefront app","当前","主题色/viewport 契约改变"
"SYM-00498-004","FILE-00498","default RootLayout","layout.tsx:167","App Router","所有 Storefront pages","默认导出","框架按目录发现","否","HTML 根/layout","注入 inline scripts、首屏 guard、children","Storefront app","当前","所有页面失去根 HTML/CSS/预发"
"SYM-00703-001","FILE-00703","isSupportedShowcasePath","DeviceShowcase.tsx:14","resolveShowcaseSurface/DeviceShowcase/tests","showcase 页面","无","调用时","否","五个展示 path 前缀","无","Storefront showcase","当前","未知/已知路径分类改变"
"SYM-00703-002","FILE-00703","ShowcaseSurface","DeviceShowcase.tsx:18","resolveShowcaseSurface/tests","frame 选择","无","无","否","showcase family/surface 类型","无","Storefront showcase","当前","类型消费者编译失败"
"SYM-00703-003","FILE-00703","resolveShowcaseSurface","DeviceShowcase.tsx:22","tests；潜在展示消费者","路径到 frame family","无","调用时","否","五类 surface 映射","无","Storefront showcase","当前","desktop/laptop/mobile/tablet 映射改变"
"SYM-00703-004","FILE-00703","DeviceShowcase","DeviceShowcase.tsx:41","[device] page；desktop frame page；tests","展示路由","无","React lazy/hydration","否","showcase UI 根","mount state、MallProvider、Suspense","Storefront showcase","当前","showcase routes 无组件"
"SYM-00573-001","FILE-00573","isShowcasePath","showcaseAccess.ts:5","Worker fetch；tests","边缘入口","无","每请求调用","否","showcase path policy","无","Storefront Worker/Node","当前","生产 host showcase 阻断规则改变"
"SYM-00573-002","FILE-00573","isLabsApiPathBlocked","showcaseAccess.ts:9","Worker fetch；tests","labs host API","无","每请求调用","否","labs API 404 policy","无","Storefront Worker/Node","当前","labs API 暴露/阻断行为改变"
"SYM-00573-003","FILE-00573","isShowcaseHostAllowed","showcaseAccess.ts:13","Worker fetch；tests","showcase host policy","无","每请求调用","否","labs/local/nonproduction allowlist","无","Storefront Worker/Node","当前","展示入口 host 可达面改变"
"SYM-00573-004","FILE-00573","isStorefrontRuntimeConfigurationAllowed","showcaseAccess.ts:19","Worker fetch；tests","所有 Storefront requests","无","每请求调用；默认 registry","否","host×APP_ENV×AUTH_MODE gate","解析 node registry/构造 Set","Storefront Worker/Node","当前","合法商城 503 或错误 host 被接受"
"SYM-00664-001","FILE-00664","CanonicalSessionContext","canonicalApiClient.ts:7","remember/current/sessionContext及 productionApi","认证请求","无","无","否","客户端 session/request context","无","Storefront app","当前","认证调用字段/类型失配"
"SYM-00664-002","FILE-00664","resolveProductionApiOrigin","canonicalApiClient.ts:27","resolveStorefrontApiOrigin；tests","API client","无","调用时","否","允许 API origin 规则","URL parse；非法抛 ProductionApiError","Storefront app","当前","跨节点/本地 origin policy 改变"
"SYM-00664-003","FILE-00664","resolveStorefrontApiOrigin","canonicalApiClient.ts:43","canonicalClient；tests","API client","无","调用时","否","同源 storefront→consumerApiOrigin 规则","无","Storefront app","当前","L1/consumer API 路由改变"
"SYM-00664-004","FILE-00664","canonicalClient","canonicalApiClient.ts:53","所有 productionApi/canonical services","认证/匿名 SDK 调用","无","首次调用/换 origin","否","Storefront SDK client 单例入口","读 env/window并写 cachedClient","Storefront app","当前","所有 Canonical API 调用无法创建 client"
"SYM-00664-005","FILE-00664","anonymousContext","canonicalApiClient.ts:62","匿名 API consumers","公共请求","无","调用时","否","无 session RequestContext","创建 context","Storefront app","当前","匿名 canonical 调用缺 client version"
"SYM-00664-006","FILE-00664","anonymousIdempotentContext","canonicalApiClient.ts:66","匿名写请求 consumers","匿名幂等写","无","调用时","否","自动 secure id 的 RequestContext","生成 id","Storefront app","当前","匿名写入缺幂等 context"
"SYM-00664-007","FILE-00664","sessionContext","canonicalApiClient.ts:70","productionApi/canonical checkout/payment/H5","认证请求","无","调用时读取 activeSession","否","scope/access/CSRF/idempotency client gate","无写；创建 context或抛","Storefront app","当前","认证请求 header/context 不完整"
"SYM-00664-008","FILE-00664","rememberCanonicalSession","canonicalApiClient.ts:87","identity/productionApi login consumers","后续认证调用","无","登录成功时","否","内存 session 安装","写 activeSession，冻结 scopes浅拷贝","Storefront app","当前","后续请求仍为未登录"
"SYM-00664-009","FILE-00664","clearCanonicalSession","canonicalApiClient.ts:91","logout/canonicalCall 401","会话失效","无","调用时","否","内存 session 清理","activeSession=null","Storefront app","当前","401 后错误保留 session"
"SYM-00664-010","FILE-00664","currentCanonicalSession","canonicalApiClient.ts:95","productionApi/contexts","读取登录态","无","调用时","否","fail-closed session getter","无 session 抛 401","Storefront app","当前","消费者自行读可空状态或编译失败"
"SYM-00664-011","FILE-00664","canonicalCall","canonicalApiClient.ts:100","productionApi/canonical services","统一请求错误处理","无","包装 request Promise","否","ProductionApiError/401 清理契约","await request；401 清 session；重抛","Storefront app","当前","错误映射与 401 session 清理分裂"
