"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-00028-002","FILE-00028","App.tsx:53-62 InvalidIdentityEntryPage","为未登记 host/query显示可见拒绝页","hostname prop","无；只显示string fallback","hostname来自window或SSR空串","空串→未知","任意Unicode hostname由React转义","否","无","仅entry null时调用","不能泄露registry/内部错误","INV-AU002-004","React main/section","无预期throw","无","无","无","无","无","无","无","无","同步纯组件","并发安全","确定性","无","resolver tests间接","可访问性焦点/status与HTTP status","低","不拆","无"
"FN-00059-001","FILE-00059","identityNodeEnvironment.ts:19-29 loadIdentityNodeRuntime","同源加载可选 runtime文件并安装 registry","默认fetch与window hostname或测试注入","HTTP status/content-type；JSON交install严格校验","response.json为unknown进入install","fetcher=fetch；hostname=window或undefined","404/非JSON返回false；其它非ok抛","否","install写runtimeRegistry","fetch完成且response可JSON后install","同源文件可信度仍需shape/host校验","INV-AU002-004","true/false","UNAVAILABLE:status；JSON/shape/host错误","404/非JSON早返false","fetcher/installIdentityNodeRuntime","无","无","host绑定是入口安全条件","无 retry","无显式 timeout；调用方也无AbortSignal","无资源","await fetch/json","并行调用可能后完成者覆盖 runtimeRegistry；生产通常一次","重复相同runtime幂等值但新对象；不同runtime最后完成者胜","无持久半状态；install校验完才赋值","identityNodeRuntime.test 404/host mismatch/install","并发load、挂起fetch、redirect response","中","可保留；并发策略待身份专项","build registry是回退来源"
"FN-00059-002","FILE-00059","identityNodeEnvironment.ts:31-53 installIdentityNodeRuntime","在写全局前完整验证 runtime envelope/registry/host","load函数或测试unknown value/hostname","record/schema/source hash/build id/count/digest/registry parser/host","避免直接断言unknown；返回冻结 envelope","hostname可省略则不做host检查","null/array/空字段/坏digest抛","否","写runtimeRegistry一次","必须先parse registry和host通过，最后赋值","坏 runtime不得污染已有 registry","INV-AU002-004","冻结 runtime对象","IDENTITY_NODE_RUNTIME_INVALID/HOST_MISMATCH或parser错误","无","parseIdentityNodeRegistry/identityNodeForAccountsHost","无","无","host gate，不是用户业务授权","无","无","无","同步","赋值原子但并行load有last-writer语义","相同输入结果等价","验证失败不写；赋值后构造freeze无可预期失败","identityNodeRuntime.test","并行/已有registry保留行为","中","不拆","Storefront registry parser相邻但运行面不同"
"FN-00059-003","FILE-00059","identityNodeEnvironment.ts:55-77 configuredIdentityNodeRegistry/configuredIdentityNode/currentIdentityNode","按显式source→runtime→build优先级解析 registry并绑定host，必要时fail closed","调用参数或window/env","registry parser与accounts host resolver","返回SDK定义；不缓存build parse结果","hostname window；registry默认configured；source可选","空source走下一层；空host node=null；current null抛","否","读runtimeRegistry/window/env","调用current必须先成功configured","runtime与build不同的优先级固定","INV-AU002-004","registry、node/null或node","REGISTRY_MISSING、parser、AUTH_REALM_ENTRY_INVALID","空host返回null","SDK parser/host resolver","无","无","host绑定","无","无","无","同步","读共享registry；赋值发生在install","重复调用确定但window/env可变","无","runtime/entry tests","运行中env/window改变、build/runtime drift","中","在记录中组合，因为共享同一优先链","Storefront resolveStorefrontNode相邻"
"FN-00059-004","FILE-00059","identityNodeEnvironment.ts:79-89 currentLoginIntent","只接受唯一64字符跨节点login_intent","window search或显式string","URLSearchParams getAll、数量、正则","string输入真实；无decode断言","search默认window或undefined","缺失/空→undefined；重复/畸形抛","否","读window location","登录请求构建时调用","opaque token格式固定64字符但真实性由服务端验证","INV-AU002-004","string或undefined","中文 invalid error","缺失早返","URLSearchParams","无","无","格式 gate；非授权","无","无","无","同步纯解析（默认参数除外）","每次独立","相同search确定","无","consumerIdentityEntry.test","Unicode/超长query性能","低","不拆","无"
"FN-00056-001","FILE-00056","consumerIdentityEntry.ts:27-35 resolveConsumerIdentityEntry","精确匹配当前节点 consumer application/target","search与已解析node","URLSearchParams值trim后严格相等","node来自SDK；query为string","无","缺/重复参数get只取首值；重复语义未显式拒绝","否","无","应先绑定host node","consumer不能靠任意target切跨node","INV-AU002-004","冻结entry或null","URLSearchParams正常不抛","任一不等立即null","URLSearchParams","无","无","入口条件不是认证","无","无","无","同步纯函数","并发安全","确定性","无","direct tests application/host","重复同名query、编码边界","低","不拆","无"
"FN-00056-002","FILE-00056","consumerIdentityEntry.ts:37-69 resolveIdentityEntry","先尝试consumer，再仅为operating_mall生成受约束operator入口","search/hostname/default registry","configured node、consumer exact match、consumerIntent、profile/target/client/origin equality","registry/node由SDK parser；query strings运行时解析","registry默认环境","host无node/null；consumerIntent失败关闭；空admin params允许默认operator","否","默认读取runtime/build registry","host绑定先于query解释；consumer分支优先","非operating_mall绝不暴露operator","INV-AU002-004","冻结consumer/operator或null","registry/parser/URL错误传播","多个拒绝分支null","configuredIdentityNode/resolveConsumer/URLSearchParams","无","无","入口隔离；API仍授权","无","无","无","同步","纯函数除默认环境读","相同输入确定","无","direct tests跨node/L11/operator","重复params、popstate调用方行为","中：分支较多但职责单一","不拆","无当前等价resolver"
"FN-00498-001","FILE-00498","layout.tsx:129-159 generateMetadata","按请求Host生成页面 metadata 和资源URL基准","Next headers()","仅由 new URL 做语法校验；无host allowlist","Host header是真实运行输入；Metadata类型编译期","无显式host fallback；null插值成字符串","缺/畸形/带端口Host语义未专项验证","否","请求headers","App Router metadata阶段调用","反向代理应提供可信Host但类型未表达","待安全专项；本 AU 不建立安全不变量","Metadata对象","new URL可能抛","无","next/headers、URL","无","无","无直接用户权限","无","无","无","async await headers","请求局部；并发安全","每请求动态执行","无写半状态","未见direct test","Host poisoning/invalid/IPv6/port","低代码、高外部输入风险","安全专项审，不在本 AU 改","无第二metadata生成器"
"FN-00498-002","FILE-00498","layout.tsx:167-199 RootLayout","输出全站HTML、首屏guard、node registry和public catalog预发脚本","children与process env","nodeRegistry仅trim；escape函数处理JSON","children由React；env为string/undefined","无registry时空script","空/坏JSON→inline null；children任意React node","否","process env；浏览器脚本写window/self/DOM","server render生成脚本，浏览器按head顺序执行","globals.css必须最终释放visibility；Worker需先允许request","INV-AU002-007/011","React html tree","React/render异常传播；inline脚本内部大多catch","无registry时node script为空；非/或/h5不预发catalog","escapeInlineJson、浏览器fetch/DOM createElement（字符串内）","无","无","不授权","public catalog GET无retry","inline fetch无Abort/timeout","无listener；Promise保存在global供复用","同步组件；脚本运行含Promise","每请求独立HTML；浏览器global单页","重复脚本可能覆盖global并重复fetch，正常只一次","预发失败转null；页面继续客户端请求","publicCatalogApi test间接复用","CSS失败、CSP阻止inline、慢fetch、registry变化","高：多项首屏职责","后续性能/安全专项可拆；本审计不改","publicCatalogApi消费其global"
"FN-00498-003","FILE-00498","layout.tsx:201-207 escapeInlineJson","把registry JSON正规化并转义小于号供inline script","env string","JSON.parse；失败catch","成功返回JSON.stringify字符串","失败固定null","空/畸形→null；合法JSON含<转义","否","无","必须在dangerouslySetInnerHTML前调用","输出不能形成 </script 注入","布局inline安全不变量候选，待安全专项","正规JSON字符串或null","无外抛（parse错误catch）","catch返回null","JSON.parse/stringify/replaceAll","无","无","不涉及权限","无","无","无","同步纯函数","并发安全","确定性","无","未见direct test","U+2028/U+2029、大registry、toJSON不可用因输入string","低","不拆","无"
"FN-00703-001","FILE-00703","DeviceShowcase.tsx:14-29 path helpers","判断五个前缀并映射到4个family/2种web surface","initial path或测试string","前缀exact或prefix/；分支穷举","string真实；返回判别联合/null","无","空/未知→false/null；tablet为最终已支持剩余分支","否","无","resolve先调用isSupported","SUPPORTED列表必须与Worker策略保持一致","Storefront showcase path一致性待后续跨文件闸门","boolean或surface/null","无","unsupported提前null","Array.some","无","无","无","无","无","无","同步纯函数","并发安全","确定性","无","DeviceShowcase.test覆盖5类样本/unknown","大小写、编码、尾斜杠矩阵","低","两个helper职责合理","showcaseAccess重复前缀但负责边缘gate"
"FN-00703-002","FILE-00703","DeviceShowcase.tsx:31-39 DeviceShowcaseContent","按MallContext appMode选择lazy frame或不存在文本","useMall appMode与supported flag","supported先判断；appMode显式分支","appMode类型来自context；运行异常值落最终不存在","无","false或未知mode显示不存在","否","MallContext","必须在MallProvider内","supported path与appMode应对应，但context如何派生待审","无新增INV；见 path记录","React element","useMall provider缺失可能抛","unsupported立即返回","useMall/lazy components","无","无","无","无","无","无","同步组件（lazy由React）","React context隔离","rerender随appMode","无外部写","DeviceShowcase.test只测helpers，不直接mount后内容","path/appMode不一致、lazy reject","低","不拆","无"
"FN-00703-003","FILE-00703","DeviceShowcase.tsx:41-60 DeviceShowcase","SSR先给稳定shell，mount后建立showcase provider并lazy frame","initialPath prop、browser mount","isSupported helper；无URL schema","prop string由page构造","无","任意path SSR相同；未知mount后显示不存在","否","React isMounted；MallProvider可能读localStorage","effect后才加载持久mock状态","SSR默认状态不能与localStorage导致hydration mismatch","INV-AU002-011","loading shell或provider/suspense/frame","lazy/provider错误向上层","未mount直接loading","MallProvider/mallService/React.lazy","无","无","无","无","无","effect无需cleanup","React lazy Promise/Suspense","mount state更新；StrictMode effect重复赋true幂等","重复render相同path稳定；path prop变化重新provider行为待审","无持久写在本文件","DeviceShowcase.test SSR shell/page props","真实hydration/localStorage/chunk failure/HTTP status","中","保持SSR边界清晰","StorefrontRoot是生产商城根非等价showcase"
"FN-00573-001","FILE-00573","showcaseAccess.ts:5-17 path/labs/showcase host helpers","分别识别showcase path、labs阻断API和允许showcase host","Worker URL hostname/pathname/APP_ENV","lowercase host；exact/prefix路径；local set","输入string运行真实；APP_ENV可undefined","undefined env仅labs true；local需非production","空host/path按false；大小写host归一","否","LOCAL_SHOWCASE_HOSTS只读Set","Worker按固定顺序调用","路径已由URL标准化；列表需与DeviceShowcase一致","INV-AU002-008","boolean","无预期throw","Array.some/条件短路","String/Set","无","无","入口暴露策略","无","无","无","同步纯函数","并发安全","确定性","无","showcaseAccess tests定位未执行","percent-encoding/IDN/端口（hostname不含端口）","低","三个helper分工明确","DeviceShowcase前缀相邻重复"
"FN-00573-002","FILE-00573","showcaseAccess.ts:19-35 isStorefrontRuntimeConfigurationAllowed","拒绝未知host或生产配置不一致，允许labs与非生产本地","hostname/APP_ENV/AUTH_MODE/registry","host lowercase；registry节点展开；严格字符串比较","registry SDK类型；默认resolver运行时可能抛","registry默认storefrontIdentityNodeRegistry","labs总true；local production false；未知host false","否","默认读取env-backed registry","在任何API/page handler前调用","production host集合必须完整且adminOrigin URL合法","INV-AU002-008","boolean","默认registry parse或new URL(adminOrigin)可抛","labs/local分支提前返回","storefrontIdentityNodeRegistry/new URL/Set","无","无","边缘运行配置gate；不替代身份授权","无","无","无","同步","局部Set；并发安全","每请求重建Set；结果确定于输入","无","tests应覆盖矩阵；未执行","adminOrigin畸形、registry热变、别名host","中","性能可缓存但先需动态配置语义；不在审计改","无等价完整gate"
"FN-00664-001","FILE-00664","canonicalApiClient.ts:27-51 origin resolvers","只允许当前节点API/consumer origin或非生产本地，并在同源storefront选consumer API","env candidate/Node env/browser origin/node","URL parse；protocol/host/origin/credentials/hash/path allowlist","candidate string运行输入；node SDK定义","candidate空→node.apiOrigin","坏URL抛原生；非法origin抛ProductionApiError；query因pathname检查外仍可能保留但返回origin丢弃","否","无","resolveStorefront先比较browser origin，否则调用production resolver","node.apiOrigin/consumerApiOrigin必须是规范origin","Storefront节点边界 INV-AU002-009前置","origin string","URL/ProductionApiError","browser同源直接return consumer origin","URL","无","无","origin边界，不是用户授权","无","无","无","同步纯函数","并发安全","确定性","无","canonicalApiClient.test L1/非L1两例","username/password/query/port/local IPv6/staging","中","两个层次合理","Auth有独立apiOrigin策略"
"FN-00664-002","FILE-00664","canonicalApiClient.ts:53-60 canonicalClient","按当前origin复用或创建Commerce SDK client","node/env/window与模块cache","调用origin resolver","CommerceClient由SDK factory；cache按origin标识","server无window→undefined browserOrigin","cachedClient null/不同origin重建","否","读写cachedClient、window/process env","节点解析→origin校验→cache","运行中registry改变但origin相同复用client应语义等价","无新增INV","CommerceClient","node/origin/factory异常传播","cache命中直接返回","resolveStorefrontNode/createFetchCommerce","无","无","无","无","无","无","同步；client后续async","JS单线程赋值；SSR模块cache跨请求但不含session，origin由env/host resolver语义待审","重复同origin返回同对象","无","origin tests间接","SSR多host共享模块、registry热变","中","缓存边界待SSR专项","无"
"FN-00664-003","FILE-00664","canonicalApiClient.ts:62-84 context builders","创建匿名或认证RequestContext，并在写入前要求session/CSRF/idempotency","clientVersion、activeSession、ContextOptions","semver；session存在；write条件校验csrf/key","activeSession由remember传入TS对象，未做运行schema","options默认空；includeScope默认true","无session抛；write缺csrf/key抛；expectedVersion 0可传","不变异输入","读activeSession/process env；anonymous id生成随机值","remember session必须先发生；写调用必须显式write+key","前端请求上下文包含当前accessVersion/scope","INV-AU002-009","RequestContext","AUTHENTICATION_REQUIRED/CSRF_TOKEN_MISSING/IDEMPOTENCY_KEY_REQUIRED/CLIENT_VERSION_INVALID","校验失败即抛，无外部调用","createRequestContext/createSecureId","无","无","客户端前置权限/完整性，不是后端授权","无","无","无","同步","secure id生成同步；全局session读无锁","重复anonymous idempotent产生不同key；session context相同输入等价","无请求已发前失败，不留半状态","多productionApi tests间接；未执行","activeSession畸形、scope切换、多标签、expectedVersion边界","中","保持统一builder","各业务operation只传options"
"FN-00664-004","FILE-00664","canonicalApiClient.ts:87-98 session memory functions","冻结、清除或读取当前Canonical session","login/identity bridge提供session；logout/401调用clear","无runtime schema；current检查null","类型仅编译期；scopes浅复制冻结，其它嵌套scope未深冻","无","null仅由clear；空scopes/accessVersion非法值可被remember","不变异传入顶层/scopes数组","写activeSession","remember需在身份成功后；clear可随时","session切换后旧context不能继续使用由调用者负责","INV-AU002-009（部分）","void或session","current null抛","clear直接赋null","Object.freeze/数组复制","无","无","内存会话管理","无","无","无","同步","单tab JS线程；多tab不共享；异步旧request竞态待审","remember覆盖；clear幂等","旧请求完成后是否重新remember取决上游","身份/production tests待定位","多标签、并发login/logout、嵌套变异","低实现/高状态语义","身份专项深审","MallContext另有UI session状态，双状态一致性待审"
"FN-00664-005","FILE-00664","canonicalApiClient.ts:100-108 canonicalCall","统一 await请求、错误映射，并在认证失败时清内存session","调用方request closure","productionError正规化cause；状态/码判断","T由Promise；错误unknown进入mapper","无","任意throw映射；401或特定code清session","否","activeSession via clear","请求执行后才处理错误","productionError必须保持status/code","INV-AU002-009","T","总是抛映射后的error","无","request/productionError/clearSession","无","无","认证失败清本地会话；不授权","无","下游决定","无","await并完整catch","多个并发请求中一个401会清session，另一个成功仍返回；上游状态一致性待审","重复调用取决业务幂等；本函数不重试","网络/服务写已发生后错误仍可能清session；数据状态由后端","多canonical service tests间接","并发401/成功、abort、非Error cause","低","不拆","无"
"FN-00477-001","FILE-00477","miniapp/app.js:1-9 顶层初始化","把微信ext config解析为environment并注册App globalData","wx.getExtConfigSync与generated environment","全部校验委托generated Environment","CommonJS返回函数真实性来自生成器；本文件无guard","无","ext config空/畸形行为由生成器；wx/App缺失会ReferenceError","无参数可变异","微信 multiline globals；App globalData","require→getExtConfig→environment→App必须顺序完成","必须在完整微信工程且generated file存在","INV-AU002-010","模块无导出；完成App注册","require/environment/wx/App错误直接传播","无","require/generated function/wx/App","无","无","无用户权限","无","无","无","同步","顶层单次；微信加载器负责","重复require通常缓存；手工重复执行会重复App注册失败","environment已算出但App失败只留局部值","check:tests仅存在性；environment脚本静态检查","完整启动、app.json/pages、generated schema异常","低代码但高拓扑依赖","无需拆；完整工程边界需产品裁定","无第二App入口"
