"路由编号","应用","外部路径/条件","注册位置","模块/页面","加载方式","第一跳","失败/回退","证据"
"R-AU002-022","Console",".../finance","feature/finance/manifest.ts","finance / entry","lazy FinanceRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-023","Console",".../finance/entries","feature/finance/manifest.ts","finance / child","lazy EntryRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-024","Console",".../finance/statements","feature/finance/manifest.ts","finance / child","lazy StatementRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-025","Console",".../finance/reconciliations","feature/finance/manifest.ts","finance / child","lazy ReconciliationRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-026","Console",".../finance/settlements","feature/finance/manifest.ts","finance / child","lazy SettlementRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-027","Console",".../finance/withdrawals","feature/finance/manifest.ts","finance / child","lazy WithdrawalRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-028","Console",".../finance/invoices","feature/finance/manifest.ts","finance / child","lazy InvoiceRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-029","Console",".../storefront-members","feature/storefront-member/manifest.ts","storefront-members / entry","lazy StorefrontMemberRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-030","Console",".../settings/access","feature/access/manifest.ts","access / child","lazy AccessRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-031","Console",".../settings/members","feature/access/manifest.ts","access / entry","lazy MemberRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-032","Console",".../imports/member/:jobId","feature/access/manifest.ts","access / technical","lazy ImportRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-033","Console",".../settings/qualification","feature/qualification/manifest.ts","qualification / entry","lazy QualificationRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-034","Console",".../settings/notification","feature/qualification/manifest.ts","qualification / child","lazy NotificationRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-035","Console",".../reports","feature/report/manifest.ts","reports / entry","lazy ReportRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-036","Console",".../support/:caseId?","feature/support/manifest.ts","support / entry","lazy SupportRoute","support cases（document prefetch）","route error boundary","E-AU-002-004;E-AU-002-006"
"R-AU002-037","Console",".../settings/profile","ConsoleRouter.tsx:19","profile","lazy ProfileRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-038","Console","作用域内或全局其它路径","ConsoleRouter.tsx:20,42","NotFoundRoute","lazy","无","现有 404 页面；HTTP status 未验证","E-AU-002-004"
"R-AU002-039","Auth","/ + consumer application/target query","App.tsx:32-48；consumerIdentityEntry.ts:27-51","ConsumerIdentityPage","静态 import","Identity API（canonicalIdentity/Registration）","参数不匹配进入 InvalidIdentityEntryPage","E-AU-002-008;E-AU-002-009"
"R-AU002-040","Auth","/ + operating_mall host，非 consumer intent","App.tsx:32-48；consumerIdentityEntry.ts:53-68","OperatorIdentityPage","静态 import","Identity API（canonicalIdentity）","节点/target/origin 不匹配进入 invalid","E-AU-002-008;E-AU-002-009"
"R-AU002-041","Auth","host/query 不登记","App.tsx:53-62","InvalidIdentityEntryPage","同文件","无","页面内显示入口不匹配；无 Router status","E-AU-002-009"
"R-AU002-042","Storefront","/","app/page.tsx","StorefrontRoot","App Router 文件发现","head 同源 public catalog；客户端 productionApi","框架 error/not-found 未在本 AU 定位","E-AU-002-013;E-AU-002-015"
"R-AU002-043","Storefront","/h5","app/h5/page.tsx","H5StorefrontRoot","App Router 文件发现","head 同源 public catalog；微信环境再懒加载 identity bridge","框架 error/not-found 未在本 AU 定位","E-AU-002-013;E-AU-002-015"
"R-AU002-044","Storefront","/[device]","app/[device]/page.tsx","DeviceShowcase","App Router dynamic segment + client lazy frame","showcaseService；非生产数据边界待专项","未知单段路径显示不存在文本；HTTP status UNKNOWN","E-AU-002-013;E-AU-002-016"
"R-AU002-045","Storefront","/desktop-1920","app/desktop-1920/page.tsx","Desktop page","App Router 文件发现","showcase frame","生产 host 被 Worker showcase policy 阻止","E-AU-002-013;E-AU-002-014"
"R-AU002-046","Storefront","/desktop-1920/frame","app/desktop-1920/frame/page.tsx","DeviceShowcase desktop frame","App Router 文件发现","showcaseService","生产 host 被 Worker showcase policy 阻止","E-AU-002-013;E-AU-002-014"
"R-AU002-047","Storefront","/desktop-1920/inspect","app/desktop-1920/inspect/page.tsx","inspect page","App Router 文件发现","showcase assets","生产 host 被 Worker showcase policy 阻止","E-AU-002-013;E-AU-002-014"
"R-AU002-048","Storefront","/api/v1/*（publicRouter 命中集合）","worker/index.ts:52-57","Compatibility routePublicRequest","同进程静态 import","Compatibility handler","null 回落 vinext；Response/reject 直接传播","E-AU-002-014;E-AU-002-015"
"R-AU002-049","Miniapp","App 启动","miniprogram/app.js:1-9","App globalData.environment","微信 App 自动发现","wx.getExtConfigSync → generated Environment","无 app.json/pages，页面入口不可枚举","E-AU-002-018;E-AU-002-019"
